ClubID,ClubName,Country,GoverningBody,Gender,Comp,From,To,NumComps,Champs,OtherName,URL
2fdee617,Besa Kavajë,Albania,UEFA,M,,2007-2008,2010-2011,0,,,https://fbref.com/en/squads/2fdee617/history/Besa-Kavaje-Stats-and-History
3ae11b52,FK Egnatia,Albania,UEFA,M,,2023-2024,2025-2026,0,,,https://fbref.com/en/squads/3ae11b52/history/FK-Egnatia-Stats-and-History
f1e85b1e,FK Kukësi,Albania,UEFA,M,,2013-2014,2020-2021,0,,,https://fbref.com/en/squads/f1e85b1e/history/Kukesi-Stats-and-History
3ba2fddf,FK Partizani Tirana,Albania,UEFA,M,,1990-1991,2025-2026,0,0,,https://fbref.com/en/squads/3ba2fddf/history/Partizani-Tirana-Stats-and-History
fc4db0b4,FK Tomori Berat,Albania,UEFA,M,,2000-2001,2000-2001,0,,,https://fbref.com/en/squads/fc4db0b4/history/FK-Tomori-Berat-Stats-and-History
3d81ccdb,Flamurtari Vlorë,Albania,UEFA,M,,1991-1992,2014-2015,0,0,,https://fbref.com/en/squads/3d81ccdb/history/Flamurtari-Vlore-Stats-and-History
bc8abb97,KF Bylis Ballsh,Albania,UEFA,M,,1999-2000,1999-2000,0,,,https://fbref.com/en/squads/bc8abb97/history/Bylis-Stats-and-History
ddab4421,KF Elbasani,Albania,UEFA,M,,2005-2006,2006-2007,0,,,https://fbref.com/en/squads/ddab4421/history/KF-Elbasani-Stats-and-History
abffa138,KF Feronikeli,Albania,UEFA,M,,2019-2020,2019-2020,0,,,https://fbref.com/en/squads/abffa138/history/Feronikeli-Stats-and-History
7a40cd8b,KF Laçi,Albania,UEFA,M,,2010-2011,2022-2023,0,,,https://fbref.com/en/squads/7a40cd8b/history/Laci-Stats-and-History
df526548,KF Skënderbeu Korçë,Albania,UEFA,M,,2011-2012,2017-2018,0,0,,https://fbref.com/en/squads/df526548/history/KF-Skenderbeu-Korce-Stats-and-History
2b924bc5,KF Teuta Durrës,Albania,UEFA,M,,1994-1995,2021-2022,0,,,https://fbref.com/en/squads/2b924bc5/history/Teuta-Durres-Stats-and-History
83310fa5,KF Tirana,Albania,UEFA,M,,1995-1996,2024-2025,0,,,https://fbref.com/en/squads/83310fa5/history/KF-Tirana-Stats-and-History
d8deaf72,KF Vllaznia Shkodër,Albania,UEFA,F,,2014-2015,2025-2026,0,0,,https://fbref.com/en/squads/d8deaf72/history/Vllaznia-Shkoder-Women-Stats-and-History
e3a68c8b,KF Vllaznia Shkodër,Albania,UEFA,M,,1991-1992,2025-2026,0,0,,https://fbref.com/en/squads/e3a68c8b/history/Vllaznia-Shkoder-Stats-and-History
d1c1d627,KS Dinamo Tirana,Albania,UEFA,M,,1990-1991,2025-2026,0,0,,https://fbref.com/en/squads/d1c1d627/history/Dinamo-Tirana-Stats-and-History
0e3f0159,Luftëtari Gjirokastër,Albania,UEFA,M,,2018-2019,2018-2019,0,,,https://fbref.com/en/squads/0e3f0159/history/Luftetari-Gjirokaster-Stats-and-History
6e1be1d0,Atlètic Club d'Escaldes,Andorra,UEFA,M,,2022-2023,2025-2026,0,,,https://fbref.com/en/squads/6e1be1d0/history/Atletic-dEscaldes-Stats-and-History
38120ffa,CE Principat,Andorra,UEFA,M,,1997-1998,1999-2000,0,,,https://fbref.com/en/squads/38120ffa/history/CE-Principat-Stats-and-History
4c7d11b8,Constel·lació Esportiva,Andorra,UEFA,M,,2000-2001,2000-2001,0,,,https://fbref.com/en/squads/4c7d11b8/history/Constellacio-Esportiva-Stats-and-History
70ee5e92,FC Encamp,Andorra,UEFA,M,,2002-2003,2002-2003,0,,,https://fbref.com/en/squads/70ee5e92/history/FC-Encamp-Stats-and-History
857b60c3,FC Lusitanos,Andorra,UEFA,M,,2010-2011,2016-2017,0,,,https://fbref.com/en/squads/857b60c3/history/FC-Lusitanos-Stats-and-History
f654070c,FC Rànger's,Andorra,UEFA,M,,2006-2007,2007-2008,0,,,https://fbref.com/en/squads/f654070c/history/FC-Rangers-Stats-and-History
9549dc95,FC Santa Coloma,Andorra,UEFA,M,,2001-2002,2025-2026,0,,,https://fbref.com/en/squads/9549dc95/history/Santa-Coloma-Stats-and-History
fb45dbb9,Inter Club d'Escaldes,Andorra,UEFA,M,,2020-2021,2025-2026,0,,,https://fbref.com/en/squads/fb45dbb9/history/Inter-dEscaldes-Stats-and-History
b784c866,UE Engordany,Andorra,UEFA,M,,2018-2019,2020-2021,0,,,https://fbref.com/en/squads/b784c866/history/Engordany-Stats-and-History
78816dd0,UE Sant Julià,Andorra,UEFA,M,,2005-2006,2021-2022,0,,,https://fbref.com/en/squads/78816dd0/history/UE-Sant-Julia-Stats-and-History
84a33cca,UE Santa Coloma,Andorra,UEFA,M,,2010-2011,2024-2025,0,,,https://fbref.com/en/squads/84a33cca/history/Santa-Coloma-Stats-and-History
19d27917,Antigua Barracuda FC,Antigua and Barbuda,CONCACAF,M,,2011,2013,3,0,,https://fbref.com/en/squads/19d27917/history/Antigua-Barracuda-Stats-and-History
d01a653b,AA Argentinos Juniors,Argentina,CONMEBOL,M,Liga Profesional de Fútbol Argentina,2015,2026,11,0,,https://fbref.com/en/squads/d01a653b/history/Argentinos-Juniors-Stats-and-History
8277fe2e,AA Estudiantes de Río Cuarto,Argentina,CONMEBOL,M,Liga Profesional de Fútbol Argentina,2026,2026,1,,,https://fbref.com/en/squads/8277fe2e/history/Estudiantes-de-Rio-Cuarto-Stats-and-History
4fae5bbb,AMSD Atlético de Rafaela,Argentina,CONMEBOL,M,,2014,2016-2017,4,,,https://fbref.com/en/squads/4fae5bbb/history/Atletico-de-Rafaela-Stats-and-History
4bee7ba3,Arsenal FC,Argentina,CONMEBOL,M,,2014,2023,9,0,,https://fbref.com/en/squads/4bee7ba3/history/Arsenal-de-Sarandi-Stats-and-History
42a1ab8b,Atlético Tucumán,Argentina,CONMEBOL,M,Liga Profesional de Fútbol Argentina,2016,2026,11,0,CA Tucumán,https://fbref.com/en/squads/42a1ab8b/history/Atletico-Tucuman-Stats-and-History
e5927bd8,CA Aldosivi,Argentina,CONMEBOL,M,Liga Profesional de Fútbol Argentina,2015,2026,9,0,,https://fbref.com/en/squads/e5927bd8/history/Aldosivi-Stats-and-History
06c1606c,CA Banfield,Argentina,CONMEBOL,M,Liga Profesional de Fútbol Argentina,2014,2026,13,0,,https://fbref.com/en/squads/06c1606c/history/Banfield-Stats-and-History
1d89634b,CA Barracas Central,Argentina,CONMEBOL,M,Liga Profesional de Fútbol Argentina,2022,2026,5,0,,https://fbref.com/en/squads/1d89634b/history/Barracas-Central-Stats-and-History
7765008b,CA Belgrano,Argentina,CONMEBOL,M,Liga Profesional de Fútbol Argentina,2014,2026,10,0,,https://fbref.com/en/squads/7765008b/history/Belgrano-Stats-and-History
