source_id,name,category,country,country_code,gender,level,first_season,last_season,logo_url
719,FIFA Club World Cup,comps_intl_club_cup,International,INTL,M,,2019,2025,https://cdn.ssref.net/req/202603251/tlogo/fb/719.png
133,CONCACAF Champions Cup,comps_intl_club_cup,International,INTL,M,1st,2020,2026,https://cdn.ssref.net/req/202603251/tlogo/fb/133.png
939,Leagues Cup,comps_intl_club_cup,International,INTL,M,,2023,2025,https://cdn.ssref.net/req/202603251/tlogo/fb/939.png
14,Copa Libertadores de América,comps_intl_club_cup,International,INTL,M,1st,2014,2026,https://cdn.ssref.net/req/202603251/tlogo/fb/14.png
205,Copa CONMEBOL Sudamericana,comps_intl_club_cup,International,INTL,M,2nd,2014,2026,https://cdn.ssref.net/req/202603251/tlogo/fb/205.png
8,UEFA Champions League,comps_intl_club_cup,International,INTL,M,1st,1990-1991,2025-2026,https://cdn.ssref.net/req/202603251/tlogo/fb/8.png
19,UEFA Europa League,comps_intl_club_cup,International,INTL,M,2nd,1990-1991,2025-2026,https://cdn.ssref.net/req/202603251/tlogo/fb/19.png
882,UEFA Conference League,comps_intl_club_cup,International,INTL,M,3rd,2021-2022,2025-2026,https://cdn.ssref.net/req/202603251/tlogo/fb/882.png
122,UEFA Super Cup,comps_intl_club_cup,International,INTL,M,,2000,2025,https://cdn.ssref.net/req/202603251/tlogo/fb/122.png
181,UEFA Women's Champions League,comps_intl_club_cup,International,INTL,F,1st,2014-2015,2025-2026,https://cdn.ssref.net/req/202603251/tlogo/fb/181.png
666,FIFA Confederations Cup,comps_intl_fa_nonqualifier_senior,International,INTL,M,,2001,2017,https://cdn.ssref.net/req/202603251/tlogo/fb/666.png
1,FIFA World Cup,comps_intl_fa_nonqualifier_senior,International,INTL,M,,1930,2026,https://cdn.ssref.net/req/202603251/tlogo/fb/1.png
218,International Friendlies (M),comps_intl_fa_nonqualifier_senior,International,INTL,M,,2014,2026,https://cdn.ssref.net/req/202603251/tlogo/fb/218.png
214,Algarve Cup,comps_intl_fa_nonqualifier_senior,International,INTL,F,,2019,2022,https://cdn.ssref.net/req/202603251/tlogo/fb/214.png
106,FIFA Women's World Cup,comps_intl_fa_nonqualifier_senior,International,INTL,F,,1991,2023,https://cdn.ssref.net/req/202603251/tlogo/fb/106.png
217,International Friendlies (W),comps_intl_fa_nonqualifier_senior,International,INTL,F,,2019,2025,https://cdn.ssref.net/req/202603251/tlogo/fb/217.png
180,Olympics — Women's Tournament,comps_intl_fa_nonqualifier_senior,International,INTL,F,,1996,2024,https://cdn.ssref.net/req/202603251/tlogo/fb/180.png
212,SheBelieves Cup,comps_intl_fa_nonqualifier_senior,International,INTL,F,,2016,2024,https://cdn.ssref.net/req/202603251/tlogo/fb/212.png
656,Africa Cup of Nations,comps_intl_fa_nonqualifier_senior,International,INTL,M,,2010,2025,https://cdn.ssref.net/req/202603251/tlogo/fb/656.png
156,Women's Africa Cup of Nations,comps_intl_fa_nonqualifier_senior,International,INTL,F,,2016,2026,https://cdn.ssref.net/req/202603251/tlogo/fb/156.png
681,CONCACAF Gold Cup,comps_intl_fa_nonqualifier_senior,International,INTL,M,,2015,2025,https://cdn.ssref.net/req/202603251/tlogo/fb/681.png
157,CONCACAF W Championship,comps_intl_fa_nonqualifier_senior,International,INTL,F,,2014,2022,https://cdn.ssref.net/req/202603251/tlogo/fb/157.png
685,CONMEBOL Copa América,comps_intl_fa_nonqualifier_senior,International,INTL,M,,2015,2024,https://cdn.ssref.net/req/202603251/tlogo/fb/685.png
158,Copa América Femenina,comps_intl_fa_nonqualifier_senior,International,INTL,F,,2018,2025,https://cdn.ssref.net/req/202603251/tlogo/fb/158.png
257,OFC Nations Cup,comps_intl_fa_nonqualifier_senior,International,INTL,M,,2007-2008,2024,https://cdn.ssref.net/req/202603251/tlogo/fb/257.png
159,OFC Women's Nations Cup,comps_intl_fa_nonqualifier_senior,International,INTL,F,,2018,2025,https://cdn.ssref.net/req/202603251/tlogo/fb/159.png
676,UEFA European Football Championship,comps_intl_fa_nonqualifier_senior,International,INTL,M,,2000,2024,https://cdn.ssref.net/req/202603251/tlogo/fb/676.png
677,UEFA Nations League,comps_intl_fa_nonqualifier_senior,International,INTL,M,,2018-2019,2024-2025,https://cdn.ssref.net/req/202603251/tlogo/fb/677.png
162,UEFA Women's Championship,comps_intl_fa_nonqualifier_senior,International,INTL,F,,2001,2025,https://cdn.ssref.net/req/202603251/tlogo/fb/162.png
664,AFC Asian Cup,comps_intl_fa_nonqualifier_senior,International,INTL,M,,2000,2024,https://cdn.ssref.net/req/202603251/tlogo/fb/664.png
