ClubID,ClubName,Country,GoverningBody,URL
d8deaf72,Vllaznia Shkodër (F),Albania,UEFA,https://fbref.com/en/squads/d8deaf72/history/Vllaznia-Shkoder-Women-Stats-and-History
df526548,KF Skënderbeu Korçë (M),Albania,UEFA,https://fbref.com/en/squads/df526548/history/KF-Skenderbeu-Korce-Stats-and-History
83310fa5,KF Tirana (M),Albania,UEFA,https://fbref.com/en/squads/83310fa5/history/KF-Tirana-Stats-and-History
f1e85b1e,Kukësi (M),Albania,UEFA,https://fbref.com/en/squads/f1e85b1e/history/Kukesi-Stats-and-History
e3a68c8b,Vllaznia Shkodër (M),Albania,UEFA,https://fbref.com/en/squads/e3a68c8b/history/Vllaznia-Shkoder-Stats-and-History
3d81ccdb,Flamurtari Vlorë (M),Albania,UEFA,https://fbref.com/en/squads/3d81ccdb/history/Flamurtari-Vlore-Stats-and-History
9549dc95,Santa Coloma (M),Andorra,UEFA,https://fbref.com/en/squads/9549dc95/history/Santa-Coloma-Stats-and-History
fb45dbb9,Inter d'Escaldes (M),Andorra,UEFA,https://fbref.com/en/squads/fb45dbb9/history/Inter-dEscaldes-Stats-and-History
78816dd0,UE Sant Julià (M),Andorra,UEFA,https://fbref.com/en/squads/78816dd0/history/UE-Sant-Julia-Stats-and-History
b784c866,Engordany (M),Andorra,UEFA,https://fbref.com/en/squads/b784c866/history/Engordany-Stats-and-History
84a33cca,Santa Coloma (M),Andorra,UEFA,https://fbref.com/en/squads/84a33cca/history/Santa-Coloma-Stats-and-History
857b60c3,FC Lusitanos (M),Andorra,UEFA,https://fbref.com/en/squads/857b60c3/history/FC-Lusitanos-Stats-and-History
19d27917,Antigua Barracuda (M),Antigua and Barbuda,CONCACAF,https://fbref.com/en/squads/19d27917/history/Antigua-Barracuda-Stats-and-History
ef99c78c,River Plate (M),Argentina,CONMEBOL,https://fbref.com/en/squads/ef99c78c/history/River-Plate-Stats-and-History
795ca75e,Boca Juniors (M),Argentina,CONMEBOL,https://fbref.com/en/squads/795ca75e/history/Boca-Juniors-Stats-and-History
8e20e13d,Racing Club (M),Argentina,CONMEBOL,https://fbref.com/en/squads/8e20e13d/history/Racing-Club-Stats-and-History
66da6009,San Lorenzo (M),Argentina,CONMEBOL,https://fbref.com/en/squads/66da6009/history/San-Lorenzo-Stats-and-History
df734df9,Estudiantes La Plata (M),Argentina,CONMEBOL,https://fbref.com/en/squads/df734df9/history/Estudiantes-La-Plata-Stats-and-History
11b6dba8,Lanús (M),Argentina,CONMEBOL,https://fbref.com/en/squads/11b6dba8/history/Lanus-Stats-and-History
03022534,Pyunik (M),Armenia,UEFA,https://fbref.com/en/squads/03022534/history/Pyunik-Stats-and-History
e6232d10,Alashkert (M),Armenia,UEFA,https://fbref.com/en/squads/e6232d10/history/Alashkert-Stats-and-History
8771d9cd,FC Shirak (M),Armenia,UEFA,https://fbref.com/en/squads/8771d9cd/history/FC-Shirak-Stats-and-History
f0e1ca42,Urartu (M),Armenia,UEFA,https://fbref.com/en/squads/f0e1ca42/history/Urartu-Stats-and-History
85dbecd4,Ararat-Armenia (M),Armenia,UEFA,https://fbref.com/en/squads/85dbecd4/history/Ararat-Armenia-Stats-and-History
9558d297,FC Mika (M),Armenia,UEFA,https://fbref.com/en/squads/9558d297/history/FC-Mika-Stats-and-History
2466c132,Sydney FC (M),Australia,AFC,https://fbref.com/en/squads/2466c132/history/Sydney-FC-Stats-and-History
fbcd7d37,Melbourne Victory (M),Australia,AFC,https://fbref.com/en/squads/fbcd7d37/history/Melbourne-Victory-Stats-and-History
a4302376,Adelaide United (M),Australia,AFC,https://fbref.com/en/squads/a4302376/history/Adelaide-United-Stats-and-History
