Round,Date,Home,Away,HomeScore,AwayScore
ROUND 31,22.03. 21:15,Aston Villa,West Ham,2,0
ROUND 31,22.03. 21:15,Tottenham,Nottingham,0,3
ROUND 31,22.03. 19:00,Newcastle,Sunderland,1,2
ROUND 31,22.03. 03:00,Leeds,Brentford,0,0
ROUND 31,22.03. 00:30,Everton,Chelsea,3,0
ROUND 31,21.03. 22:00,Fulham,Burnley,3,1
ROUND 31,21.03. 03:00,Bournemouth,Manchester Utd,2,2
ROUND 30,17.03. 03:00,Brentford,Wolves,2,2
ROUND 30,15.03. 21:00,Crystal Palace,Leeds,0,0
ROUND 30,15.03. 21:00,Manchester Utd,Aston Villa,3,1
ROUND 30,15.03. 21:00,Nottingham,Fulham,0,0
ROUND 30,15.03. 03:00,West Ham,Manchester City,1,1
ROUND 30,15.03. 00:30,Arsenal,Everton,2,0
ROUND 30,15.03. 00:30,Chelsea,Newcastle,0,1
ROUND 30,14.03. 22:00,Burnley,Bournemouth,0,0
ROUND 30,14.03. 22:00,Sunderland,Brighton,0,1
ROUND 29,06.03. 03:00,Tottenham,Crystal Palace,1,3
ROUND 29,05.03. 03:15,Newcastle,Manchester Utd,2,1
ROUND 29,05.03. 02:30,Aston Villa,Chelsea,1,4
ROUND 29,05.03. 02:30,Brighton,Arsenal,0,1
ROUND 29,05.03. 02:30,Fulham,West Ham,0,1
ROUND 29,05.03. 02:30,Manchester City,Nottingham,2,2
ROUND 29,04.03. 02:30,Bournemouth,Brentford,0,0
ROUND 29,04.03. 02:30,Everton,Burnley,2,0
ROUND 29,04.03. 02:30,Leeds,Sunderland,0,1
ROUND 28,01.03. 23:30,Arsenal,Chelsea,2,1
ROUND 28,01.03. 21:00,Brighton,Nottingham,2,1
ROUND 28,01.03. 21:00,Fulham,Tottenham,2,1
ROUND 28,01.03. 21:00,Manchester Utd,Crystal Palace,2,1
ROUND 28,01.03. 00:30,Leeds,Manchester City,0,1
ROUND 28,28.02. 22:00,Burnley,Brentford,3,4
ROUND 28,28.02. 22:00,Newcastle,Everton,2,3
ROUND 28,28.02. 19:30,Bournemouth,Sunderland,1,1
ROUND 28,28.02. 03:00,Wolves,Aston Villa,2,0
ROUND 27,24.02. 03:00,Everton,Manchester Utd,0,1
ROUND 27,22.02. 23:30,Tottenham,Arsenal,1,4
ROUND 27,22.02. 21:00,Crystal Palace,Wolves,1,0
ROUND 27,22.02. 21:00,Sunderland,Fulham,1,3
ROUND 27,22.02. 03:00,Manchester City,Newcastle,2,1
