PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
ebdaed7d,Alaat Abdul-Rahman,Alaat Abdul-Rahman,,FW,Western Sydney Wanderers,,,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,A-League Men,2024-2025
f6edb4c2,Asumah Abubakar,Asumah Abubakar,pt POR,FW,Brisbane,27,1997,11,10,789,8.8,4,2,6,4,0,0,2,0,0.46,0.23,0.68,0.46,0.68,Matches,0.17,0.50,24,8,33.3,0.91,2.74,,,,,,,,,,,,,,,,,,,A-League Men,2024-2025
6f0298b6,Néicer Acosta,Néicer Acosta,ec ECU,MF,Brisbane,21,2002,5,1,126,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,5,2,40.0,1.43,3.57,,,,,,,,,,,,,,,,,,,A-League Men,2024-2025
7dccb8b7,Matt Acton,Matt Acton,au AUS,GK,Brisbane,32,1992,10,10,900,10.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,1,10.0,10,10,16,1.60,3,900,0,0,0,,0,61.9,26,42,3,4,A-League Men,2024-2025
c8f11cfe,Eli Adams,Eli Adams,au AUS,"MF,FW",Newcastle Jets,22,2002,24,24,"1,941",21.6,9,1,10,9,0,0,2,0,0.42,0.05,0.46,0.42,0.46,Matches,0.16,0.53,55,17,30.9,0.79,2.55,,,,,,,,,,,,,,,,,,,A-League Men,2024-2025
41af2728,Kealey Adamson,Kealey Adamson,au AUS,"DF,MF",Macarthur FC,21,2003,26,25,"2,170",24.1,2,3,5,2,0,0,1,0,0.08,0.12,0.21,0.08,0.21,Matches,0.09,0.33,23,6,26.1,0.25,0.95,,,,,,,,,,,,,,,,,,,A-League Men,2024-2025
f492d870,Ethan Alagich,Ethan Alagich,au AUS,MF,Adelaide United,20,2003,26,26,"2,323",25.8,2,2,4,2,0,0,1,0,0.08,0.08,0.15,0.08,0.15,Matches,0.06,0.40,35,5,14.3,0.19,1.36,,,,,,,,,,,,,,,,,,,A-League Men,2024-2025
606502a9,Nathan Amanatidis,Nathan Amanatidis,au AUS,FW,Sydney FC,18,2006,2,0,29,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,3.10,,,,,,,,,,,,,,,,,,,A-League Men,2024-2025
606502a9,Nathan Amanatidis,Nathan Amanatidis,au AUS,FW,Sydney FC,18,2006,2,0,29,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,7,5,71.4,1.28,1.79,,,,,,,,,,,,,,,,,,,A-League Men,2024-2025
606502a9,Nathan Amanatidis,Nathan Amanatidis,au AUS,"MF,FW",Brisbane,18,2006,10,4,352,3.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,3.10,,,,,,,,,,,,,,,,,,,A-League Men,2024-2025
606502a9,Nathan Amanatidis,Nathan Amanatidis,au AUS,"MF,FW",Brisbane,18,2006,10,4,352,3.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,7,5,71.4,1.28,1.79,,,,,,,,,,,,,,,,,,,A-League Men,2024-2025
77128f7e,Luke Amos,Luke Amos,eng ENG,MF,Perth Glory,27,1997,8,8,516,5.7,1,0,1,1,0,0,2,0,0.17,0.00,0.17,0.17,0.17,Matches,0.10,0.50,10,2,20.0,0.35,1.74,,,,,,,,,,,,,,,,,,,A-League Men,2024-2025
c2a71ccd,Joel Anasmo,Joel Anasmo,au AUS,FW,Perth Glory,19,2004,11,0,182,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,5,3,60.0,1.48,2.47,,,,,,,,,,,,,,,,,,,A-League Men,2024-2025
ba3378a5,Marcus Antonsson,Marcus Antonsson,se SWE,FW,Western Sydney Wanderers,33,1991,25,4,756,8.4,7,1,8,6,1,1,0,0,0.83,0.12,0.95,0.71,0.83,Matches,0.21,0.40,28,15,53.6,1.79,3.33,,,,,,,,,,,,,,,,,,,A-League Men,2024-2025
47b8eb24,Hiroaki Aoyama,Hiroaki Aoyama,jp JPN,"MF,FW",Perth Glory,27,1996,5,4,212,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,1,1,100.0,0.42,0.42,,,,,,,,,,,,,,,,,,,A-League Men,2024-2025
22767d76,Thomas Aquilina,Thomas Aquilina,au AUS,"MF,DF",Newcastle Jets,23,2001,26,26,"2,301",25.6,2,6,8,2,0,0,3,0,0.08,0.23,0.31,0.08,0.31,Matches,0.06,0.20,34,10,29.4,0.39,1.33,,,,,,,,,,,,,,,,,,,A-League Men,2024-2025
93b7ac53,Garang Arou,Garang Arou,au AUS,DF,Newcastle Jets,20,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,A-League Men,2024-2025
c83c2c9c,Dino Arslanagic,Dino Arslanagic,be BEL,DF,Macarthur FC,31,1993,9,8,729,8.1,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,3,2,66.7,0.25,0.37,,,,,,,,,,,,,,,,,,,A-League Men,2024-2025
cd512214,Daniel Arzani,Daniel Arzani,au AUS,MF,Melbourne Victory,25,1999,25,16,"1,346",15.0,3,5,8,1,2,2,2,0,0.20,0.33,0.53,0.07,0.40,Matches,0.03,0.06,37,17,45.9,1.14,2.47,,,,,,,,,,,,,,,,,,,A-League Men,2024-2025
51caa1f0,Nathaniel Atkinson,Nathaniel Atkinson,au AUS,"DF,MF",Melb City,25,1999,26,25,"2,189",24.3,1,1,2,1,0,0,7,0,0.04,0.04,0.08,0.04,0.08,Matches,0.04,0.09,25,11,44.0,0.45,1.03,,,,,,,,,,,,,,,,,,,A-League Men,2024-2025
2e799cf0,Austin Ayoubi,Austin Ayoubi,au AUS,"MF,FW",Adelaide United,23,2001,15,7,525,5.8,2,2,4,2,0,0,0,0,0.34,0.34,0.69,0.34,0.69,Matches,0.13,0.29,15,7,46.7,1.20,2.57,,,,,,,,,,,,,,,,,,,A-League Men,2024-2025
ac21c061,Alex Badolato,Alex Badolato,au AUS,MF,Western Sydney Wanderers,19,2005,2,0,36,0.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,A-League Men,2024-2025
ac21c061,Alex Badolato,Alex Badolato,au AUS,MF,Western Sydney Wanderers,19,2005,2,0,36,0.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,6,4,66.7,2.02,3.03,,,,,,,,,,,,,,,,,,,A-League Men,2024-2025
ac21c061,Alex Badolato,Alex Badolato,au AUS,MF,Melbourne Victory,19,2005,6,1,178,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,A-League Men,2024-2025
ac21c061,Alex Badolato,Alex Badolato,au AUS,MF,Melbourne Victory,19,2005,6,1,178,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,6,4,66.7,2.02,3.03,,,,,,,,,,,,,,,,,,,A-League Men,2024-2025
c538e9e7,David Ball,David Ball,eng ENG,"FW,MF",Wellington Phoenix,34,1989,1,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,A-League Men,2024-2025
b2bef13f,Kosta Barbarouses,Kosta Barbarouses,nz NZL,FW,Wellington Phoenix,34,1990,26,26,"2,315",25.7,10,1,11,9,1,1,2,0,0.39,0.04,0.43,0.35,0.39,Matches,0.16,0.43,57,21,36.8,0.82,2.22,,,,,,,,,,,,,,,,,,,A-League Men,2024-2025
