PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
c7c450e4,Amelia Abbott,Amelia Abbott,nz NZL,MF,Wellington Phoenix,23,2001,4,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,2,0,0.0,0.00,4.00,,,,,,,,,,,,,,,,,,,A-League Women,2024-2025
328a93e2,Ella Abdul Massih,Ella Abdul Massih,au AUS,"MF,FW",Perth Glory,18,2006,13,3,407,4.5,1,0,1,1,0,0,1,0,0.22,0.00,0.22,0.22,0.22,Matches,0.11,0.33,9,3,33.3,0.66,1.99,,,,,,,,,,,,,,,,,,,A-League Women,2024-2025
a5ea4da5,Claire Adams,Claire Adams,au AUS,"MF,FW",Newcastle Jets,17,2006,16,2,354,3.9,1,1,2,1,0,0,0,0,0.25,0.25,0.51,0.25,0.51,Matches,0.13,0.20,8,5,62.5,1.27,2.03,,,,,,,,,,,,,,,,,,,A-League Women,2024-2025
20dfacba,Josie Allan,Josie Allan,au AUS,"FW,MF",Newcastle Jets,18,2006,15,10,849,9.4,3,1,4,3,0,0,1,0,0.32,0.11,0.42,0.32,0.42,Matches,0.13,0.43,23,7,30.4,0.74,2.44,,,,,,,,,,,,,,,,,,,A-League Women,2024-2025
d4383d4b,Lauren Allan,Lauren Allan,au AUS,"MF,DF",Newcastle Jets,27,1996,21,17,"1,568",17.4,4,2,6,4,0,0,0,0,0.23,0.11,0.34,0.23,0.34,Matches,0.11,0.29,36,14,38.9,0.80,2.07,,,,,,,,,,,,,,,,,,,A-League Women,2024-2025
9b51cae2,Mischa Anderson,Mischa Anderson,au AUS,DF,Perth Glory,18,2005,10,0,119,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,A-League Women,2024-2025
b9d1f41c,Liz Anton,Liz Anton,nz NZL,DF,Canberra United,25,1998,19,19,"1,710",19.0,1,0,1,1,0,0,0,0,0.05,0.00,0.05,0.05,0.05,Matches,0.09,0.50,11,2,18.2,0.11,0.58,,,,,,,,,,,,,,,,,,,A-League Women,2024-2025
c0514d60,Alexia Apostolakis,Alexia Apostolakis,au AUS,DF,Melbourne City,18,2006,23,22,"1,957",21.7,2,3,5,2,0,0,1,0,0.09,0.14,0.23,0.09,0.23,Matches,0.14,0.40,14,5,35.7,0.23,0.64,,,,,,,,,,,,,,,,,,,A-League Women,2024-2025
b2247033,Madison Ayson,Madison Ayson,,DF,Canberra United,,,14,14,"1,257",14.0,2,0,2,2,0,0,1,0,0.14,0.00,0.14,0.14,0.14,Matches,0.15,0.50,13,4,30.8,0.29,0.93,,,,,,,,,,,,,,,,,,,A-League Women,2024-2025
2205b9f4,Melissa Barbieri,Melissa Barbieri,au AUS,GK,Melbourne City,44,1980,3,1,115,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,0,0.0,3,1,1,0.78,0,115,0,0,0,,0,66.7,2,3,0,1,A-League Women,2024-2025
