PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
683f8c16,Milla Ahrenholt,Milla Ahrenholt,dk DEN,MF,Aarhus GF,18,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,A-Liga,2024-2025
0835cd1b,Tinaya Alexander,Tinaya Alexander,eng ENG,FW,HB Køge,25,1999,12,3,328,3.6,2,0,2,2,0,0,0,0,0.55,0.00,0.55,0.55,0.55,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,A-Liga,2024-2025
4635f116,Sara Amby,Sara Amby,dk DEN,FW,KoldingQ,17,2006,14,14,"1,191",13.2,1,0,1,1,0,0,3,0,0.08,0.00,0.08,0.08,0.08,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,A-Liga,2024-2025
6be2375f,Alberte Andersen,Alberte Andersen,dk DEN,GK,HB Køge,19,2004,20,20,"1,800",20.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,8,40.0,20,20,16,0.80,5,"1,800",1,1,0,0.0,0,,,,5,10,A-Liga,2024-2025
61e53546,Vibeke Andersen,Vibeke Andersen,dk DEN,MF,HB Køge,21,2003,13,10,834,9.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,A-Liga,2024-2025
7a8f1f97,Lily Anna Farkas,Lily Anna Farkas,hu HUN,FW,Hjørring,23,2001,9,0,213,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,A-Liga,2024-2025
f8180776,Signe Antvorskov,Signe Antvorskov,dk DEN,MF,Nordsjælland,17,2006,21,15,"1,151",12.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,A-Liga,2024-2025
8f4f0cc8,Emilía Ásgeirsdóttir,Emilía Ásgeirsdóttir,is ISL,FW,Nordsjælland,19,2005,14,14,"1,201",13.3,7,0,7,7,0,0,0,0,0.52,0.00,0.52,0.52,0.52,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,A-Liga,2024-2025
d45f29d7,Signe Baattrup,Signe Baattrup,dk DEN,DF,Aarhus GF,24,2000,22,22,"1,852",20.6,3,1,4,3,0,0,3,0,0.15,0.05,0.19,0.15,0.19,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,A-Liga,2024-2025
49211cf3,Caroline Bager,Caroline Bager,dk DEN,DF,HB Køge,17,2007,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,A-Liga,2024-2025
