PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
5166fdc0,Luis Abreu,Luis Abreu,py PAR,MF,Club Olimpia,22-057,2004,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,APF División de Honor,2026
483efaae,Diego Acosta,Diego Acosta,py PAR,FW,2 de Mayo,23-153,2002,14,5,611,6.8,4,1,5,4,0,1,2,0,0.59,0.15,0.74,0.59,0.74,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,APF División de Honor,2026
cdbdebf9,Marcelo Acosta,Marcelo Acosta,py PAR,MF,2 de Mayo,25-129,2000,7,5,402,4.5,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,APF División de Honor,2026
027cd69e,Oscar Acuña,Oscar Acuña,py PAR,FW,Libertad,18-121,2007,5,1,105,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,APF División de Honor,2026
9bd4dfda,Gabriel Aguayo,Gabriel Aguayo,py PAR,MF,Cerro Porteño,21-063,2005,5,1,168,1.9,1,0,1,1,0,0,1,0,0.54,0.00,0.54,0.54,0.54,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,APF División de Honor,2026
8be8ed45,Matías Agüero,Matías Agüero,py PAR,DF,San Lorenzo,21-348,2004,1,1,80,0.9,1,0,1,1,0,0,0,0,1.13,0.00,1.13,1.13,1.13,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,APF División de Honor,2026
52036d9a,Alfredo Aguilar,Alfredo Aguilar,py PAR,GK,Sportivo Luqueño,37-270,1988,14,14,"1,220",13.6,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,0,0.0,14,14,22,1.62,9,"1,220",3,3,0,0.0,0,,,,2,3,APF División de Honor,2026
00642d43,Gustavo Aguilar,Gustavo Aguilar,py PAR,FW,Libertad,26-121,1999,16,5,676,7.5,1,2,3,1,0,0,0,0,0.13,0.27,0.40,0.13,0.40,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,APF División de Honor,2026
385547bf,Rodrigo Alborno,Rodrigo Alborno,py PAR,DF,Rubio Ñu,32-245,1993,10,10,832,9.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,APF División de Honor,2026
926f893c,Adrián Alcaraz,Adrián Alcaraz,py PAR,FW,Club Olimpia,26-198,1999,15,8,856,9.5,6,1,7,4,2,2,4,0,0.63,0.11,0.74,0.42,0.53,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,APF División de Honor,2026
4d4a4b3f,Thiago Alcaraz,Thiago Alcaraz,,,Sportivo Ameliano,,,1,0,12,0.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,APF División de Honor,2026
