PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
da4b8a4e,Taha Abdi Ali,Taha Abdi Ali,se SWE,MF,Malmö,27-287,1998,2,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,4,1,25.0,0.50,2.00,,,,,,,,,,,,,,,,,,,Allsvenskan,2026
24c66967,Joackim Åberg,Joackim Åberg,se SWE,MF,GAIS,27-266,1998,2,2,152,1.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Allsvenskan,2026
fd99de9d,Paulos Abraham,Paulos Abraham,se SWE,FW,Hammarby,23-272,2002,2,1,117,1.3,3,0,3,3,0,0,0,0,2.31,0.00,2.31,2.31,2.31,Matches,0.43,0.75,7,4,57.1,3.08,5.38,,,,,,,,,,,,,,,,,,,Allsvenskan,2026
7cac4007,Kevin Ackermann,Kevin Ackermann,se SWE,MF,Brommapojkarna,24-325,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,2,1,50.0,1.00,2.00,,,,,,,,,,,,,,,,,,,Allsvenskan,2026
4ccca3c0,Odera Adindu,Odera Adindu,ng NGA,FW,Sirius,19-314,2006,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Allsvenskan,2026
6586d884,Frank Adjei Jnr,Frank Adjei Jnr,gh GHA,MF,Hammarby,22-025,2004,2,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Allsvenskan,2026
3d6aaa54,Jeremy Agbonifo,Jeremy Agbonifo,se SWE,FW,BK Häcken,20-172,2005,1,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Allsvenskan,2026
5ad77e97,Oskar Ågren,Oskar Ågren,se SWE,DF,GAIS,27-216,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,0.50,,,,,,,,,,,,,,,,,,,Allsvenskan,2026
12ab9e4c,Abdihakin Ali,Abdihakin Ali,se SWE,MF,AIK Stockholm,24-082,2002,1,1,64,0.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,1.41,,,,,,,,,,,,,,,,,,,Allsvenskan,2026
db7e298a,Saidou Alioum,Saidou Alioum,cm CMR,"MF,FW",Göteborg,22-263,2003,2,2,134,1.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,3,0,0.0,0.00,2.01,,,,,,,,,,,,,,,,,,,Allsvenskan,2026
097e650b,Joel Allansson,Joel Allansson,se SWE,MF,Halmstad,33-162,1992,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,0.50,,,,,,,,,,,,,,,,,,,Allsvenskan,2026
78506575,Rasmus Alm,Rasmus Alm,se SWE,"FW,MF",Örgryte,30-240,1995,2,0,39,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Allsvenskan,2026
e5e6cf52,Silas Andersen,Silas Andersen,dk DEN,MF,BK Häcken,21-305,2004,2,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,3,0,0.0,0.00,1.50,,,,,,,,,,,,,,,,,,,Allsvenskan,2026
1771aa56,David Andersson,David Andersson,se SWE,GK,BK Häcken,22-210,2003,2,1,135,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,1,100.0,2,1,2,1.33,0,135,0,0,0,,0,66.7,4,6,1,0,Allsvenskan,2026
1954edcd,Max Andersson,Max Andersson,se SWE,FW,GAIS,22-313,2003,1,1,55,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Allsvenskan,2026
1cedf8d8,Victor Andersson,Victor Andersson,se SWE,MF,AIK Stockholm,21-174,2004,2,0,29,0.3,1,0,1,1,0,0,0,0,3.10,0.00,3.10,3.10,3.10,Matches,0.50,0.50,2,2,100.0,6.21,6.21,,,,,,,,,,,,,,,,,,,Allsvenskan,2026
80c6bd3c,Anton Andreasson,Anton Andreasson,se SWE,MF,Örgryte,32-262,1993,2,2,171,1.9,2,0,2,2,0,0,0,0,1.05,0.00,1.05,1.05,1.05,Matches,0.50,1.00,4,2,50.0,1.05,2.11,,,,,,,,,,,,,,,,,,,Allsvenskan,2026
2e9ea8fd,Tobias Anker,Tobias Anker,dk DEN,DF,Sirius,25-039,2001,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,0.50,,,,,,,,,,,,,,,,,,,Allsvenskan,2026
