PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
86429529,Samuel Adeniran,Samuel Adeniran,us USA,FW,LASK,25,1998,14,6,566,6.3,1,1,2,1,0,0,4,0,0.16,0.16,0.32,0.16,0.32,Matches,0.04,0.10,28,10,35.7,1.59,4.45,,,,,,,,,,,,,,,,,,,Austrian Football Bundesliga,2024-2025
6449f935,Ange Ahoussou,Ange Ahoussou,ci CIV,DF,Rapid Wien,20,2003,10,8,787,8.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,6,2,33.3,0.23,0.69,,,,,,,,,,,,,,,,,,,Austrian Football Bundesliga,2024-2025
d810c13b,Emanuel Aiwum,Emanuel Aiwum,at AUT,DF,Sturm Graz,23,2000,27,25,"2,232",24.8,1,0,1,1,0,0,8,0,0.04,0.00,0.04,0.04,0.04,Matches,0.08,0.20,12,5,41.7,0.20,0.48,,,,,,,,,,,,,,,,,,,Austrian Football Bundesliga,2024-2025
b3bff155,Konstantin Aleksa,Konstantin Aleksa,at AUT,FW,Austria Wien,17,2007,9,0,85,0.9,0,1,1,0,0,0,0,0,0.00,1.06,1.06,0.00,1.06,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Austrian Football Bundesliga,2024-2025
9432be82,Sandro Altunashvili,Sandro Altunashvili,ge GEO,MF,Wolfsberger AC,27,1997,18,8,794,8.8,1,0,1,1,0,0,1,0,0.11,0.00,0.11,0.11,0.11,Matches,0.33,0.50,3,2,66.7,0.23,0.34,,,,,,,,,,,,,,,,,,,Austrian Football Bundesliga,2024-2025
f274c1c7,Nelson Amadin,Nelson Amadin,nl NED,MF,Hartberg,23,2000,5,1,148,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,2,0,0.0,0.00,1.22,,,,,,,,,,,,,,,,,,,Austrian Football Bundesliga,2024-2025
e134b9f9,Romeo Amane,Romeo Amane,ci CIV,MF,Rapid Wien,21,2003,9,5,562,6.2,1,0,1,1,0,0,0,0,0.16,0.00,0.16,0.16,0.16,Matches,0.17,1.00,6,1,16.7,0.16,0.96,,,,,,,,,,,,,,,,,,,Austrian Football Bundesliga,2024-2025
c3213bab,Anderson,Anderson,br BRA,"MF,DF",Blau-Weiß Linz,26,1998,31,30,"2,494",27.7,2,5,7,2,0,0,3,0,0.07,0.18,0.25,0.07,0.25,Matches,0.05,0.14,39,14,35.9,0.51,1.41,,,,,,,,,,,,,,,,,,,Austrian Football Bundesliga,2024-2025
6ea23758,Andrés Andrade Cedeño,Andrés Andrade Cedeño,pa PAN,DF,LASK,25,1998,7,7,523,5.8,1,1,2,1,0,0,1,1,0.17,0.17,0.34,0.17,0.34,Matches,0.17,0.33,6,3,50.0,0.52,1.03,,,,,,,,,,,,,,,,,,,Austrian Football Bundesliga,2024-2025
8fa64977,Tobias Anselm,Tobias Anselm,at AUT,"FW,MF",WSG Tirol,24,2000,20,3,603,6.7,2,0,2,2,0,0,1,0,0.30,0.00,0.30,0.30,0.30,Matches,0.11,0.22,19,9,47.4,1.34,2.84,,,,,,,,,,,,,,,,,,,Austrian Football Bundesliga,2024-2025
583d6c1f,David Atanga,David Atanga,gh GHA,"MF,FW",Wolfsberger AC,27,1996,15,6,721,8.0,4,1,5,3,1,1,3,0,0.50,0.12,0.62,0.37,0.50,Matches,0.30,0.50,10,6,60.0,0.75,1.25,,,,,,,,,,,,,,,,,,,Austrian Football Bundesliga,2024-2025
e8dcb664,Jonas Auer,Jonas Auer,at AUT,DF,Rapid Wien,23,2000,25,22,"1,970",21.9,2,1,3,2,0,0,4,0,0.09,0.05,0.14,0.09,0.14,Matches,0.22,0.67,9,3,33.3,0.14,0.41,,,,,,,,,,,,,,,,,,,Austrian Football Bundesliga,2024-2025
e65a7469,Donis Avdijaj,Donis Avdijaj,xk KVX,"MF,FW",Hartberg,27,1996,29,27,"2,227",24.7,4,4,8,4,0,0,4,0,0.16,0.16,0.32,0.16,0.32,Matches,0.07,0.15,58,27,46.6,1.09,2.34,,,,,,,,,,,,,,,,,,,Austrian Football Bundesliga,2024-2025
f831a8dc,Sofian Bahloul,Sofian Bahloul,fr FRA,"FW,MF",Rheindorf Altach,24,1999,12,4,437,4.9,0,1,1,0,0,0,1,0,0.00,0.21,0.21,0.00,0.21,Matches,0.00,0.00,8,2,25.0,0.41,1.65,,,,,,,,,,,,,,,,,,,Austrian Football Bundesliga,2024-2025
3fb33d66,Mike-Steven Bähre,Mike-Steven Bähre,de GER,MF,Rheindorf Altach,28,1995,29,23,"2,005",22.3,1,1,2,0,1,2,9,0,0.04,0.04,0.09,0.00,0.04,Matches,0.00,0.00,16,3,18.8,0.13,0.72,,,,,,,,,,,,,,,,,,,Austrian Football Bundesliga,2024-2025
499cf964,Edmund Baidoo,Edmund Baidoo,gh GHA,"MF,FW",RB Salzburg,18,2006,18,2,473,5.3,4,1,5,4,0,0,0,0,0.76,0.19,0.95,0.76,0.95,Matches,0.29,0.44,14,9,64.3,1.71,2.66,,,,,,,,,,,,,,,,,,,Austrian Football Bundesliga,2024-2025
9440e587,Samson Baidoo,Samson Baidoo,at AUT,DF,RB Salzburg,20,2004,29,29,"2,609",29.0,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,14,1,7.1,0.03,0.48,,,,,,,,,,,,,,,,,,,Austrian Football Bundesliga,2024-2025
32e8417f,Stefan Bajcetic,Stefan Bajcetic,es ESP,MF,RB Salzburg,19,2004,12,6,614,6.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,10,0,0.0,0.00,1.47,,,,,,,,,,,,,,,,,,,Austrian Football Bundesliga,2024-2025
6bcf5582,Elias Bakatukanda,Elias Bakatukanda,de GER,DF,Blau-Weiß Linz,20,2004,12,7,717,8.0,1,0,1,1,0,0,1,0,0.13,0.00,0.13,0.13,0.13,Matches,0.14,0.25,7,4,57.1,0.50,0.88,,,,,,,,,,,,,,,,,,,Austrian Football Bundesliga,2024-2025
d32daf5d,Thierno Ballo,Thierno Ballo,at AUT,"FW,MF",Wolfsberger AC,22,2002,31,29,"2,451",27.2,10,6,16,8,2,2,7,0,0.37,0.22,0.59,0.29,0.51,Matches,0.16,0.32,51,25,49.0,0.92,1.87,,,,,,,,,,,,,,,,,,,Austrian Football Bundesliga,2024-2025
77ffd19f,Mazou Bambara,Mazou Bambara,bf BFA,FW,WSG Tirol,22,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Austrian Football Bundesliga,2024-2025
789a8682,Abubakr Barry,Abubakr Barry,gm GAM,MF,Austria Wien,24,2000,30,27,"2,147",23.9,1,3,4,1,0,0,8,0,0.04,0.13,0.17,0.04,0.17,Matches,0.05,0.14,22,7,31.8,0.29,0.92,,,,,,,,,,,,,,,,,,,Austrian Football Bundesliga,2024-2025
53ccc8ad,Dominik Baumgartner,Dominik Baumgartner,at AUT,DF,Wolfsberger AC,28,1996,28,28,"2,405",26.7,2,0,2,2,0,0,8,0,0.07,0.00,0.07,0.07,0.07,Matches,0.07,0.25,28,8,28.6,0.30,1.05,,,,,,,,,,,,,,,,,,,Austrian Football Bundesliga,2024-2025
45578ff2,Belmin Beganovic,Belmin Beganovic,at AUT,FW,Sturm Graz,19,2004,3,0,35,0.4,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,2,0,0.0,0.00,5.14,,,,,,,,,,,,,,,,,,,Austrian Football Bundesliga,2024-2025
