PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
8073edf4,Ahmed Abdullahi,Ahmed Abdullahi,ng NGA,FW,Gent,20,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Belgian Pro League,2024-2025
66fb354d,Francis Abu,Francis Abu,gh GHA,MF,Cercle Brugge,23,2001,33,19,"1,823",20.3,0,4,4,0,0,0,3,1,0.00,0.20,0.20,0.00,0.20,Matches,0.00,0.00,22,2,9.1,0.10,1.09,,,,,,,,,,,,,,,,,,,Belgian Pro League,2024-2025
6647c1f0,Orseer Achihi,Orseer Achihi,ng NGA,FW,Antwerp,17,2006,1,0,28,0.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,3.21,,,,,,,,,,,,,,,,,,,Belgian Pro League,2024-2025
7219fc4f,Desmond Acquah,Desmond Acquah,be BEL,MF,Dender,22,2002,17,0,307,3.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,4,1,25.0,0.29,1.17,,,,,,,,,,,,,,,,,,,Belgian Pro League,2024-2025
9962d6f7,Noah Adedeji,Noah Adedeji,be BEL,MF,Genk,19,2005,33,8,872,9.7,4,4,8,4,0,0,0,0,0.41,0.41,0.83,0.41,0.83,Matches,0.15,0.33,27,12,44.4,1.24,2.79,,,,,,,,,,,,,,,,,,,Belgian Pro League,2024-2025
66ff36d9,Farouck Adekami,Farouck Adekami,ci CIV,MF,Antwerp,17,2006,3,1,129,1.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,5,2,40.0,1.40,3.49,,,,,,,,,,,,,,,,,,,Belgian Pro League,2024-2025
ce497519,Mohammed El Âdfaoui,Mohammed El Âdfaoui,be BEL,MF,Gent,16,2008,2,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Belgian Pro League,2024-2025
e980e78d,Adryelson,Adryelson,br BRA,DF,Anderlecht,26,1998,10,8,706,7.8,1,0,1,1,0,0,0,0,0.13,0.00,0.13,0.13,0.13,Matches,0.17,0.33,6,3,50.0,0.38,0.76,,,,,,,,,,,,,,,,,,,Belgian Pro League,2024-2025
414d77f9,Lawrence Agyekum,Lawrence Agyekum,gh GHA,MF,Cercle Brugge,20,2003,33,29,"2,406",26.7,2,2,4,2,0,0,2,0,0.07,0.07,0.15,0.07,0.15,Matches,0.05,0.17,40,12,30.0,0.45,1.50,,,,,,,,,,,,,,,,,,,Belgian Pro League,2024-2025
003d8899,Takahiro Akimoto,Takahiro Akimoto,jp JPN,"DF,MF",OH Leuven,26,1998,25,23,"2,027",22.5,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,15,2,13.3,0.09,0.67,,,,,,,,,,,,,,,,,,,Belgian Pro League,2024-2025
