PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
bb083681,Noah Abatneh,Noah Abatneh,ca CAN,DF,ca Atlético Ottawa,21-193,2004,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,CONCACAF Champions Cup,2026
3a5b1cd3,Sergio Abreu,Sergio Abreu,do DOM,MF,do Universidad O&M FC,23-001,2003,1,0,15,0.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,CONCACAF Champions Cup,2026
4ab21ca4,Alonso Aceves,Alonso Aceves,mx MEX,DF,mx Monterrey,25-012,2001,4,2,201,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,0.45,,,,,,,,,,,,,,,,,,,CONCACAF Champions Cup,2026
c5f400f4,Bryan Acosta,Bryan Acosta,hn HON,MF,us Nashville SC,32-136,1993,3,2,146,1.6,0,1,1,0,0,0,0,0,0.00,0.62,0.62,0.00,0.62,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,CONCACAF Champions Cup,2026
cb98d15d,Daniel Aguilar,Daniel Aguilar,mx MEX,MF,ca Atlético Ottawa,28-062,1998,2,0,61,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,1,1,100.0,1.48,1.48,,,,,,,,,,,,,,,,,,,CONCACAF Champions Cup,2026
06dddd9e,Érick Aguirre,Érick Aguirre,mx MEX,DF,mx Monterrey,29-045,1997,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,CONCACAF Champions Cup,2026
b5691f5d,Rodrigo Aguirre,Rodrigo Aguirre,uy URU,FW,mx UANL,31-190,1994,3,3,239,2.7,4,1,5,4,0,0,0,0,1.51,0.38,1.88,1.51,1.88,Matches,0.36,1.00,11,4,36.4,1.11,3.06,,,,,,,,,,,,,,,,,,,CONCACAF Champions Cup,2026
ac30468d,Jorge Agustín Rodríguez,Jorge Agustín Rodríguez,ar ARG,MF,mx Monterrey,30-206,1995,3,3,252,2.8,1,0,1,1,0,0,2,0,0.36,0.00,0.36,0.36,0.36,Matches,0.50,1.00,2,1,50.0,0.36,0.71,,,,,,,,,,,,,,,,,,,CONCACAF Champions Cup,2026
fa2b21c1,Omar Alba,Omar Alba,pa PAN,DF,pa Sporting San Miguelito,22-014,2004,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,1,1,100.0,0.50,0.50,,,,,,,,,,,,,,,,,,,CONCACAF Champions Cup,2026
2a8638ec,Jesús Alberto Angulo,Jesús Alberto Angulo,mx MEX,DF,mx UANL,28-069,1998,3,3,238,2.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,CONCACAF Champions Cup,2026
