PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
6140be7b,Nicolás Acevedo,Nicolás Acevedo,uy URU,"DF,MF",Bahia,27-000,1999,9,9,759,8.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,5,2,40.0,0.24,0.59,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro Série A,2026
363ba6d7,Luciano Acosta,Luciano Acosta,ar ARG,"MF,FW",Fluminense,31-318,1994,10,10,668,7.4,3,3,6,3,0,0,3,0,0.40,0.40,0.81,0.40,0.81,Matches,0.17,0.43,18,7,38.9,0.94,2.43,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro Série A,2026
eda38706,Adson,Adson,br BRA,MF,Vasco da Gama,25-190,2000,2,0,56,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,3,0,0.0,0.00,4.82,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro Série A,2026
74b396d8,Braian Aguirre,Braian Aguirre,ar ARG,"MF,DF",Internacional,25-260,2000,9,4,402,4.5,0,1,1,0,0,0,1,0,0.00,0.22,0.22,0.00,0.22,Matches,0.00,0.00,8,2,25.0,0.45,1.79,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro Série A,2026
65159211,Yuri Alberto,Yuri Alberto,br BRA,FW,Corinthians,25-027,2001,7,7,601,6.7,1,0,1,1,0,0,1,0,0.15,0.00,0.15,0.15,0.15,Matches,0.08,0.14,13,7,53.8,1.05,1.95,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro Série A,2026
2f90595a,José Aldo,José Aldo,br BRA,MF,Mirassol,27-263,1998,9,7,633,7.0,0,1,1,0,0,0,4,0,0.00,0.14,0.14,0.00,0.14,Matches,0.00,0.00,7,3,42.9,0.43,1.00,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro Série A,2026
3415a44d,Alerrandro,Alerrandro,br BRA,FW,Internacional,26-092,2000,10,3,301,3.3,1,0,1,1,0,0,0,0,0.30,0.00,0.30,0.30,0.30,Matches,0.08,0.25,12,4,33.3,1.20,3.59,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro Série A,2026
611e984e,Alesson,Alesson,br BRA,"MF,FW",Mirassol,27-057,1999,10,7,552,6.1,0,2,2,0,0,0,1,0,0.00,0.33,0.33,0.00,0.33,Matches,0.00,0.00,13,6,46.2,0.98,2.12,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro Série A,2026
08ac23b7,Caio Alexandre,Caio Alexandre,br BRA,MF,Bahia,27-049,1999,8,5,341,3.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro Série A,2026
0212e748,Matheus Alexandre,Matheus Alexandre,br BRA,DF,Remo,27-007,1999,1,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro Série A,2026
b13e7a78,Alexsander,Alexsander,br BRA,MF,Atlético Mineiro,22-188,2003,2,0,20,0.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro Série A,2026
99139fa4,Alisson,Alisson,br BRA,MF,Fluminense,32-293,1993,4,0,42,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro Série A,2026
aae04867,Allan,Allan,br BRA,MF,Palmeiras,21-360,2004,11,10,827,9.2,3,0,3,3,0,0,2,0,0.33,0.00,0.33,0.33,0.33,Matches,0.19,0.33,16,9,56.3,0.98,1.74,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro Série A,2026
b15e93aa,Allan,Allan,br BRA,MF,Corinthians,29-042,1997,7,3,289,3.2,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,2,1,50.0,0.31,0.62,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro Série A,2026
cc700722,Allan,Allan,br BRA,MF,Botafogo (RJ),35-096,1991,7,6,419,4.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,2,0,0.0,0.00,0.43,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro Série A,2026
8a8200ca,Allex,Allex,br BRA,MF,Internacional,19-345,2006,1,0,23,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro Série A,2026
4a8d8800,Kayky Almeida,Kayky Almeida,br BRA,DF,Remo,20-348,2005,7,5,486,5.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,5,2,40.0,0.37,0.93,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro Série A,2026
b18a3023,Júnior Alonso,Júnior Alonso,py PAR,DF,Atlético Mineiro,33-064,1993,6,6,540,6.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,3,0,0.0,0.00,0.50,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro Série A,2026
4f0fbd15,Francis Amuzu,Francis Amuzu,be BEL,"MF,FW",Grêmio,26-234,1999,10,8,654,7.3,1,2,3,1,0,0,0,0,0.14,0.28,0.41,0.14,0.41,Matches,0.06,0.14,18,7,38.9,0.96,2.48,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro Série A,2026
a03b3912,Anderson,Anderson,br BRA,FW,Vitória,23-198,2002,4,0,73,0.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,4,1,25.0,1.23,4.93,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro Série A,2026
9f1893b9,Felipe Anderson,Felipe Anderson,br BRA,MF,Palmeiras,32-364,1993,8,1,197,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,5,1,20.0,0.46,2.28,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro Série A,2026
070eb3e3,Léo Andrade,Léo Andrade,br BRA,DF,Remo,27-361,1998,4,3,295,3.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro Série A,2026
867660e8,André,André,br BRA,MF,Corinthians,19-298,2006,10,7,612,6.8,1,0,1,1,0,0,1,1,0.15,0.00,0.15,0.15,0.15,Matches,0.09,0.50,11,2,18.2,0.29,1.62,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro Série A,2026
0bedf7a0,Andrey,Andrey,br BRA,MF,Vasco da Gama,18-068,2008,1,0,23,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,1,1,100.0,3.91,3.91,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro Série A,2026
fdd26d71,Fabrizio Angileri,Fabrizio Angileri,ar ARG,DF,Corinthians,32-030,1994,5,3,327,3.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro Série A,2026
a0b17b31,Anthoni,Anthoni,br BRA,GK,Internacional,24-081,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,0,0.0,1,1,1,1.00,0,90,0,0,0,,0,66.7,2,3,1,0,Campeonato Brasileiro Série A,2026
108fe016,Marcos Antônio,Marcos Antônio,br BRA,MF,São Paulo,25-305,2000,11,9,858,9.5,0,2,2,0,0,0,1,0,0.00,0.21,0.21,0.00,0.21,Matches,0.00,0.00,9,1,11.1,0.10,0.94,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro Série A,2026
f26429fb,David Antunes,David Antunes,br BRA,MF,Chapecoense,20-240,2005,3,0,27,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,2,0,0.0,0.00,6.67,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro Série A,2026
2b15a82a,Guilherme Arana,Guilherme Arana,br BRA,DF,Fluminense,29-000,1997,7,4,384,4.3,1,0,1,1,0,0,2,0,0.23,0.00,0.23,0.23,0.23,Matches,0.13,0.33,8,3,37.5,0.70,1.87,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro Série A,2026
f47a530a,Willian Arão,Willian Arão,br BRA,MF,Santos,33-132,1992,7,4,354,3.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro Série A,2026
fa18c72e,Luiz Araújo,Luiz Araújo,br BRA,MF,Flamengo,29-316,1996,6,2,161,1.8,1,1,2,1,0,0,1,0,0.56,0.56,1.12,0.56,1.12,Matches,0.33,1.00,3,1,33.3,0.56,1.68,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro Série A,2026
1159e4ae,Michel Araujo,Michel Araujo,uy URU,MF,Bahia,29-198,1996,7,0,133,1.5,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,0.68,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro Série A,2026
269dbfc6,Robert Arboleda,Robert Arboleda,ec ECU,DF,São Paulo,34-174,1991,6,3,317,3.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,0.28,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro Série A,2026
21803aa2,Lucas Arcanjo,Lucas Arcanjo,br BRA,GK,Vitória,27-249,1998,7,7,630,7.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,3,42.9,7,7,7,1.00,2,630,0,1,0,100.0,1,78.1,26,32,2,3,Campeonato Brasileiro Série A,2026
86d96066,Jhon Arias,Jhon Arias,co COL,MF,Palmeiras,28-205,1997,7,6,507,5.6,3,0,3,3,0,0,3,0,0.53,0.00,0.53,0.53,0.53,Matches,0.25,0.50,12,6,50.0,1.07,2.13,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro Série A,2026
a9c426f6,Keny Arroyo,Keny Arroyo,ec ECU,MF,Cruzeiro,20-059,2006,10,6,508,5.6,0,2,2,0,0,0,1,0,0.00,0.35,0.35,0.00,0.35,Matches,0.00,0.00,11,6,54.5,1.06,1.95,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro Série A,2026
caf3e90b,Arthur,Arthur,br BRA,DF,Palmeiras,20-222,2005,7,3,300,3.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,2,1,50.0,0.30,0.60,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro Série A,2026
105132cd,Artur,Artur,br BRA,FW,Botafogo (RJ),28-058,1998,4,1,192,2.1,1,0,1,1,0,0,0,0,0.47,0.00,0.47,0.47,0.47,Matches,0.20,0.25,5,4,80.0,1.87,2.34,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro Série A,2026
105132cd,Artur,Artur,br BRA,FW,Botafogo (RJ),28-058,1998,4,1,192,2.1,1,0,1,1,0,0,0,0,0.47,0.00,0.47,0.47,0.47,Matches,0.00,0.00,6,3,50.0,1.00,2.01,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro Série A,2026
105132cd,Artur,Artur,br BRA,MF,São Paulo,28-058,1998,3,3,269,3.0,0,1,1,0,0,0,0,0,0.00,0.33,0.33,0.00,0.33,Matches,0.20,0.25,5,4,80.0,1.87,2.34,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro Série A,2026
105132cd,Artur,Artur,br BRA,MF,São Paulo,28-058,1998,3,3,269,3.0,0,1,1,0,0,0,0,0,0.00,0.33,0.33,0.00,0.33,Matches,0.00,0.00,6,3,50.0,1.00,2.01,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro Série A,2026
2f94a698,Giovanni Augusto,Giovanni Augusto,br BRA,"MF,FW",Chapecoense,36-221,1989,7,6,300,3.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,2,0,0.0,0.00,0.60,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro Série A,2026
