PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
a3aeca4e,Aila,Aila,br BRA,DF,Bahia,26-177,1999,3,1,180,2.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro de Futebol Feminino Série A1,2026
fc40288d,Alexia,Alexia,br BRA,MF,Juventude,32-067,1994,1,0,17,0.2,0,,,0,0,0,1,0,0.00,,,0.00,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro de Futebol Feminino Série A1,2026
0999baae,Alice,Alice,br BRA,FW,Internacional,20-340,2005,1,0,18,0.2,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro de Futebol Feminino Série A1,2026
c5d38d14,Allyne,Allyne,br BRA,DF,Grêmio,17-304,2008,3,1,69,0.8,1,,,1,0,0,0,0,1.30,,,1.30,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro de Futebol Feminino Série A1,2026
63993dec,Altamires,Altamires,br BRA,DF,Fluminense,32-289,1993,3,0,24,0.3,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro de Futebol Feminino Série A1,2026
e0b95f26,Karla Alves,Karla Alves,br BRA,MF,São Paulo,26-142,1999,3,0,82,0.9,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro de Futebol Feminino Série A1,2026
e8f08b3d,Karol Alves,Karol Alves,br BRA,DF,Mixto EC,26-229,1999,6,4,391,4.3,0,,,0,0,0,2,0,0.00,,,0.00,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro de Futebol Feminino Série A1,2026
af0a1042,Ketlin Alves,Ketlin Alves,br BRA,FW,América–MG,15-212,2010,5,0,81,0.9,0,,,0,0,0,1,0,0.00,,,0.00,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro de Futebol Feminino Série A1,2026
697ebc98,Amália,Amália,br BRA,FW,CA Mineiro,23-330,2002,6,3,286,3.2,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro de Futebol Feminino Série A1,2026
410a58fa,Amanda,Amanda,br BRA,MF,Grêmio,33-050,1993,3,3,177,2.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Campeonato Brasileiro de Futebol Feminino Série A1,2026
