PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
bb083681,Noah Abatneh,Noah Abatneh,ca CAN,DF,Atlético Ottawa,21-198,2004,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Canadian Premier League,2026
97a59a10,Diyaeddine Abzi,Diyaeddine Abzi,ca CAN,DF,FC Supra,27-142,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Canadian Premier League,2026
20f672b9,Luca Accettola,Luca Accettola,ca CAN,MF,Inter Toronto,22-054,2004,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Canadian Premier League,2026
cb98d15d,Daniel Aguilar,Daniel Aguilar,mx MEX,FW,Atlético Ottawa,28-067,1998,2,1,97,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Canadian Premier League,2026
e47e2386,Victor Akinwale,Victor Akinwale,eng ENG,FW,HFX Wanderers,21-251,2004,2,0,24,0.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Canadian Premier League,2026
615aea0c,Jefferson Alphonse,Jefferson Alphonse,ca CAN,DF,HFX Wanderers,22-306,2003,2,2,159,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Canadian Premier League,2026
bcd37efe,Julian Altobelli,Julian Altobelli,ca CAN,FW,Inter Toronto,23-161,2002,1,1,80,0.9,2,0,2,2,0,0,0,0,2.25,0.00,2.25,2.25,2.25,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Canadian Premier League,2026
52b0c182,Mohamed Amissi,Mohamed Amissi,bi BDI,FW,Vancouver FC,25-254,2000,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Canadian Premier League,2026
33ef386b,Gabriel Antinoro,Gabriel Antinoro,ca CAN,"MF,FW",Atlético Ottawa,21-355,2004,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Canadian Premier League,2026
badcc576,Manny Aparicio,Manny Aparicio,ca CAN,MF,Atlético Ottawa,30-209,1995,2,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Canadian Premier League,2026
a7595fe2,Miguel Arilla,Miguel Arilla,es ESP,MF,HFX Wanderers,23-095,2003,2,1,84,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Canadian Premier League,2026
98ed6798,Anthony Aromatario,Anthony Aromatario,ca CAN,MF,Forge FC,22-349,2003,2,2,180,2.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Canadian Premier League,2026
63eb4b71,Jean-Aniel Assi,Jean-Aniel Assi,ca CAN,MF,Atlético Ottawa,21-279,2004,2,0,46,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Canadian Premier League,2026
44ee9df4,Charles Auguste,Charles Auguste,ca CAN,DF,FC Supra,26-140,1999,1,1,89,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Canadian Premier League,2026
30fe5094,Molham Babouli,Molham Babouli,sy SYR,MF,Forge FC,33-072,1993,2,2,177,2.0,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Canadian Premier League,2026
1f0ad9c1,Beni Badibanga,Beni Badibanga,be BEL,"FW,MF",Inter Toronto,30-054,1996,1,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Canadian Premier League,2026
f60daf04,Thierno Bah,Thierno Bah,ca CAN,FW,Vancouver FC,21-258,2004,2,2,153,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Canadian Premier League,2026
1f01506c,Jason Bahamboula,Jason Bahamboula,cg CGO,FW,HFX Wanderers,24-303,2001,2,2,143,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Canadian Premier League,2026
32c5216d,Matthew Baldisimo,Matthew Baldisimo,ph PHI,MF,Pacific FC,28-084,1998,2,2,160,1.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Canadian Premier League,2026
894b41c5,Michael Baldisimo,Michael Baldisimo,ph PHI,"DF,MF",Cavalry FC,26-001,2000,1,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Canadian Premier League,2026
