PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
86bddbc7,Shuto Abe,Shuto Abe,jp JPN,MF,RWDM,26,1997,27,26,"2,219",24.7,2,1,3,2,0,0,6,0,0.08,0.04,0.12,0.08,0.12,Matches,0.07,0.33,30,6,20.0,0.24,1.22,,,,,,,,,,,,,,,,,,,Challenger Pro League,2024-2025
aa861653,Adnane Abid,Adnane Abid,be BEL,MF,Patro Eisden,20,2003,26,26,"2,293",25.5,4,7,11,4,0,0,5,0,0.16,0.27,0.43,0.16,0.43,Matches,0.10,0.24,41,17,41.5,0.67,1.61,,,,,,,,,,,,,,,,,,,Challenger Pro League,2024-2025
ab130e74,Kurt Abrahams,Kurt Abrahams,za RSA,MF,Beveren,27,1996,13,9,813,9.0,2,4,6,2,0,0,5,0,0.22,0.44,0.66,0.22,0.66,Matches,0.11,0.33,19,6,31.6,0.66,2.10,,,,,,,,,,,,,,,,,,,Challenger Pro League,2024-2025
9962d6f7,Noah Adedeji,Noah Adedeji,be BEL,MF,Jong Genk,19,2005,3,3,213,2.4,0,1,1,0,0,0,0,0,0.00,0.42,0.42,0.00,0.42,Matches,0.00,0.00,4,2,50.0,0.85,1.69,,,,,,,,,,,,,,,,,,,Challenger Pro League,2024-2025
26bea588,Bryan Adinany,Bryan Adinany,mg MAD,FW,Lierse,24,2000,22,20,"1,740",19.3,7,2,9,5,2,2,5,1,0.36,0.10,0.47,0.26,0.36,Matches,0.11,0.28,45,18,40.0,0.93,2.33,,,,,,,,,,,,,,,,,,,Challenger Pro League,2024-2025
c5d0e6a5,Malek Adrar,Malek Adrar,ma MAR,MF,Francs Borains,20,2004,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Challenger Pro League,2024-2025
c8ceae20,Kluiverth Aguilar,Kluiverth Aguilar,pe PER,DF,Lommel,21,2003,16,13,"1,087",12.1,0,1,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,Matches,0.00,,5,0,0.0,0.00,0.41,,,,,,,,,,,,,,,,,,,Challenger Pro League,2024-2025
1377ff7e,Christian Akpan,Christian Akpan,ng NGA,MF,Jong Genk,19,2005,22,21,"1,848",20.5,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,18,6,33.3,0.29,0.88,,,,,,,,,,,,,,,,,,,Challenger Pro League,2024-2025
848e30b2,George Alalabang,George Alalabang,cm CMR,"DF,MF",Seraing,20,2004,20,7,696,7.7,0,2,2,0,0,0,0,0,0.00,0.26,0.26,0.00,0.26,Matches,0.00,0.00,10,5,50.0,0.65,1.29,,,,,,,,,,,,,,,,,,,Challenger Pro League,2024-2025
7ac358e2,Alessandro Albanese,Alessandro Albanese,be BEL,MF,RFC Liège,24,2000,8,1,146,1.6,1,1,2,1,0,0,0,0,0.62,0.62,1.23,0.62,1.23,Matches,0.14,0.33,7,3,42.9,1.85,4.32,,,,,,,,,,,,,,,,,,,Challenger Pro League,2024-2025
19445646,Maxime Allione,Maxime Allione,fr FRA,DF,Seraing,24,2000,23,13,"1,251",13.9,2,2,4,2,0,0,7,0,0.14,0.14,0.29,0.14,0.29,Matches,0.40,1.00,5,2,40.0,0.14,0.36,,,,,,,,,,,,,,,,,,,Challenger Pro League,2024-2025
01df0dc4,Teddy Alloh,Teddy Alloh,fr FRA,"DF,MF",Eupen,22,2002,23,18,"1,464",16.3,1,2,3,1,0,0,6,0,0.06,0.12,0.18,0.06,0.18,Matches,0.50,1.00,2,1,50.0,0.06,0.12,,,,,,,,,,,,,,,,,,,Challenger Pro League,2024-2025
345b7e03,Alpha Amadou Barry,Alpha Amadou Barry,nl NED,DF,Jong Genk,17,2007,1,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Challenger Pro League,2024-2025
09afe920,Yeboah Amankwah,Yeboah Amankwah,eng ENG,DF,Lommel,23,2000,10,4,405,4.5,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,1,1,100.0,0.22,0.22,,,,,,,,,,,,,,,,,,,Challenger Pro League,2024-2025
