PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
56fe5387,Abduhamit Abdugheni,Abduhamit Abdugheni,cn CHN,DF,Beijing Guoan,28-035,1998,5,5,450,5.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,2,0,0.0,0.00,0.40,,,,,,,,,,,,,,,,,,,Chinese Football Association Super League,2026
6560eddc,Halit Abdugheni,Halit Abdugheni,cn CHN,MF,Wuhan Three Towns,20-079,2006,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,22.50,,,,,,,,,,,,,,,,,,,Chinese Football Association Super League,2026
4e9ca70d,Ablikim Abdulsalam,Ablikim Abdulsalam,cn CHN,MF,Zhejiang,23-099,2003,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Chinese Football Association Super League,2026
1b138544,Fábio Abreu,Fábio Abreu,ao ANG,FW,Beijing Guoan,33-075,1993,5,5,405,4.5,2,0,2,2,0,0,1,0,0.44,0.00,0.44,0.44,0.44,Matches,0.20,0.33,10,6,60.0,1.33,2.22,,,,,,,,,,,,,,,,,,,Chinese Football Association Super League,2026
8a3b2cbb,Buniyaming Abudoushalamu,Buniyaming Abudoushalamu,cn CHN,FW,Yunnan Yukun,18-005,2008,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Chinese Football Association Super League,2026
a535cae8,Abudurousuli Abudulamu,Abudurousuli Abudulamu,cn CHN,MF,Henan,25-035,2001,5,0,124,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,2,1,50.0,0.73,1.45,,,,,,,,,,,,,,,,,,,Chinese Football Association Super League,2026
db8b8e4c,Baihelamu Abuduwaili,Baihelamu Abuduwaili,cn CHN,FW,Chengdu Rongcheng,23-037,2003,4,1,110,1.2,1,0,1,1,0,0,0,0,0.82,0.00,0.82,0.82,0.82,Matches,0.20,0.33,5,3,60.0,2.45,4.09,,,,,,,,,,,,,,,,,,,Chinese Football Association Super League,2026
f9a1303c,Frank Acheampong,Frank Acheampong,gh GHA,"MF,FW",Dalian Yingbo,32-180,1993,5,5,412,4.6,3,1,4,3,0,0,0,0,0.66,0.22,0.87,0.66,0.87,Matches,0.33,0.60,9,5,55.6,1.09,1.97,,,,,,,,,,,,,,,,,,,Chinese Football Association Super League,2026
424471b0,Albion Ademi,Albion Ademi,al ALB,MF,Shenzhen Peng City,27-054,1999,2,1,73,0.8,1,0,1,1,0,0,0,0,1.23,0.00,1.23,1.23,1.23,Matches,1.00,1.00,1,1,100.0,1.23,1.23,,,,,,,,,,,,,,,,,,,Chinese Football Association Super League,2026
81053aea,Adriano,Adriano,br BRA,MF,Wuhan Three Towns,26-161,1999,4,4,344,3.8,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,3,0,0.0,0.00,0.78,,,,,,,,,,,,,,,,,,,Chinese Football Association Super League,2026
