PlayerID,Name,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,League,Season
98a4ff8b,Axel Frugone,uy URU,DF,21-008,10,10,898,10.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,Copa CONMEBOL Sudamericana,2026
e809b44b,Lucas Agazzi,uy URU,MF,20-342,10,10,888,9.9,0,3,3,0,0,0,0,0,0.00,0.30,0.30,0.00,0.30,Matches,Copa CONMEBOL Sudamericana,2026
a1b1bc28,Brian Montenegro,py PAR,"FW,MF",32-303,9,9,806,9.0,4,0,4,4,0,1,0,0,0.45,0.00,0.45,0.45,0.45,Matches,Copa CONMEBOL Sudamericana,2026
cac921e2,Mauricio Amaro,uy URU,MF,20-264,9,9,804,8.9,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,Copa CONMEBOL Sudamericana,2026
c126a817,Kevin Dawson,uy URU,GK,34-060,9,9,750,8.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Copa CONMEBOL Sudamericana,2026
1ac629b0,Guillermo de los Santos,uy URU,DF,35-053,8,8,662,7.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Copa CONMEBOL Sudamericana,2026
9e1943d7,Alexander Machado,uy URU,FW,23-316,10,8,640,7.1,1,1,2,1,0,0,1,0,0.14,0.14,0.28,0.14,0.28,Matches,Copa CONMEBOL Sudamericana,2026
f3865cca,Mateo Caballero,uy URU,DF,18-226,8,5,487,5.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Copa CONMEBOL Sudamericana,2026
1b386012,Germán Barrios,uy URU,MF,22-073,6,5,460,5.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Copa CONMEBOL Sudamericana,2026
75766362,Nicolás Wunsch,uy URU,MF,22-299,9,5,446,5.0,0,1,1,0,0,0,0,0,0.00,0.20,0.20,0.00,0.20,Matches,Copa CONMEBOL Sudamericana,2026
a7a39276,Alan Torterolo,uy URU,FW,18-096,9,5,428,4.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,Copa CONMEBOL Sudamericana,2026
785f4439,Lucas de los Santos,uy URU,MF,24-257,6,5,420,4.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Copa CONMEBOL Sudamericana,2026
03fa8b66,Xavier Biscayzacú,mx MEX,MF,21-012,6,5,368,4.1,1,0,1,1,0,0,1,0,0.24,0.00,0.24,0.24,0.24,Matches,Copa CONMEBOL Sudamericana,2026
91b8e2e1,Facundo Castro,uy URU,"FW,MF",31-077,6,4,328,3.6,1,1,2,1,0,0,0,0,0.27,0.27,0.55,0.27,0.55,Matches,Copa CONMEBOL Sudamericana,2026
38e36bc9,Francisco Sorondo,uy URU,DF,17-238,5,3,388,4.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Copa CONMEBOL Sudamericana,2026
ffc3c92e,Juan Jorge,uy URU,MF,21-352,4,3,214,2.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,Copa CONMEBOL Sudamericana,2026
de9dd5be,Juan Pablo Goicochea,pe PER,FW,21-087,3,2,124,1.4,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,Copa CONMEBOL Sudamericana,2026
ccb1a048,Erico Cuello,uy URU,MF,20-319,5,1,134,1.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Copa CONMEBOL Sudamericana,2026
ea3e6b8b,Lucas Machado,uy URU,GK,27-364,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Copa CONMEBOL Sudamericana,2026
ec97db61,Lautaro Navarro,uy URU,FW,18-058,4,1,85,0.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Copa CONMEBOL Sudamericana,2026
7bbadcd7,Nicolás Medina,ar ARG,MF,23-035,2,1,79,0.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Copa CONMEBOL Sudamericana,2026
94d3350f,Marco Saravia,pe PER,DF,27-062,1,1,31,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Copa CONMEBOL Sudamericana,2026
f3381616,Brian Lozano,uy URU,MF,32-045,7,0,177,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Copa CONMEBOL Sudamericana,2026
42fde7fb,Santino Bruschi,uy URU,MF,20-047,4,0,57,0.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Copa CONMEBOL Sudamericana,2026
bc14f35f,Valentín Rodríguez,uy URU,DF,24-300,3,0,49,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Copa CONMEBOL Sudamericana,2026
963e6759,Geanfranco Rodríguez,uy URU,MF,19-249,3,0,29,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Copa CONMEBOL Sudamericana,2026
e3f6e636,Diego Abella,uy URU,MF,18-231,0,0,,,,,,,,,,,,,,,,Matches,Copa CONMEBOL Sudamericana,2026
25392b5c,Daniel Martínez,uy URU,DF,19-096,0,0,,,,,,,,,,,,,,,,Matches,Copa CONMEBOL Sudamericana,2026
34300f95,Bruno Simone,uy URU,GK,21-286,0,0,,,,,,,,,,,,,,,,Matches,Copa CONMEBOL Sudamericana,2026
01e85f52,Horacio Benincasa,pe PER,DF,31-363,9,9,810,9.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,Copa CONMEBOL Sudamericana,2026
823ef460,Agustín Gómez,ar ARG,DF,29-224,9,9,810,9.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Copa CONMEBOL Sudamericana,2026
708bb670,Orlando Núñez,pe PER,DF,26-083,9,9,810,9.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,Copa CONMEBOL Sudamericana,2026
f47c1ed4,Patrick Zubczuk,pe PER,GK,31-047,9,9,810,9.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Copa CONMEBOL Sudamericana,2026
e78cff74,Agustín González Pereira,uy URU,MF,29-074,8,8,675,7.5,0,1,1,0,0,0,2,0,0.00,0.13,0.13,0.00,0.13,Matches,Copa CONMEBOL Sudamericana,2026
6eeefe55,Miguel Graneros,ar ARG,FW,29-346,9,8,656,7.3,0,1,1,0,0,0,0,0,0.00,0.14,0.14,0.00,0.14,Matches,Copa CONMEBOL Sudamericana,2026
0867ab52,Francisco Arancibia,cl CHI,"MF,FW",29-148,9,8,589,6.5,2,0,2,2,0,0,2,0,0.31,0.00,0.31,0.31,0.31,Matches,Copa CONMEBOL Sudamericana,2026
79d00979,Carlos Ramos,ve VEN,MF,26-318,9,7,662,7.4,0,1,1,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14,Matches,Copa CONMEBOL Sudamericana,2026
e72d30cf,Erick Canales,pe PER,DF,24-306,7,7,549,6.1,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,Copa CONMEBOL Sudamericana,2026
