PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
363ba6d7,Luciano Acosta,Luciano Acosta,ar ARG,MF,br Fluminense,31-313,1994,1,1,86,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,2,1,50.0,1.05,2.09,,,,,,,,,,,,,,,,,,,Copa Libertadores de América,2026
edfebd8d,Brian Aguirre,Brian Aguirre,ar ARG,"FW,MF",ar Estudiantes–LP,22-312,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Copa Libertadores de América,2026
2f90595a,José Aldo,José Aldo,br BRA,MF,br Mirassol,27-258,1998,1,1,61,0.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,1.48,,,,,,,,,,,,,,,,,,,Copa Libertadores de América,2026
5f13114f,Benjamin Alejandro,Benjamin Alejandro,cl CHI,MF,cl Coquimbo Unido,22-088,2004,1,1,75,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,1.20,,,,,,,,,,,,,,,,,,,Copa Libertadores de América,2026
81b3845a,Nicolás Alejandro Rodríguez,Nicolás Alejandro Rodríguez,uy URU,DF,uy Nacional,34-261,1991,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Copa Libertadores de América,2026
980ebb91,Christian Alemán,Christian Alemán,ec ECU,MF,bo Bolívar,30-063,1996,1,1,60,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Copa Libertadores de América,2026
611e984e,Alesson,Alesson,br BRA,"FW,MF",br Mirassol,27-052,1999,1,0,23,0.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Copa Libertadores de América,2026
bec14497,José Alí Meza,José Alí Meza,ve VEN,FW,ve Dep. La Guaira,34-357,1991,1,1,72,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Copa Libertadores de América,2026
75bf8a30,Gian Allala,Gian Allala,uy URU,DF,ec LDU Quito,29-082,1997,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Copa Libertadores de América,2026
aae04867,Allan,Allan,br BRA,MF,br Palmeiras,21-355,2004,1,1,69,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,2,1,50.0,1.30,2.61,,,,,,,,,,,,,,,,,,,Copa Libertadores de América,2026
