PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
ee926a02,Arijan Ademi,Arijan Ademi,mk MKD,MF,Dinamo Zagreb,33,1991,18,12,831,9.2,3,1,4,3,0,0,2,0,0.32,0.11,0.43,0.32,0.43,Matches,0.18,0.60,17,5,29.4,0.54,1.84,,,,,,,,,,,,,,,,,,,Croatian Football League,2024-2025
b3c14bff,Kemal Ademi,Kemal Ademi,ch SUI,FW,Osijek,28,1996,11,3,237,2.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,5,1,20.0,0.38,1.90,,,,,,,,,,,,,,,,,,,Croatian Football League,2024-2025
079749be,Michael Agbepkonu,Michael Agbepkonu,gh GHA,MF,Slaven Belupo,25,1998,18,13,"1,111",12.3,0,1,1,0,0,0,6,1,0.00,0.08,0.08,0.00,0.08,Matches,0.00,,14,0,0.0,0.00,1.13,,,,,,,,,,,,,,,,,,,Croatian Football League,2024-2025
65bf5126,Morrison Agyemang,Morrison Agyemang,gh GHA,DF,Šibenik,19,2004,32,31,"2,788",31.0,2,1,3,2,0,0,6,1,0.06,0.03,0.10,0.06,0.10,Matches,0.13,0.50,16,4,25.0,0.13,0.52,,,,,,,,,,,,,,,,,,,Croatian Football League,2024-2025
54505b4c,Enes Alic,Enes Alic,ba BIH,"DF,MF",Varaždin,24,1999,18,6,719,8.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,11,3,27.3,0.38,1.38,,,,,,,,,,,,,,,,,,,Croatian Football League,2024-2025
af3ddb2e,Komnen Andrić,Komnen Andrić,rs SRB,FW,Lokomotiva,29,1995,15,15,"1,227",13.6,2,0,2,2,0,0,1,0,0.15,0.00,0.15,0.15,0.15,Matches,0.09,0.50,23,4,17.4,0.29,1.69,,,,,,,,,,,,,,,,,,,Croatian Football League,2024-2025
af3ddb2e,Komnen Andrić,Komnen Andrić,rs SRB,FW,Lokomotiva,29,1995,15,15,"1,227",13.6,2,0,2,2,0,0,1,0,0.15,0.00,0.15,0.15,0.15,Matches,0.33,1.00,3,1,33.3,0.20,0.61,,,,,,,,,,,,,,,,,,,Croatian Football League,2024-2025
af3ddb2e,Komnen Andrić,Komnen Andrić,rs SRB,FW,Rijeka,29,1995,9,5,446,5.0,1,1,2,1,0,0,1,0,0.20,0.20,0.40,0.20,0.40,Matches,0.09,0.50,23,4,17.4,0.29,1.69,,,,,,,,,,,,,,,,,,,Croatian Football League,2024-2025
af3ddb2e,Komnen Andrić,Komnen Andrić,rs SRB,FW,Rijeka,29,1995,9,5,446,5.0,1,1,2,1,0,0,1,0,0.20,0.20,0.40,0.20,0.40,Matches,0.33,1.00,3,1,33.3,0.20,0.61,,,,,,,,,,,,,,,,,,,Croatian Football League,2024-2025
545f5449,Domagoj Antolić,Domagoj Antolić,hr CRO,MF,Lokomotiva,34,1990,13,5,484,5.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,2,0,0.0,0.00,0.37,,,,,,,,,,,,,,,,,,,Croatian Football League,2024-2025
078ea0cf,Mate Antunović,Mate Antunović,hr CRO,FW,Hajduk Split,20,2004,2,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Croatian Football League,2024-2025
078ea0cf,Mate Antunović,Mate Antunović,hr CRO,FW,Hajduk Split,20,2004,2,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.08,0.14,13,7,53.8,0.79,1.48,,,,,,,,,,,,,,,,,,,Croatian Football League,2024-2025
078ea0cf,Mate Antunović,Mate Antunović,hr CRO,FW,Varaždin,20,2004,17,8,793,8.8,1,0,1,1,0,0,2,0,0.11,0.00,0.11,0.11,0.11,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Croatian Football League,2024-2025
078ea0cf,Mate Antunović,Mate Antunović,hr CRO,FW,Varaždin,20,2004,17,8,793,8.8,1,0,1,1,0,0,2,0,0.11,0.00,0.11,0.11,0.11,Matches,0.08,0.14,13,7,53.8,0.79,1.48,,,,,,,,,,,,,,,,,,,Croatian Football League,2024-2025
351aee4a,Marko Ascic,Marko Ascic,hr CRO,FW,Slaven Belupo,17,2007,4,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Croatian Football League,2024-2025
5ad90f25,Israel Ayuma,Israel Ayuma,ng NGA,MF,Istra 1961,18,2005,1,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Croatian Football League,2024-2025
