PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
c9a28383,Quadri Adediran,Quadri Adediran,ng NGA,FW,Baník Ostrava,23,2000,1,1,45,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Czech First League,2024-2025
c9a28383,Quadri Adediran,Quadri Adediran,ng NGA,FW,Baník Ostrava,23,2000,1,1,45,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.07,0.18,54,22,40.7,1.04,2.56,,,,,,,,,,,,,,,,,,,Czech First League,2024-2025
c9a28383,Quadri Adediran,Quadri Adediran,ng NGA,"FW,MF",České Budĕjov.,23,2000,28,20,"1,897",21.1,4,0,4,4,0,0,5,0,0.19,0.00,0.19,0.19,0.19,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Czech First League,2024-2025
c9a28383,Quadri Adediran,Quadri Adediran,ng NGA,"FW,MF",České Budĕjov.,23,2000,28,20,"1,897",21.1,4,0,4,4,0,0,5,0,0.19,0.00,0.19,0.19,0.19,Matches,0.07,0.18,54,22,40.7,1.04,2.56,,,,,,,,,,,,,,,,,,,Czech First League,2024-2025
36bdd145,Prince Adu Kwabena,Prince Adu Kwabena,gh GHA,"FW,MF",Viktoria Plzeň,20,2003,20,14,"1,117",12.4,5,2,7,5,0,0,1,0,0.40,0.16,0.56,0.40,0.56,Matches,0.11,0.38,44,13,29.5,1.05,3.55,,,,,,,,,,,,,,,,,,,Czech First League,2024-2025
0cba37d1,Ghali Ahmad,Ghali Ahmad,ng NGA,MF,Slovan Liberec,24,2000,29,25,"2,121",23.6,2,6,8,2,0,0,4,1,0.08,0.25,0.34,0.08,0.34,Matches,0.06,0.25,36,8,22.2,0.34,1.53,,,,,,,,,,,,,,,,,,,Czech First League,2024-2025
0f4c0bad,Alexis Alegue,Alexis Alegue,fr FRA,"FW,MF",Jablonec,27,1996,33,23,"1,802",20.0,5,5,10,5,0,0,3,0,0.25,0.25,0.50,0.25,0.50,Matches,0.13,0.26,40,19,47.5,0.95,2.00,,,,,,,,,,,,,,,,,,,Czech First League,2024-2025
a0132f9c,Denis Alijagič,Denis Alijagič,cz CZE,"FW,MF",FK Pardubice,21,2003,6,3,327,3.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,7,1,14.3,0.28,1.93,,,,,,,,,,,,,,,,,,,Czech First League,2024-2025
9a0035ef,Martin Ambler,Martin Ambler,,"DF,MF",Dukla Prague,24,2000,13,12,"1,041",11.6,2,0,2,2,0,0,2,0,0.17,0.00,0.17,0.17,0.17,Matches,0.25,0.50,8,4,50.0,0.35,0.69,,,,,,,,,,,,,,,,,,,Czech First League,2024-2025
6e021b77,Colin Andrew,Colin Andrew,,GK,České Budĕjov.,20,2004,6,6,540,6.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,1,16.7,6,6,12,2.00,5,540,1,1,0,0.0,0,73.8,31,42,1,0,Czech First League,2024-2025
