PlayerID,Name,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,League,Season
cbb1efde,Patrick Sontheimer,de GER,MF,26,37,37,"3,260",36.2,2,2,4,2,0,0,8,0,0.06,0.06,0.11,0.06,0.11,Matches,DFB-Pokal,2024-2025
dadf3965,Phillip Menzel,de GER,GK,25,36,36,"3,240",36.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,DFB-Pokal,2024-2025
d5487d81,Calogero Rizzuto,de GER,"DF,MF",32,35,35,"2,962",32.9,2,1,3,2,0,1,13,1,0.06,0.03,0.09,0.06,0.09,Matches,DFB-Pokal,2024-2025
0fb7e559,Joel Bichsel,ch SUI,DF,22,34,30,"2,803",31.1,1,0,1,1,0,0,9,0,0.03,0.00,0.03,0.03,0.03,Matches,DFB-Pokal,2024-2025
f4e50532,Kasim Rabihic,de GER,"MF,FW",31,34,25,"2,129",23.7,8,2,10,8,0,1,2,0,0.34,0.08,0.42,0.34,0.42,Matches,DFB-Pokal,2024-2025
07efff64,Kai Brünker,de GER,FW,30,27,24,"1,952",21.7,8,4,12,8,0,0,7,0,0.37,0.18,0.55,0.37,0.55,Matches,DFB-Pokal,2024-2025
4ac2d287,Philip Fahrner,de GER,"DF,MF",21,28,23,"2,068",23.0,0,6,6,0,0,0,3,0,0.00,0.26,0.26,0.00,0.26,Matches,DFB-Pokal,2024-2025
5a7c3705,Sven Sonnenberg,de GER,DF,25,24,23,"1,892",21.0,2,0,2,2,0,0,6,0,0.10,0.00,0.10,0.10,0.10,Matches,DFB-Pokal,2024-2025
c5ce9a51,Simon Fabio Stehle,de GER,"FW,MF",22,29,23,"1,845",20.5,0,6,6,0,0,0,6,0,0.00,0.29,0.29,0.00,0.29,Matches,DFB-Pokal,2024-2025
d3112d86,Sebastian Vasiliadis,gr GRE,MF,26,25,21,"1,525",16.9,6,4,10,6,0,0,10,0,0.35,0.24,0.59,0.35,0.59,Matches,DFB-Pokal,2024-2025
