PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
a76a3de6,Ronia Åbrink,Ronia Åbrink,se SWE,MF,Eskilstuna United,15-318,2010,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Damallsvenskan,2026
d104031f,Sandra Adolfsson,Sandra Adolfsson,se SWE,DF,Vittsjö,38-305,1987,2,2,180,2.0,1,0,1,1,0,0,0,0,0.50,0.00,0.50,0.50,0.50,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Damallsvenskan,2026
03440445,Jo-Anne Agbor-Tataw Cronquist,Jo-Anne Agbor-Tataw Cronquist,se SWE,MF,Rosengård,21-190,2004,2,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Damallsvenskan,2026
588e908b,Nesrin Akgün,Nesrin Akgün,se SWE,DF,BK Häcken,21-104,2004,2,2,166,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Damallsvenskan,2026
5d949831,Amanda Altheden,Amanda Altheden,se SWE,DF,Vittsjö,24-026,2002,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Damallsvenskan,2026
55595400,Suzu Amano,Suzu Amano,jp JPN,MF,Växjö,22-055,2004,2,2,156,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Damallsvenskan,2026
eae953de,Fanny Andersson,Fanny Andersson,se SWE,FW,IFK Norrköping DFK,31-046,1995,1,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Damallsvenskan,2026
141340bc,Hanna Andersson,Hanna Andersson,se SWE,MF,Rosengård,24-179,2001,2,2,145,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Damallsvenskan,2026
fba1c988,Stina Andersson,Stina Andersson,se SWE,MF,Piteå,21-084,2005,1,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Damallsvenskan,2026
f1cca8b1,Filippa Andersson Widén,Filippa Andersson Widén,se SWE,FW,Kristianstad,17-022,2009,2,0,35,0.4,2,0,2,2,0,0,0,0,5.14,0.00,5.14,5.14,5.14,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Damallsvenskan,2026
94aeea44,Anna Anvegard,Anna Anvegard,se SWE,"MF,FW",BK Häcken,28-339,1997,2,2,135,1.5,1,1,2,1,0,0,0,0,0.67,0.67,1.33,0.67,1.33,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Damallsvenskan,2026
58b35998,Guðrún Arnardóttir,Guðrún Arnardóttir,is ISL,DF,Hammarby,30-259,1995,2,2,180,2.0,1,0,1,1,0,0,0,0,0.50,0.00,0.50,0.50,0.50,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Damallsvenskan,2026
d196119f,Therese Åsland,Therese Åsland,no NOR,MF,Djurgården,30-231,1995,2,2,177,2.0,1,0,1,1,0,0,0,0,0.51,0.00,0.51,0.51,0.51,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Damallsvenskan,2026
e29e3055,Halimatu Ayinde,Halimatu Ayinde,ng NGA,MF,BK Häcken,30-333,1995,1,1,45,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Damallsvenskan,2026
54dc4af2,Monica Bah,Monica Bah,se SWE,MF,BK Häcken,22-333,2003,2,2,153,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Damallsvenskan,2026
bf2b714a,Lovis Bång,Lovis Bång,se SWE,FW,IK Uppsala,19-043,2007,2,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Damallsvenskan,2026
0af159b1,Johanna Barth,Johanna Barth,se SWE,DF,Eskilstuna United,26-188,1999,2,1,63,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Damallsvenskan,2026
d97aa781,Fabienne Bartholdson,Fabienne Bartholdson,se SWE,"FW,DF",Djurgården,18-160,2007,2,2,156,1.7,0,1,1,0,0,0,0,0,0.00,0.58,0.58,0.00,0.58,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Damallsvenskan,2026
f1745806,Sigdís Bárðardóttir,Sigdís Bárðardóttir,is ISL,MF,IFK Norrköping DFK,19-134,2006,2,1,81,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Damallsvenskan,2026
74798aaf,Maja Bay Østergaard,Maja Bay Østergaard,dk DEN,GK,Växjö,28-017,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,1,50.0,2,2,2,1.00,1,180,0,0,0,,0,,,,0,1,Damallsvenskan,2026
