PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
c93f728c,Jonas Abbew,Jonas Abbew,dk DEN,DF,AGF,22,2002,17,10,865,9.6,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,0.10,,,,,,,,,,,,,,,,,,,Danish Superliga,2024-2025
47aaf574,Malik Abubakari,Malik Abubakari,gh GHA,FW,Lyngby,24,2000,17,7,665,7.4,0,0,0,0,0,1,5,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,23,3,13.0,0.41,3.11,,,,,,,,,,,,,,,,,,,Danish Superliga,2024-2025
4dd2a0be,Elias Achouri,Elias Achouri,tn TUN,"MF,FW",FC Copenhagen,25,1999,23,15,"1,480",16.4,2,5,7,2,0,0,5,0,0.12,0.30,0.43,0.12,0.43,Matches,0.06,0.15,33,13,39.4,0.79,2.01,,,,,,,,,,,,,,,,,,,Danish Superliga,2024-2025
f69b2556,Stephen Acquah,Stephen Acquah,gh GHA,DF,Nordsjælland,18,2006,5,0,73,0.8,1,1,2,1,0,0,0,0,1.23,1.23,2.47,1.23,2.47,Matches,0.25,0.50,4,2,50.0,2.47,4.93,,,,,,,,,,,,,,,,,,,Danish Superliga,2024-2025
c78380e9,Tonni Adamsen,Tonni Adamsen,dk DEN,FW,Silkeborg,29,1994,32,30,"2,575",28.6,15,4,19,10,5,5,2,0,0.52,0.14,0.66,0.35,0.49,Matches,0.12,0.26,82,38,46.3,1.33,2.87,,,,,,,,,,,,,,,,,,,Danish Superliga,2024-2025
b02d32ac,Jubril Adedeji,Jubril Adedeji,ng NGA,"FW,MF",Aalborg,24,2000,8,3,295,3.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,9,0,0.0,0.00,2.75,,,,,,,,,,,,,,,,,,,Danish Superliga,2024-2025
516d6efb,Mads Agger,Mads Agger,dk DEN,"FW,MF",SønderjyskE,24,1999,26,20,"1,589",17.7,8,3,11,8,0,0,3,0,0.45,0.17,0.62,0.45,0.62,Matches,0.21,0.40,38,20,52.6,1.13,2.15,,,,,,,,,,,,,,,,,,,Danish Superliga,2024-2025
b501a09e,Ernest Agyiri,Ernest Agyiri,gh GHA,MF,Randers,26,1998,1,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Danish Superliga,2024-2025
42d7f621,Michael Akoto,Michael Akoto,de GER,DF,AGF,27,1997,8,3,276,3.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,1,1,100.0,0.33,0.33,,,,,,,,,,,,,,,,,,,Danish Superliga,2024-2025
d459281d,Miiko Albornoz,Miiko Albornoz,cl CHI,"MF,DF",Vejle BK,33,1990,6,3,228,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,0.39,,,,,,,,,,,,,,,,,,,Danish Superliga,2024-2025
d050a3a4,Jacob Ambæk,Jacob Ambæk,dk DEN,FW,Brøndby,16,2008,2,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Danish Superliga,2024-2025
fd084edc,Jonathan Amon,Jonathan Amon,us USA,"FW,MF",Lyngby,25,1999,23,16,"1,426",15.8,3,0,3,3,0,0,1,0,0.19,0.00,0.19,0.19,0.19,Matches,0.15,0.43,20,7,35.0,0.44,1.26,,,,,,,,,,,,,,,,,,,Danish Superliga,2024-2025
624eda5c,Jacob Andersen,Jacob Andersen,dk DEN,MF,AGF,20,2004,16,3,418,4.6,0,1,1,0,0,0,3,0,0.00,0.22,0.22,0.00,0.22,Matches,0.00,0.00,2,1,50.0,0.22,0.43,,,,,,,,,,,,,,,,,,,Danish Superliga,2024-2025
aadbb7bc,Jeppe Andersen,Jeppe Andersen,dk DEN,"MF,FW",Silkeborg,31,1992,31,17,"1,736",19.3,3,1,4,3,0,0,4,0,0.16,0.05,0.21,0.16,0.21,Matches,0.12,0.38,25,8,32.0,0.41,1.30,,,,,,,,,,,,,,,,,,,Danish Superliga,2024-2025
8ecf89df,Markus Andersen Walker,Markus Andersen Walker,dk DEN,DF,Nordsjælland,17,2006,2,0,29,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Danish Superliga,2024-2025
0a721e85,Mikael Anderson,Mikael Anderson,is ISL,"MF,FW",AGF,26,1998,30,28,"2,514",27.9,6,6,12,6,0,0,5,0,0.21,0.21,0.43,0.21,0.43,Matches,0.08,0.21,73,29,39.7,1.04,2.61,,,,,,,,,,,,,,,,,,,Danish Superliga,2024-2025
ecf8b85f,Adam Andersson,Adam Andersson,se SWE,DF,Lyngby,27,1996,10,2,365,4.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,0.25,,,,,,,,,,,,,,,,,,,Danish Superliga,2024-2025
d0d3bcc7,Elias Andersson,Elias Andersson,se SWE,DF,Viborg,28,1996,6,5,392,4.4,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Danish Superliga,2024-2025
f026e46a,Hugo Andersson,Hugo Andersson,se SWE,DF,Randers,25,1999,5,1,108,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Danish Superliga,2024-2025
b5f66351,Joel Andersson,Joel Andersson,se SWE,"DF,MF",Midtjylland,27,1996,25,15,"1,512",16.8,1,3,4,1,0,0,2,0,0.06,0.18,0.24,0.06,0.24,Matches,0.25,0.50,4,2,50.0,0.12,0.24,,,,,,,,,,,,,,,,,,,Danish Superliga,2024-2025
d25dd203,Søren Andreasen,Søren Andreasen,dk DEN,FW,SønderjyskE,28,1996,3,0,56,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,3,2,66.7,3.21,4.82,,,,,,,,,,,,,,,,,,,Danish Superliga,2024-2025
4f9f721c,Valdemar Andreasen,Valdemar Andreasen,dk DEN,MF,Midtjylland,19,2005,22,10,925,10.3,2,2,4,2,0,0,0,1,0.19,0.19,0.39,0.19,0.39,Matches,0.09,0.25,23,8,34.8,0.78,2.24,,,,,,,,,,,,,,,,,,,Danish Superliga,2024-2025
486710d5,Aske Andresen,Aske Andresen,dk DEN,GK,Silkeborg,19,2005,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,0,0.0,1,1,2,2.00,1,90,1,1,0,0.0,0,80.0,4,5,0,0,Danish Superliga,2024-2025
2e9ea8fd,Tobias Anker,Tobias Anker,dk DEN,DF,AGF,23,2001,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Danish Superliga,2024-2025
df525574,Peter Ankersen,Peter Ankersen,dk DEN,DF,Nordsjælland,33,1990,29,29,"2,601",28.9,3,4,7,3,0,0,9,0,0.10,0.14,0.24,0.10,0.24,Matches,0.09,0.21,35,14,40.0,0.48,1.21,,,,,,,,,,,,,,,,,,,Danish Superliga,2024-2025
c63d7d38,Oliver Antman,Oliver Antman,fi FIN,FW,Nordsjælland,22,2001,3,3,232,2.6,1,1,2,1,0,0,1,0,0.39,0.39,0.78,0.39,0.78,Matches,0.25,0.50,4,2,50.0,0.78,1.55,,,,,,,,,,,,,,,,,,,Danish Superliga,2024-2025
