PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
dd972cbd,Abbati Abdullahi,Abbati Abdullahi,ng NGA,MF,Górnik Zabrze,18,2006,1,0,29,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,2,0,0.0,0.00,6.21,,,,,,,,,,,,,,,,,,,Ekstraklasa,2024-2025
f9496774,Alexander Abrahamsson,Alexander Abrahamsson,se SWE,DF,Zagłębie Lubin,24,1999,2,2,135,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Ekstraklasa,2024-2025
2bb18730,Dawid Abramowicz,Dawid Abramowicz,pl POL,"MF,DF",Puszcza Niepołomice,33,1991,28,27,"2,385",26.5,1,4,5,1,0,0,8,0,0.04,0.15,0.19,0.04,0.19,Matches,0.04,0.10,25,10,40.0,0.38,0.94,,,,,,,,,,,,,,,,,,,Ekstraklasa,2024-2025
5b32de88,Sławomir Abramowicz,Sławomir Abramowicz,pl POL,GK,Jagiellonia,20,2004,31,31,"2,790",31.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,10,32.3,31,31,36,1.16,6,"2,790",4,4,0,0.0,0,75.2,97,129,9,16,Ekstraklasa,2024-2025
7571ef7f,Hubert Adamczyk,Hubert Adamczyk,pl POL,MF,Zagłębie Lubin,26,1998,5,1,176,2.0,1,0,1,1,0,0,0,0,0.51,0.00,0.51,0.51,0.51,Matches,0.20,0.50,5,2,40.0,1.02,2.56,,,,,,,,,,,,,,,,,,,Ekstraklasa,2024-2025
42104d88,Rafał Adamski,Rafał Adamski,pl POL,FW,Zagłębie Lubin,22,2001,7,0,164,1.8,0,1,1,0,0,0,0,0,0.00,0.55,0.55,0.00,0.55,Matches,0.00,,3,0,0.0,0.00,1.65,,,,,,,,,,,,,,,,,,,Ekstraklasa,2024-2025
eb2d5948,Adriano,Adriano,br BRA,"MF,FW",Raków,22,2002,30,26,"2,048",22.8,1,0,1,1,0,0,3,0,0.04,0.00,0.04,0.04,0.04,Matches,0.03,0.07,37,15,40.5,0.66,1.63,,,,,,,,,,,,,,,,,,,Ekstraklasa,2024-2025
e08ba522,Saad Agouzoul,Saad Agouzoul,ma MAR,DF,Radomiak Radom,26,1997,13,13,"1,170",13.0,1,0,1,1,0,0,3,0,0.08,0.00,0.08,0.08,0.08,Matches,0.10,0.33,10,3,30.0,0.23,0.77,,,,,,,,,,,,,,,,,,,Ekstraklasa,2024-2025
681b4836,Migouel Alfarela,Migouel Alfarela,fr FRA,FW,Legia Warsaw,26,1997,13,3,393,4.4,1,2,3,1,0,0,1,0,0.23,0.46,0.69,0.23,0.69,Matches,0.11,0.50,9,2,22.2,0.46,2.06,,,,,,,,,,,,,,,,,,,Ekstraklasa,2024-2025
f0101a48,Fran Álvarez,Fran Álvarez,es ESP,"MF,FW",Widzew Łódź,26,1998,32,29,"2,504",27.8,7,3,10,7,0,0,3,1,0.25,0.11,0.36,0.25,0.36,Matches,0.14,0.47,50,15,30.0,0.54,1.80,,,,,,,,,,,,,,,,,,,Ekstraklasa,2024-2025
