PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
d7120796,Hester Algra,Hester Algra,nl NED,"FW,MF",Heerenveen,16,2007,15,7,613,6.8,1,1,2,1,0,0,0,0,0.15,0.15,0.29,0.15,0.29,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie Vrouwen,2024-2025
54da781f,Aymee Altena,Aymee Altena,nl NED,"MF,FW",Heerenveen,15,2008,15,8,697,7.7,2,0,2,2,0,0,0,0,0.26,0.00,0.26,0.26,0.26,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie Vrouwen,2024-2025
67bff867,Elisha Ama Kruize,Elisha Ama Kruize,nl NED,"FW,DF",FC Utrecht,21,2003,9,5,411,4.6,5,1,6,5,0,0,0,0,1.09,0.22,1.31,1.09,1.31,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie Vrouwen,2024-2025
97ea5c51,Lieke Apeldoorn,Lieke Apeldoorn,,,AZ Alkmaar,,,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie Vrouwen,2024-2025
84da5019,Indy Appelmann,Indy Appelmann,nl NED,DF,Heerenveen,19,2005,5,4,282,3.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie Vrouwen,2024-2025
18d93350,Sanne Arons,Sanne Arons,nl NED,"FW,MF",Fortuna Sittard,18,2005,20,10,"1,001",11.1,2,1,3,2,0,0,2,0,0.18,0.09,0.27,0.18,0.27,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie Vrouwen,2024-2025
e2838967,Bridget Baptiste,Bridget Baptiste,nl NED,DF,Feyenoord Vrouwen,19,2005,1,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie Vrouwen,2024-2025
541a6276,Femke Bastiaen,Femke Bastiaen,be BEL,GK,FC Utrecht,23,2001,22,22,"1,980",22.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,8,36.4,22,22,22,1.00,6,"1,980",0,0,0,,0,,,,4,12,Eredivisie Vrouwen,2024-2025
3551d9cc,Lyanne Baukje Iedema,Lyanne Baukje Iedema,nl NED,"FW,MF",Heerenveen,17,2006,18,11,933,10.4,2,0,2,2,0,0,1,0,0.19,0.00,0.19,0.19,0.19,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie Vrouwen,2024-2025
12be1c42,Jet van Beijeren,Jet van Beijeren,nl NED,"MF,FW",Heerenveen,19,2004,18,16,"1,451",16.1,3,3,6,3,0,0,4,0,0.19,0.19,0.37,0.19,0.37,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie Vrouwen,2024-2025
