PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
79196404,Princess Ademiluyi,Princess Ademiluyi,eng ENG,FW,West Ham,18,2006,6,0,73,0.8,0,1,1,0,0,0,0,0,0.00,1.23,1.23,0.00,1.23,Matches,0.00,0.00,2,1,50.0,1.23,2.47,,,,,,,,,,,,,,,,,,,FA Women's Super League,2024-2025
1203e2c8,Michelle Agyemang,Michelle Agyemang,eng ENG,FW,Brighton,18,2006,17,3,576,6.4,3,1,4,3,0,0,4,0,0.47,0.16,0.62,0.47,0.62,Matches,0.16,0.43,19,7,36.8,1.09,2.97,,,,,,,,,,,,,,,,,,,FA Women's Super League,2024-2025
b4fb6508,Olga Ahtinen,Olga Ahtinen,fi FIN,MF,Tottenham Hotspur,26,1997,12,3,400,4.4,1,0,1,1,0,0,1,0,0.23,0.00,0.23,0.23,0.23,Matches,0.20,0.25,5,4,80.0,0.90,1.13,,,,,,,,,,,,,,,,,,,FA Women's Super League,2024-2025
9b894b48,Asmita Ale,Asmita Ale,eng ENG,DF,Leicester City,22,2001,18,15,"1,399",15.5,0,4,4,0,0,0,2,0,0.00,0.26,0.26,0.00,0.26,Matches,0.00,,3,0,0.0,0.00,0.19,,,,,,,,,,,,,,,,,,,FA Women's Super League,2024-2025
31691fc9,Laia Aleixandri,Laia Aleixandri,es ESP,"DF,MF",Manchester City,23,2000,18,18,"1,564",17.4,1,1,2,1,0,0,0,0,0.06,0.06,0.12,0.06,0.12,Matches,0.10,0.50,10,2,20.0,0.12,0.58,,,,,,,,,,,,,,,,,,,FA Women's Super League,2024-2025
e91e309c,Chloe Arthur,Chloe Arthur,sct SCO,"DF,MF",Crystal Palace,29,1995,6,3,303,3.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,FA Women's Super League,2024-2025
81bc6c20,Verena Aschauer,Verena Aschauer,at AUT,"DF,MF",West Ham,30,1994,11,11,931,10.3,0,3,3,0,0,0,1,0,0.00,0.29,0.29,0.00,0.29,Matches,0.00,0.00,5,1,20.0,0.10,0.48,,,,,,,,,,,,,,,,,,,FA Women's Super League,2024-2025
1c3dde8d,Brooke Aspin,Brooke Aspin,eng ENG,DF,Crystal Palace,19,2005,4,2,226,2.5,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,0.40,,,,,,,,,,,,,,,,,,,FA Women's Super League,2024-2025
80d991d9,Viviane Asseyi,Viviane Asseyi,fr FRA,"MF,FW",West Ham,30,1993,21,21,"1,766",19.6,9,6,15,7,2,2,6,0,0.46,0.31,0.76,0.36,0.66,Matches,0.18,0.44,38,16,42.1,0.82,1.94,,,,,,,,,,,,,,,,,,,FA Women's Super League,2024-2025
02ebb157,Izzy Atkinson,Izzy Atkinson,ie IRL,FW,Crystal Palace,23,2001,4,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,4.09,,,,,,,,,,,,,,,,,,,FA Women's Super League,2024-2025
6fa125f4,Marit Auée,Marit Auée,nl NED,DF,Brighton,22,2002,7,5,474,5.3,0,1,1,0,0,0,2,0,0.00,0.19,0.19,0.00,0.19,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,FA Women's Super League,2024-2025
4b104cb1,Simi Awujo,Simi Awujo,ca CAN,MF,Manchester Utd,20,2003,12,2,356,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,2,0,0.0,0.00,0.51,,,,,,,,,,,,,,,,,,,FA Women's Super League,2024-2025
41548209,Rosella Ayane,Rosella Ayane,ma MAR,"FW,MF",Tottenham Hotspur,28,1996,4,0,49,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,3,3,100.0,5.51,5.51,,,,,,,,,,,,,,,,,,,FA Women's Super League,2024-2025
410be8c7,Sophie Baggaley,Sophie Baggaley,eng ENG,GK,Brighton,27,1996,14,14,"1,260",14.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,3,21.4,14,14,26,1.86,6,"1,260",2,2,0,0.0,0,69.2,54,78,2,6,FA Women's Super League,2024-2025
d91ac8d5,Jill Baijings,Jill Baijings,nl NED,MF,Aston Villa,23,2001,12,8,728,8.1,0,1,1,0,0,0,3,0,0.00,0.12,0.12,0.00,0.12,Matches,0.00,0.00,8,3,37.5,0.37,0.99,,,,,,,,,,,,,,,,,,,FA Women's Super League,2024-2025
0cd40e51,Sandy Baltimore,Sandy Baltimore,fr FRA,"DF,MF",Chelsea,24,2000,15,14,"1,115",12.4,4,3,7,4,0,0,2,0,0.32,0.24,0.57,0.32,0.57,Matches,0.27,0.57,15,7,46.7,0.57,1.21,,,,,,,,,,,,,,,,,,,FA Women's Super League,2024-2025
dd638ca7,Julia Bartel,Julia Bartel,es ESP,MF,Liverpool,20,2004,5,0,119,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,1,1,100.0,0.76,0.76,,,,,,,,,,,,,,,,,,,FA Women's Super League,2024-2025
a6f1d507,Molly Bartrip,Molly Bartrip,eng ENG,DF,Tottenham Hotspur,28,1996,22,22,"1,980",22.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,2,1,50.0,0.05,0.09,,,,,,,,,,,,,,,,,,,FA Women's Super League,2024-2025
58b6ad69,Agnes Beever-Jones,Agnes Beever-Jones,eng ENG,"FW,MF",Chelsea,21,2003,22,12,"1,117",12.4,9,0,9,9,0,0,1,0,0.73,0.00,0.73,0.73,0.73,Matches,0.20,0.45,45,20,44.4,1.61,3.63,,,,,,,,,,,,,,,,,,,FA Women's Super League,2024-2025
2f76fcae,Marika Bergman-Lundin,Marika Bergman-Lundin,se SWE,MF,West Ham,25,1999,2,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,FA Women's Super League,2024-2025
561230d9,Guro Bergsvand,Guro Bergsvand,no NOR,DF,Brighton,30,1994,22,22,"1,916",21.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,5,1,20.0,0.05,0.23,,,,,,,,,,,,,,,,,,,FA Women's Super League,2024-2025
