PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
59f7a74b,Mohammed Abbas,Mohammed Abbas,ae UAE,MF,ae Al Ain FC,22,2002,2,1,87,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,FIFA Club World Cup,2025
a06467dc,Wessam Abou Ali,Wessam Abou Ali,ps PLE,FW,eg Al Ahly,26,1999,3,3,196,2.2,3,0,3,2,1,1,0,0,1.38,0.00,1.38,0.92,0.92,Matches,0.29,0.50,7,4,57.1,1.84,3.21,,,,,,,,,,,,,,,,,,,FIFA Club World Cup,2025
b96b595c,Francesco Acerbi,Francesco Acerbi,it ITA,DF,it Inter,36,1988,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,0.50,,,,,,,,,,,,,,,,,,,FIFA Club World Cup,2025
4ab21ca4,Alonso Aceves,Alonso Aceves,mx MEX,MF,mx Pachuca,23,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,FIFA Club World Cup,2025
b7e62e1d,Joshua Acheampong,Joshua Acheampong,eng ENG,DF,eng Chelsea,18,2006,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,1,1,100.0,1.00,1.00,,,,,,,,,,,,,,,,,,,FIFA Club World Cup,2025
81442ecb,Marcos Acuña,Marcos Acuña,ar ARG,DF,ar River Plate,33,1991,3,3,268,3.0,0,2,2,0,0,0,1,0,0.00,0.67,0.67,0.00,0.67,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,FIFA Club World Cup,2025
259affab,Jayden Adams,Jayden Adams,za RSA,MF,za Mamelodi Sundowns,23,2001,3,0,73,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,FIFA Club World Cup,2025
c81d773d,Tosin Adarabioyo,Tosin Adarabioyo,eng ENG,DF,eng Chelsea,27,1997,4,3,321,3.6,1,0,1,1,0,0,1,0,0.28,0.00,0.28,0.28,0.28,Matches,0.50,0.50,2,2,100.0,0.56,0.56,,,,,,,,,,,,,,,,,,,FIFA Club World Cup,2025
501055d8,Karim Adeyemi,Karim Adeyemi,de GER,FW,de Dortmund,23,2002,5,4,231,2.6,0,2,2,0,0,0,0,0,0.00,0.78,0.78,0.00,0.78,Matches,0.00,0.00,1,1,100.0,0.39,0.39,,,,,,,,,,,,,,,,,,,FIFA Club World Cup,2025
cacadf4f,Luis Advíncula,Luis Advíncula,pe PER,DF,ar Boca Juniors,34,1990,3,3,270,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,7,3,42.9,1.00,2.33,,,,,,,,,,,,,,,,,,,FIFA Club World Cup,2025
8b0f9fb8,Vasilije Adžić,Vasilije Adžić,me MNE,MF,it Juventus,18,2006,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,FIFA Club World Cup,2025
271f324e,Afsha,Afsha,eg EGY,MF,eg Al Ahly,28,1996,3,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,1,1,100.0,2.00,2.00,,,,,,,,,,,,,,,,,,,FIFA Club World Cup,2025
06dddd9e,Érick Aguirre,Érick Aguirre,mx MEX,"MF,DF",mx Monterrey,27,1997,3,2,213,2.4,0,1,1,0,0,0,1,0,0.00,0.42,0.42,0.00,0.42,Matches,0.00,,1,0,0.0,0.00,0.42,,,,,,,,,,,,,,,,,,,FIFA Club World Cup,2025
ac30468d,Jorge Agustín Rodríguez,Jorge Agustín Rodríguez,ar ARG,"MF,DF",mx Monterrey,29,1995,3,3,258,2.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,FIFA Club World Cup,2025
9b398aea,Rayan Aït-Nouri,Rayan Aït-Nouri,dz ALG,DF,eng Manchester City,23,2001,3,3,284,3.2,0,1,1,0,0,0,0,0,0.00,0.32,0.32,0.00,0.32,Matches,0.00,0.00,4,1,25.0,0.32,1.27,,,,,,,,,,,,,,,,,,,FIFA Club World Cup,2025
89ac64a6,Manuel Akanji,Manuel Akanji,ch SUI,DF,eng Manchester City,29,1995,3,2,248,2.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,3,1,33.3,0.36,1.09,,,,,,,,,,,,,,,,,,,FIFA Club World Cup,2025
eaeca114,Nathan Aké,Nathan Aké,nl NED,DF,eng Manchester City,29,1995,2,1,158,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,0.57,,,,,,,,,,,,,,,,,,,FIFA Club World Cup,2025
f28659fb,Kerem Aktürkoğlu,Kerem Aktürkoğlu,tr TUR,MF,pt Benfica,26,1998,4,1,202,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,7,4,57.1,1.78,3.12,,,,,,,,,,,,,,,,,,,FIFA Club World Cup,2025
325d990a,William Alarcón,William Alarcón,cl CHI,MF,ar Boca Juniors,24,2000,2,0,47,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,1.91,,,,,,,,,,,,,,,,,,,FIFA Club World Cup,2025
4601e194,Jordi Alba,Jordi Alba,es ESP,DF,us Inter Miami,35,1989,3,1,127,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,FIFA Club World Cup,2025
cd1acf9d,Trent Alexander-Arnold,Trent Alexander-Arnold,eng ENG,"DF,MF",es Real Madrid,26,1998,5,5,387,4.3,0,2,2,0,0,0,0,0,0.00,0.47,0.47,0.00,0.47,Matches,0.00,,1,0,0.0,0.00,0.23,,,,,,,,,,,,,,,,,,,FIFA Club World Cup,2025
125d6bed,Luis Alfonso Rodríguez,Luis Alfonso Rodríguez,mx MEX,DF,mx Pachuca,34,1991,2,2,149,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,FIFA Club World Cup,2025
8b259046,Rodrigo Aliendro,Rodrigo Aliendro,ar ARG,MF,ar River Plate,33,1991,1,1,60,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,1.50,,,,,,,,,,,,,,,,,,,FIFA Club World Cup,2025
cc700722,Allan,Allan,br BRA,MF,br Botafogo (RJ),34,1991,3,3,209,2.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,FIFA Club World Cup,2025
b15e93aa,Allan,Allan,br BRA,MF,br Flamengo,27,1997,3,1,153,1.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,2,0,0.0,0.00,1.18,,,,,,,,,,,,,,,,,,,FIFA Club World Cup,2025
