PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
d3c16067,Diogo Abreu,Diogo Abreu,pt POR,MF,Lokomotiv Plovdiv,21,2003,12,3,471,5.2,1,0,1,1,0,0,3,0,0.19,0.00,0.19,0.19,0.19,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,First Professional Football League,2024-2025
0c271445,Christopher Acheampong,Christopher Acheampong,gh GHA,DF,CSKA 1948,24,2000,12,12,"1,001",11.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,First Professional Football League,2024-2025
eeacf0a6,Martin Achkov,Martin Achkov,bg BUL,DF,Botev Vratsa,25,1999,26,24,"2,018",22.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,First Professional Football League,2024-2025
12e96f8c,Manny Achol,Manny Achol,ss SSD,MF,Septemvri Sofia,24,1999,11,4,451,5.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,First Professional Football League,2024-2025
f6955717,Donaldo Açka,Donaldo Açka,al ALB,DF,Lokomotiv Sofia,26,1997,17,15,"1,306",14.5,0,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,First Professional Football League,2024-2025
3ff205d5,Ahmed Ahmedov,Ahmed Ahmedov,bg BUL,FW,FC Spartak Varna,29,1995,19,19,"1,634",18.2,16,1,17,11,5,5,1,0,0.88,0.06,0.94,0.61,0.66,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,First Professional Football League,2024-2025
1efac185,Oktay Ahmedov Hamdiev,Oktay Ahmedov Hamdiev,bg BUL,FW,PFC Hebar Pazardzhik,24,2000,12,9,628,7.0,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,First Professional Football League,2024-2025
6b868d03,Hamza Ait Allal,Hamza Ait Allal,ma MAR,MF,Botev Vratsa,23,2001,14,14,"1,224",13.6,1,0,1,1,0,0,5,0,0.07,0.00,0.07,0.07,0.07,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,First Professional Football League,2024-2025
5e6e15f1,Burak Akandzha,Burak Akandzha,bg BUL,MF,Arda,15,2008,3,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,First Professional Football League,2024-2025
0ac5479b,Gideon Akawa,Gideon Akawa,gh GHA,MF,FC Spartak Varna,23,2000,2,0,34,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,First Professional Football League,2024-2025
