PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
7c51bea4,Friederike Abt,Friederike Abt,de GER,GK,Leverkusen,30,1994,20,20,"1,800",20.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,9,45.0,20,20,17,0.85,4,"1,800",1,1,0,0.0,0,70.4,38,54,4,12,Frauen-Bundesliga,2024-2025
d85ee236,Adriana Achcińska,Adriana Achcińska,pl POL,MF,Köln,22,2002,22,22,"1,876",20.8,2,0,2,2,0,1,4,0,0.10,0.00,0.10,0.10,0.10,Matches,0.06,0.20,33,10,30.3,0.48,1.58,,,,,,,,,,,,,,,,,,,Frauen-Bundesliga,2024-2025
7675a63b,Rebecca Adamczyk,Rebecca Adamczyk,de GER,GK,Freiburg,19,2005,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,1,50.0,2,2,3,1.50,1,180,0,0,0,,0,78.6,11,14,0,1,Frauen-Bundesliga,2024-2025
55d88268,Anna Aehling,Anna Aehling,de GER,DF,Eintracht Frankfurt,23,2001,11,2,339,3.8,0,1,1,0,0,0,0,0,0.00,0.27,0.27,0.00,0.27,Matches,0.00,,1,0,0.0,0.00,0.27,,,,,,,,,,,,,,,,,,,Frauen-Bundesliga,2024-2025
f4321ccd,Sara Agrež,Sara Agrež,si SVN,DF,Köln,23,2000,10,8,779,8.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,5,0,0.0,0.00,0.58,,,,,,,,,,,,,,,,,,,Frauen-Bundesliga,2024-2025
bd7d8d1b,Mara Alber,Mara Alber,de GER,FW,Hoffenheim,18,2005,6,1,131,1.5,0,1,1,0,0,0,0,0,0.00,0.69,0.69,0.00,0.69,Matches,0.00,0.00,5,1,20.0,0.69,3.44,,,,,,,,,,,,,,,,,,,Frauen-Bundesliga,2024-2025
0e658c70,Aline Allmann,Aline Allmann,de GER,GK,Essen,29,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,1,100.0,1,1,0,0.00,0,90,0,0,0,,0,100.0,1,1,1,0,Frauen-Bundesliga,2024-2025
221e533d,Lydia Andrade,Lydia Andrade,ch SUI,"MF,DF",RB Leipzig,25,1999,15,9,878,9.8,1,2,3,1,0,0,4,0,0.10,0.21,0.31,0.10,0.31,Matches,0.08,0.20,13,5,38.5,0.51,1.33,,,,,,,,,,,,,,,,,,,Frauen-Bundesliga,2024-2025
83b0b998,Nicole Anyomi,Nicole Anyomi,de GER,FW,Eintracht Frankfurt,24,2000,22,15,"1,323",14.7,14,6,20,14,0,0,0,0,0.95,0.41,1.36,0.95,1.36,Matches,0.38,0.64,37,22,59.5,1.50,2.52,,,,,,,,,,,,,,,,,,,Frauen-Bundesliga,2024-2025
43b64ff1,Amira Arfaoui,Amira Arfaoui,ch SUI,"MF,FW",Werder Bremen,24,1999,20,9,839,9.3,1,1,2,1,0,0,3,0,0.11,0.11,0.21,0.11,0.21,Matches,0.25,1.00,4,1,25.0,0.11,0.43,,,,,,,,,,,,,,,,,,,Frauen-Bundesliga,2024-2025
