PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
82e12fe7,Junior Adamu,Junior Adamu,at AUT,FW,Freiburg,23,2001,25,19,"1,545",17.2,2,2,4,2,0,0,5,1,0.12,0.12,0.23,0.12,0.23,Matches,0.05,0.17,37,12,32.4,0.70,2.16,,,,,,,,,,,,,,,,,,,Fußball-Bundesliga,2024-2025
501055d8,Karim Adeyemi,Karim Adeyemi,de GER,"MF,FW",Dortmund,22,2002,25,17,"1,433",15.9,7,6,13,7,0,0,4,0,0.44,0.38,0.82,0.44,0.82,Matches,0.15,0.39,46,18,39.1,1.13,2.89,,,,,,,,,,,,,,,,,,,Fußball-Bundesliga,2024-2025
dcfb17f4,Amine Adli,Amine Adli,ma MAR,"MF,FW",Leverkusen,24,2000,20,6,766,8.5,2,0,2,2,0,0,3,0,0.23,0.00,0.23,0.23,0.23,Matches,0.10,0.29,20,7,35.0,0.82,2.35,,,,,,,,,,,,,,,,,,,Fußball-Bundesliga,2024-2025
5054c359,Dapo Afolayan,Dapo Afolayan,eng ENG,"FW,MF",St Pauli,26,1997,32,17,"1,639",18.2,3,1,4,3,0,0,3,0,0.16,0.05,0.22,0.16,0.22,Matches,0.08,0.23,38,13,34.2,0.71,2.09,,,,,,,,,,,,,,,,,,,Fußball-Bundesliga,2024-2025
cb6d81b3,Felix Agu,Felix Agu,ng NGA,MF,Werder Bremen,24,1999,22,21,"1,751",19.5,3,0,3,3,0,0,1,0,0.15,0.00,0.15,0.15,0.15,Matches,0.30,0.60,10,5,50.0,0.26,0.51,,,,,,,,,,,,,,,,,,,Fußball-Bundesliga,2024-2025
f6b692c0,Erik Ahlstrand,Erik Ahlstrand,se SWE,MF,St Pauli,22,2001,5,0,43,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Fußball-Bundesliga,2024-2025
6ec6fde0,Kevin Akpoguma,Kevin Akpoguma,ng NGA,DF,Hoffenheim,29,1995,32,23,"2,220",24.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,5,1,20.0,0.04,0.20,,,,,,,,,,,,,,,,,,,Fußball-Bundesliga,2024-2025
94471fb7,Andreas Albers,Andreas Albers,dk DEN,"FW,MF",St Pauli,34,1990,14,0,62,0.7,1,0,1,1,0,0,0,0,1.45,0.00,1.45,1.45,1.45,Matches,0.33,1.00,3,1,33.3,1.45,4.35,,,,,,,,,,,,,,,,,,,Fußball-Bundesliga,2024-2025
ee8ad906,Ben Alexander Voll,Ben Alexander Voll,de GER,GK,St Pauli,23,2000,2,1,91,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,0,0.0,2,1,2,1.98,0,91,0,0,0,,0,66.7,4,6,1,0,Fußball-Bundesliga,2024-2025
add37c13,Skelly Alvero,Skelly Alvero,fr FRA,MF,Werder Bremen,22,2002,12,1,236,2.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,0.38,,,,,,,,,,,,,,,,,,,Fußball-Bundesliga,2024-2025
1227a22d,Aurele Amenda,Aurele Amenda,ch SUI,DF,Eintracht Frankfurt,21,2003,8,1,96,1.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,0.94,,,,,,,,,,,,,,,,,,,Fußball-Bundesliga,2024-2025
555d5edd,Nadiem Amiri,Nadiem Amiri,de GER,MF,Mainz 05,27,1996,30,30,"2,473",27.5,7,5,12,5,2,2,9,2,0.25,0.18,0.44,0.18,0.36,Matches,0.08,0.19,62,26,41.9,0.95,2.26,,,,,,,,,,,,,,,,,,,Fußball-Bundesliga,2024-2025
6597f8b6,Mohamed Amoura,Mohamed Amoura,dz ALG,"FW,MF",Wolfsburg,24,2000,31,29,"2,467",27.4,10,9,19,8,2,2,6,0,0.36,0.33,0.69,0.29,0.62,Matches,0.11,0.29,76,28,36.8,1.02,2.77,,,,,,,,,,,,,,,,,,,Fußball-Bundesliga,2024-2025
e0b113a7,Robert Andrich,Robert Andrich,de GER,"MF,DF",Leverkusen,29,1994,23,19,"1,598",17.8,2,2,4,2,0,0,7,0,0.11,0.11,0.23,0.11,0.23,Matches,0.10,0.40,21,5,23.8,0.28,1.18,,,,,,,,,,,,,,,,,,,Fußball-Bundesliga,2024-2025
5e66fa06,Waldemar Anton,Waldemar Anton,de GER,DF,Dortmund,28,1996,26,22,"1,949",21.7,2,2,4,2,0,0,4,0,0.09,0.09,0.18,0.09,0.18,Matches,0.11,0.67,19,3,15.8,0.14,0.88,,,,,,,,,,,,,,,,,,,Fußball-Bundesliga,2024-2025
86e119e0,Maximilian Arnold,Maximilian Arnold,de GER,MF,Wolfsburg,30,1994,28,27,"2,356",26.2,3,5,8,3,0,0,7,1,0.11,0.19,0.31,0.11,0.31,Matches,0.11,0.25,27,12,44.4,0.46,1.03,,,,,,,,,,,,,,,,,,,Fußball-Bundesliga,2024-2025
c21fb312,Jann-Fiete Arp,Jann-Fiete Arp,de GER,FW,Holstein Kiel,24,2000,23,3,713,7.9,2,0,2,1,1,2,8,1,0.25,0.00,0.25,0.13,0.13,Matches,0.05,0.09,22,11,50.0,1.39,2.78,,,,,,,,,,,,,,,,,,,Fußball-Bundesliga,2024-2025
8a958856,Arthur,Arthur,br BRA,"MF,DF",Leverkusen,21,2003,20,7,752,8.4,0,1,1,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,Matches,0.00,,1,0,0.0,0.00,0.12,,,,,,,,,,,,,,,,,,,Fußball-Bundesliga,2024-2025
dbd1b101,Noah Atubolu,Noah Atubolu,de GER,GK,Freiburg,22,2002,26,26,"2,307",25.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,10,38.5,26,26,37,1.44,8,"2,307",0,2,0,100.0,2,68.6,82,118,6,12,Fußball-Bundesliga,2024-2025
ce81d82d,Ayman Azhil,Ayman Azhil,ma MAR,MF,Dortmund,23,2001,1,0,24,0.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Fußball-Bundesliga,2024-2025
e678d983,Adam Aznou,Adam Aznou,ma MAR,DF,Bayern Munich,18,2006,2,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Fußball-Bundesliga,2024-2025
7362a6f2,Aliou Badara Baldé,Aliou Badara Baldé,gn GUI,FW,Bochum,21,2002,5,0,91,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,4,1,25.0,0.99,3.96,,,,,,,,,,,,,,,,,,,Fußball-Bundesliga,2024-2025
442b56fa,Ridle Baku,Ridle Baku,de GER,MF,RB Leipzig,26,1998,19,15,"1,275",14.2,2,3,5,2,0,0,1,0,0.14,0.21,0.35,0.14,0.35,Matches,0.12,0.40,17,5,29.4,0.35,1.20,,,,,,,,,,,,,,,,,,,Fußball-Bundesliga,2024-2025
