PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
2cc37b42,Sunday Afolabi,Sunday Afolabi,ng NGA,"DF,MF",Diamond Harbour,26-278,1999,7,4,356,4.0,2,0,2,2,0,0,0,0,0.51,0.00,0.51,0.51,0.51,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,I-League,2026
ca10f8ae,Emmanuel Agyeman Badu,Emmanuel Agyeman Badu,gh GHA,"MF,DF",Chanmari FC,30-129,1995,2,2,142,1.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,I-League,2026
9ecb2f86,Aman Ahlawat,Aman Ahlawat,in IND,DF,Shillong Lajong,23-061,2003,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,I-League,2026
19a9c893,Furqan Ahmad Dar,Furqan Ahmad Dar,in IND,GK,Real Kashmir,27-065,1999,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,0,0.0,5,5,8,1.60,3,450,1,1,0,0.0,0,,,,1,1,I-League,2026
09d815a5,Mohamed Ali,Mohamed Ali,in IND,DF,Dempo,33-275,1992,7,4,451,5.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,I-League,2026
39f9fa1a,CK Aman,CK Aman,in IND,FW,Gokulam Kerala,23-026,2003,3,1,77,0.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,I-League,2026
6eec25eb,Abhishek Ambekar,Abhishek Ambekar,in IND,DF,Rajasthan United FC,34-246,1991,7,7,630,7.0,1,0,1,1,0,0,1,0,0.14,0.00,0.14,0.14,0.14,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,I-League,2026
0ecccd80,Mohd Aqib,Mohd Aqib,in IND,DF,Sreenidi Deccan FC,28-287,1997,1,0,39,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,I-League,2026
5cda61be,Amid Arezou,Amid Arezou,af AFG,"DF,MF",Gokulam Kerala,30-056,1996,5,5,420,4.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,I-League,2026
18d156a3,Gerard Artigas,Gerard Artigas,es ESP,FW,Rajasthan United FC,31-094,1995,4,2,192,2.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,I-League,2026
53e9320c,Melroy Assisi,Melroy Assisi,in IND,DF,Diamond Harbour,27-107,1998,7,7,614,6.8,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,I-League,2026
ad45ae5b,Pedro Astray,Pedro Astray,es ESP,"MF,FW",Rajasthan United FC,34-027,1992,4,4,306,3.4,2,0,2,2,0,0,0,0,0.59,0.00,0.59,0.59,0.59,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,I-League,2026
401773be,Amay Avinash Morajkar,Amay Avinash Morajkar,in IND,"MF,FW",Dempo,25-298,2000,6,2,211,2.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,I-League,2026
c6f8a7c7,Saiesh Bagkar,Saiesh Bagkar,in IND,"MF,DF",Dempo,23-164,2002,7,6,487,5.4,0,1,1,0,0,0,0,0,0.00,0.18,0.18,0.00,0.18,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,I-League,2026
