PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
751ef075,Airton,Airton,br BRA,FW,FC Anyang,27-071,1999,6,3,318,3.5,1,0,1,1,0,0,1,0,0.28,0.00,0.28,0.28,0.28,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,K League 1,2026
4242a0a1,Anderson,Anderson,br BRA,"FW,MF",FC Seoul,27-272,1998,4,4,314,3.5,0,1,1,0,0,0,1,0,0.00,0.29,0.29,0.00,0.29,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,K League 1,2026
44415755,Juan Antonio Ros,Juan Antonio Ros,es ESP,DF,FC Seoul,30-030,1996,6,6,540,6.0,2,0,2,2,0,0,2,0,0.33,0.00,0.33,0.33,0.33,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,K League 1,2026
32878a09,Yazan Al-Arab,Yazan Al-Arab,jo JOR,DF,FC Seoul,30-073,1996,5,5,404,4.5,0,1,1,0,0,0,1,0,0.00,0.22,0.22,0.00,0.22,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,K League 1,2026
fe77168c,Hrvoje Babec,Hrvoje Babec,hr CRO,MF,FC Seoul,26-260,1999,5,5,433,4.8,0,1,1,0,0,0,3,1,0.00,0.21,0.21,0.00,0.21,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,K League 1,2026
2fe4b303,Gong Baehyeon,Gong Baehyeon,kr KOR,DF,Gwangju FC,19-040,2007,5,2,253,2.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,K League 1,2026
a66767ae,Rodrigo Bassani,Rodrigo Bassani,br BRA,FW,Bucheon FC 1995,28-179,1997,2,1,103,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,K League 1,2026
35c2aa94,Yoon Bit-garam,Yoon Bit-garam,kr KOR,"MF,FW",Bucheon FC 1995,35-342,1990,6,5,412,4.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,K League 1,2026
587ddfd6,Kim Bo-kyung,Kim Bo-kyung,kr KOR,FW,FC Anyang,36-190,1989,3,1,71,0.8,0,1,1,0,0,0,0,0,0.00,1.27,1.27,0.00,1.27,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,K League 1,2026
572a8297,Victor Bobsin,Victor Bobsin,br BRA,MF,Daejeon Citizen,26-092,2000,7,4,417,4.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,K League 1,2026
aa09d373,Darijan Bojanić,Darijan Bojanić,se SWE,MF,Ulsan HD,31-107,1994,6,6,497,5.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,K League 1,2026
76854562,Kim Bongsoo,Kim Bongsoo,kr KOR,MF,Daejeon Citizen,26-109,1999,6,5,495,5.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,K League 1,2026
2455c2d6,Song Bumkeun,Song Bumkeun,kr KOR,GK,Jeonbuk Hyundai,28-181,1997,7,7,630,7.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,3,42.9,7,7,6,0.86,2,630,1,1,0,0.0,0,,,,2,3,K League 1,2026
e739b04e,Choe Byeongchan,Choe Byeongchan,kr KOR,FW,Gangwon FC,30-010,1996,4,2,154,1.7,0,1,1,0,0,0,0,0,0.00,0.58,0.58,0.00,0.58,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,K League 1,2026
