PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
774cf58b,Max Aarons,Max Aarons,eng ENG,DF,Valencia,24,2000,4,1,120,1.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,La Liga,2024-2025
69c99fce,Rodrigo Abajas,Rodrigo Abajas,es ESP,DF,Valencia,21,2003,1,1,65,0.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,1.38,,,,,,,,,,,,,,,,,,,La Liga,2024-2025
cadfa7d1,Nabil Aberdin,Nabil Aberdin,fr FRA,MF,Getafe,21,2002,7,4,263,2.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,2,0,0.0,0.00,0.68,,,,,,,,,,,,,,,,,,,La Liga,2024-2025
2bc7f211,Abdel Abqar,Abdel Abqar,ma MAR,DF,Alavés,25,1999,29,29,"2,463",27.4,0,1,1,0,0,0,13,0,0.00,0.04,0.04,0.00,0.04,Matches,0.00,0.00,12,1,8.3,0.04,0.44,,,,,,,,,,,,,,,,,,,La Liga,2024-2025
2ccd39ed,Akor Adams,Akor Adams,ng NGA,FW,Sevilla,24,2000,4,1,134,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,2,2,100.0,1.34,1.34,,,,,,,,,,,,,,,,,,,La Liga,2024-2025
f76e6b4e,Adrián,Adrián,es ESP,GK,Real Betis,37,1987,19,19,"1,710",19.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,3,15.8,19,19,27,1.42,4,"1,710",1,1,0,0.0,0,65.8,50,76,5,10,La Liga,2024-2025
a2c1a8d3,Julen Agirrezabala,Julen Agirrezabala,es ESP,GK,Athletic Club,23,2000,14,14,"1,206",13.4,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,5,35.7,14,14,10,0.75,1,"1,206",1,2,0,50.0,1,71.9,24,32,4,9,La Liga,2024-2025
8bc8829a,Lucien Agoume,Lucien Agoume,fr FRA,MF,Sevilla,22,2002,35,24,"2,114",23.5,1,3,4,1,0,0,5,1,0.04,0.13,0.17,0.04,0.17,Matches,0.10,0.50,10,2,20.0,0.09,0.43,,,,,,,,,,,,,,,,,,,La Liga,2024-2025
014aa7bd,Álvaro Aguado,Álvaro Aguado,es ESP,MF,Espanyol,28,1996,16,4,443,4.9,0,1,1,0,0,0,3,0,0.00,0.20,0.20,0.00,0.20,Matches,0.00,0.00,10,1,10.0,0.20,2.03,,,,,,,,,,,,,,,,,,,La Liga,2024-2025
beae81e1,Lorenzo Aguado,Lorenzo Aguado,es ESP,DF,Real Madrid,21,2002,2,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,La Liga,2024-2025
288e1e13,Nayef Aguerd,Nayef Aguerd,ma MAR,DF,Real Sociedad,28,1996,21,21,"1,760",19.6,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,15,5,33.3,0.26,0.77,,,,,,,,,,,,,,,,,,,La Liga,2024-2025
18abe173,Joseph Aidoo,Joseph Aidoo,gh GHA,DF,Valladolid,28,1995,8,6,583,6.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,0.15,,,,,,,,,,,,,,,,,,,La Liga,2024-2025
18abe173,Joseph Aidoo,Joseph Aidoo,gh GHA,DF,Valladolid,28,1995,8,6,583,6.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,La Liga,2024-2025
18abe173,Joseph Aidoo,Joseph Aidoo,gh GHA,DF,Celta Vigo,28,1995,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,0.15,,,,,,,,,,,,,,,,,,,La Liga,2024-2025
18abe173,Joseph Aidoo,Joseph Aidoo,gh GHA,DF,Celta Vigo,28,1995,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,La Liga,2024-2025
b8bd60fe,Ilias Akhomach,Ilias Akhomach,ma MAR,MF,Villarreal,20,2004,11,7,584,6.5,1,0,1,1,0,0,1,0,0.15,0.00,0.15,0.15,0.15,Matches,0.06,0.17,17,6,35.3,0.92,2.62,,,,,,,,,,,,,,,,,,,La Liga,2024-2025
05439de2,David Alaba,David Alaba,at AUT,DF,Real Madrid,32,1992,7,4,317,3.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,La Liga,2024-2025
