PlayerID,Name,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,League,Season
fd96227e,Walter Anoruo,ng NGA,DF,34-164,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Lamar Hunt U.S. Open Cup,2026
e38e2999,Yohan Bernard-Le,fr FRA,DF,26-161,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Lamar Hunt U.S. Open Cup,2026
b2d03fe3,Elijah Flores,us USA,MF,22-176,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Lamar Hunt U.S. Open Cup,2026
93b6f774,Iván Luquetta,co COL,FW,29-345,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Lamar Hunt U.S. Open Cup,2026
a66d2c18,Emmanuel Ramirez,mx MEX,GK,36-110,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Lamar Hunt U.S. Open Cup,2026
2a7166b3,Usman Sotomi,ng NGA,DF,25-230,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Lamar Hunt U.S. Open Cup,2026
71059581,Frank Barry,eng ENG,DF,30-163,1,1,81,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Lamar Hunt U.S. Open Cup,2026
490ea823,Jovany Macias,us USA,MF,35-223,1,1,73,0.8,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Lamar Hunt U.S. Open Cup,2026
fd52178c,Miguel Zapata,us USA,MF,32-349,1,1,73,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Lamar Hunt U.S. Open Cup,2026
485e54ca,Tayeb Ahmadi,fr FRA,MF,36-017,1,1,56,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Lamar Hunt U.S. Open Cup,2026
e251ed65,Lukas Simon,de GER,FW,39-137,1,1,56,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Lamar Hunt U.S. Open Cup,2026
4f252caa,Dessaline Allison,us USA,FW,27-087,1,0,34,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Lamar Hunt U.S. Open Cup,2026
3e6853ed,Delano Foster,us USA,MF,34-148,1,0,34,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Lamar Hunt U.S. Open Cup,2026
2f05e448,Diego Herrera,us USA,MF,20-348,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Lamar Hunt U.S. Open Cup,2026
2e518eff,Alejandro Noboa,us USA,MF,23-254,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Lamar Hunt U.S. Open Cup,2026
f8e13fd5,Esteban Acuna,us USA,MF,25-266,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Lamar Hunt U.S. Open Cup,2026
fe6f394d,Gino Burioni,us USA,MF,22-062,0,0,,,,,,,,,,,,,,,,Matches,Lamar Hunt U.S. Open Cup,2026
157ba1d6,Arturo Fernandez,us USA,MF,21-296,0,0,,,,,,,,,,,,,,,,Matches,Lamar Hunt U.S. Open Cup,2026
f28de463,Luis Zamudio,us USA,GK,27-294,5,5,450,5.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Lamar Hunt U.S. Open Cup,2026
7636fa88,Jeremy Kelly,us USA,MF,28-175,5,5,432,4.8,0,2,2,0,0,0,0,0,0.00,0.42,0.42,0.00,0.42,Matches,Lamar Hunt U.S. Open Cup,2026
ae3330d0,Graham Smith,us USA,DF,30-140,5,5,405,4.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,Lamar Hunt U.S. Open Cup,2026
447e9380,Sean Suber,us USA,"MF,DF",24-305,5,5,396,4.4,1,0,1,1,0,0,0,0,0.23,0.00,0.23,0.23,0.23,Matches,Lamar Hunt U.S. Open Cup,2026
aea70213,Joey Akpunonu,us USA,DF,24-114,5,4,405,4.5,0,2,2,0,0,0,1,0,0.00,0.44,0.44,0.00,0.44,Matches,Lamar Hunt U.S. Open Cup,2026
8fb19b05,Nathan Messer,eng ENG,DF,24-282,5,4,387,4.3,0,1,1,0,0,0,0,0,0.00,0.23,0.23,0.00,0.23,Matches,Lamar Hunt U.S. Open Cup,2026
5bb6c69c,Emilio Ycaza,us USA,MF,28-278,5,4,376,4.2,2,0,2,1,1,1,0,0,0.48,0.00,0.48,0.24,0.24,Matches,Lamar Hunt U.S. Open Cup,2026
a5532e80,Miguel Berry,es ESP,FW,28-210,5,4,369,4.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Lamar Hunt U.S. Open Cup,2026
5e7f4283,Laurent Kissiedou,ci CIV,MF,27-113,5,4,290,3.2,1,0,1,1,0,0,0,0,0.31,0.00,0.31,0.31,0.31,Matches,Lamar Hunt U.S. Open Cup,2026
3e7ebb9a,Douglas Martinez,hn HON,DF,28-313,4,4,250,2.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,Lamar Hunt U.S. Open Cup,2026
d1a9c3ff,Kirill Pakhomov,us USA,MF,25-033,5,3,289,3.2,1,0,1,1,0,0,1,0,0.31,0.00,0.31,0.31,0.31,Matches,Lamar Hunt U.S. Open Cup,2026
a612a23b,Wilmer Cabrera Jr.,us USA,MF,25-259,5,2,201,2.2,1,0,1,1,0,0,0,0,0.45,0.00,0.45,0.45,0.45,Matches,Lamar Hunt U.S. Open Cup,2026
b17de829,Colton Swan,us USA,"MF,FW",18-346,4,2,171,1.9,1,0,1,1,0,0,0,0,0.53,0.00,0.53,0.53,0.53,Matches,Lamar Hunt U.S. Open Cup,2026
efd7b827,Houssou Landry,ci CIV,"MF,DF",25-107,4,2,168,1.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Lamar Hunt U.S. Open Cup,2026
a851a29d,Maalique Foster,jm JAM,MF,29-160,5,1,176,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Lamar Hunt U.S. Open Cup,2026
d57f7428,Langston Blackstock,us USA,DF,26-022,4,1,163,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Lamar Hunt U.S. Open Cup,2026
a852d9f3,Jack Wayne,us USA,MF,17-266,2,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Lamar Hunt U.S. Open Cup,2026
e04d3aa3,Medgy Alexandre,us USA,FW,22-028,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Lamar Hunt U.S. Open Cup,2026
88270033,Kruz Held,us USA,DF,17-297,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Lamar Hunt U.S. Open Cup,2026
0ee09425,John Berner,us USA,GK,35-059,0,0,,,,,,,,,,,,,,,,Matches,Lamar Hunt U.S. Open Cup,2026
b59f0799,Daniel Kuzemka,us USA,GK,27-203,0,0,,,,,,,,,,,,,,,,Matches,Lamar Hunt U.S. Open Cup,2026
591ec091,Cohen Rigsby,us USA,GK,17-321,0,0,,,,,,,,,,,,,,,,Matches,Lamar Hunt U.S. Open Cup,2026
bf0aa278,Johan Garibay,us USA,GK,26-024,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Lamar Hunt U.S. Open Cup,2026
605187b4,Jordan Skelton,eng ENG,DF,29-051,6,6,540,6.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Lamar Hunt U.S. Open Cup,2026
8082c127,Mikkel Gøling,dk DEN,MF,24-116,6,6,516,5.7,0,1,1,0,0,0,1,0,0.00,0.17,0.17,0.00,0.17,Matches,Lamar Hunt U.S. Open Cup,2026
39370509,Jaheim Brown,jm JAM,DF,24-185,6,6,471,5.2,0,1,1,0,0,0,1,0,0.00,0.19,0.19,0.00,0.19,Matches,Lamar Hunt U.S. Open Cup,2026
94da49e7,Christopher Tiao,tw TPE,DF,24-319,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Lamar Hunt U.S. Open Cup,2026
7129666e,Abel Caputo,ve VEN,MF,25-277,6,5,414,4.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Lamar Hunt U.S. Open Cup,2026
e224956c,Finn McRobb,sct SCO,DF,24-074,5,4,405,4.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Lamar Hunt U.S. Open Cup,2026
1aa8d821,John Murphy,us USA,MF,25-360,6,4,371,4.1,2,0,2,2,0,0,2,0,0.49,0.00,0.49,0.49,0.49,Matches,Lamar Hunt U.S. Open Cup,2026
ac1a9129,Teddy Baker,eng ENG,MF,24-171,6,4,360,4.0,0,1,1,0,0,0,0,0,0.00,0.25,0.25,0.00,0.25,Matches,Lamar Hunt U.S. Open Cup,2026
f69dc936,Denis Krioutchenkov,il ISR,FW,21-342,6,4,313,3.5,3,1,4,3,0,0,1,0,0.86,0.29,1.15,0.86,1.15,Matches,Lamar Hunt U.S. Open Cup,2026
7f3117a8,Stavros Zarokostas,gr GRE,MF,28-160,5,3,232,2.6,0,1,1,0,0,0,2,0,0.00,0.39,0.39,0.00,0.39,Matches,Lamar Hunt U.S. Open Cup,2026
199b7c22,Braudílio Pina,pt POR,MF,26-150,3,3,199,2.2,1,1,2,1,0,0,3,0,0.45,0.45,0.90,0.45,0.90,Matches,Lamar Hunt U.S. Open Cup,2026
64684c5e,Babacar Diene,sn SEN,FW,29-171,5,2,272,3.0,1,0,1,1,0,0,1,0,0.33,0.00,0.33,0.33,0.33,Matches,Lamar Hunt U.S. Open Cup,2026
6403646b,Dani Fernández,es ESP,DF,28-334,3,2,201,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Lamar Hunt U.S. Open Cup,2026
2fe22df9,Real Gill,tt TRI,MF,23-081,4,2,186,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Lamar Hunt U.S. Open Cup,2026
fb6ea67e,Eli Conway,us USA,MF,21-223,5,2,159,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Lamar Hunt U.S. Open Cup,2026
