PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
ea57b8f4,Edwin Agbaje,Edwin Agbaje,ie IRL,DF,Drogheda United,22-079,2004,10,10,775,8.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,3,0,0.0,0.00,0.35,,,,,,,,,,,,,,,,,,,League of Ireland Premier Division,2026
9a7614d9,Dipo Akinyemi,Dipo Akinyemi,eng ENG,FW,Derry City,28-308,1997,10,4,445,4.9,2,0,2,2,0,0,1,0,0.40,0.00,0.40,0.40,0.40,Matches,0.13,0.33,15,6,40.0,1.21,3.03,,,,,,,,,,,,,,,,,,,League of Ireland Premier Division,2026
2020d19a,Al Amin Kazeem,Al Amin Kazeem,eng ENG,DF,Galway United,24-008,2002,3,3,151,1.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,League of Ireland Premier Division,2026
75499f71,Pádraig Amond,Pádraig Amond,ie IRL,FW,Waterford United,37-364,1988,10,9,811,9.0,2,0,2,2,0,1,0,0,0.22,0.00,0.22,0.22,0.22,Matches,0.13,0.33,15,6,40.0,0.67,1.66,,,,,,,,,,,,,,,,,,,League of Ireland Premier Division,2026
21a866b7,Joseph Anang,Joseph Anang,gh GHA,GK,St Patrick's,25-310,2000,11,11,990,11.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,5,45.5,11,11,9,0.82,3,990,0,1,0,100.0,1,80.0,37,45,2,6,League of Ireland Premier Division,2026
8f06c5f4,Mayowa Animasahun,Mayowa Animasahun,ie IRL,DF,Dundalk FC,22-249,2003,7,6,488,5.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,8,2,25.0,0.37,1.48,,,,,,,,,,,,,,,,,,,League of Ireland Premier Division,2026
4e8184bb,Gbemi Arubi,Gbemi Arubi,ie IRL,FW,Dundalk FC,21-323,2004,11,8,696,7.7,4,2,6,4,0,0,1,0,0.52,0.26,0.78,0.52,0.78,Matches,0.18,0.44,22,9,40.9,1.16,2.84,,,,,,,,,,,,,,,,,,,League of Ireland Premier Division,2026
b3038e9f,Maleace Asamoah,Maleace Asamoah,eng ENG,MF,Shamrock Rovers,23-150,2002,3,3,183,2.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,2,0,0.0,0.00,0.98,,,,,,,,,,,,,,,,,,,League of Ireland Premier Division,2026
fb3fc955,Alex Bannon,Alex Bannon,sct SCO,DF,Derry City,22-210,2003,6,5,455,5.1,1,1,2,1,0,0,0,0,0.20,0.20,0.40,0.20,0.40,Matches,0.17,0.33,6,3,50.0,0.59,1.19,,,,,,,,,,,,,,,,,,,League of Ireland Premier Division,2026
3426b03a,Conor Barr,Conor Barr,nir NIR,DF,Derry City,20-116,2005,5,2,231,2.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,League of Ireland Premier Division,2026
