PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
1339039e,Liel Abada,Liel Abada,il ISR,MF,us Charlotte,23,2001,3,2,188,2.1,0,1,1,0,0,0,0,0,0.00,0.48,0.48,0.00,0.48,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Leagues Cup,2025
93f24791,José Abella,José Abella,mx MEX,MF,mx Santos Laguna,30,1994,2,1,81,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Leagues Cup,2025
0810e384,Carlos Acevedo,Carlos Acevedo,mx MEX,GK,mx Santos Laguna,28,1996,2,2,179,2.0,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,0,0.0,2,2,6,3.02,2,179,0,0,0,,0,,,,0,0,Leagues Cup,2025
4ab21ca4,Alonso Aceves,Alonso Aceves,mx MEX,DF,mx Pachuca,23,2001,4,4,360,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Leagues Cup,2025
06e75d19,Leonardo Afonso,Leonardo Afonso,br BRA,FW,us Atlanta Utd,23,2001,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Leagues Cup,2025
d2275b1b,William Agada,William Agada,ng NGA,FW,us Real Salt Lake,25,1999,3,3,222,2.5,1,0,1,1,0,0,1,0,0.41,0.00,0.41,0.41,0.41,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Leagues Cup,2025
723496a4,Eduardo Águila,Eduardo Águila,mx MEX,DF,mx Atlético San Luis,22,2002,2,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Leagues Cup,2025
ecc5063f,Daniel Aguirre,Daniel Aguirre,us USA,DF,mx Guadalajara,25,1999,2,2,180,2.0,0,1,1,0,0,0,2,0,0.00,0.50,0.50,0.00,0.50,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Leagues Cup,2025
61088de3,Eduardo Aguirre,Eduardo Aguirre,mx MEX,FW,mx Atlas,26,1998,3,2,175,1.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Leagues Cup,2025
06dddd9e,Érick Aguirre,Érick Aguirre,mx MEX,MF,mx Monterrey,27,1997,2,2,175,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Leagues Cup,2025
a566d3a2,Gaddi Aguirre,Gaddi Aguirre,mx MEX,DF,mx Atlas,28,1996,2,2,135,1.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Leagues Cup,2025
b5691f5d,Rodrigo Aguirre,Rodrigo Aguirre,uy URU,FW,mx América,30,1994,3,1,127,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Leagues Cup,2025
ac30468d,Jorge Agustín Rodríguez,Jorge Agustín Rodríguez,ar ARG,MF,mx Monterrey,29,1995,2,1,107,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Leagues Cup,2025
4601e194,Jordi Alba,Jordi Alba,es ESP,DF,us Inter Miami,35,1989,6,6,496,5.5,1,1,2,1,0,0,0,0,0.18,0.18,0.36,0.18,0.36,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Leagues Cup,2025
a5341fc1,André Alcaráz,André Alcaráz,mx MEX,GK,mx Mazatlán,25,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,0,0.0,1,1,2,2.00,1,90,0,0,0,,0,,,,0,0,Leagues Cup,2025
3ed2a79b,Alexandre Alemão,Alexandre Alemão,br BRA,FW,mx Pachuca,26,1998,3,0,98,1.1,1,0,1,1,0,0,2,0,0.92,0.00,0.92,0.92,0.92,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Leagues Cup,2025
125d6bed,Luis Alfonso Rodríguez,Luis Alfonso Rodríguez,mx MEX,DF,mx Pachuca,34,1991,3,3,218,2.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Leagues Cup,2025
043f389a,Noah Allen,Noah Allen,gr GRE,DF,us Inter Miami,20,2004,3,1,123,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Leagues Cup,2025
75a66bed,Tadeo Allende,Tadeo Allende,ar ARG,"MF,FW",us Inter Miami,25,1999,6,5,384,4.3,1,0,1,1,0,0,0,0,0.23,0.00,0.23,0.23,0.23,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Leagues Cup,2025
3438600c,Guillermo Allison,Guillermo Allison,mx MEX,GK,mx Querétaro,34,1990,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,0,0.0,2,2,2,1.00,2,180,0,0,0,,0,,,,0,0,Leagues Cup,2025
cd60f3ce,Facundo Almada,Facundo Almada,ar ARG,DF,mx Mazatlán,26,1998,2,2,180,2.0,1,0,1,1,0,0,0,0,0.50,0.00,0.50,0.50,0.50,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Leagues Cup,2025
862a1c15,Miguel Almirón,Miguel Almirón,py PAR,MF,us Atlanta Utd,30,1994,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Leagues Cup,2025
ff871e14,Roberto Alvarado,Roberto Alvarado,mx MEX,MF,mx Guadalajara,26,1998,2,2,164,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Leagues Cup,2025
3cd08ab7,Efrain Alvarez,Efrain Alvarez,mx MEX,MF,mx Guadalajara,22,2002,3,3,212,2.4,1,1,2,0,1,1,0,0,0.42,0.42,0.85,0.00,0.42,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Leagues Cup,2025
e2e96950,Fernando Álvarez,Fernando Álvarez,co COL,DF,ca CF Montréal,21,2003,2,2,179,2.0,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Leagues Cup,2025
636b0833,Kevin Álvarez,Kevin Álvarez,mx MEX,DF,mx América,26,1999,2,1,93,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Leagues Cup,2025
00dad262,Pedro Amador,Pedro Amador,pt POR,DF,us Atlanta Utd,26,1998,1,1,64,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Leagues Cup,2025
2e8bd00c,Frankie Amaya,Frankie Amaya,us USA,MF,us LAFC,24,2000,3,2,162,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Leagues Cup,2025
