PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
483d494f,Briam Acosta,Briam Acosta,uy URU,MF,Albion FC,28-219,1997,8,1,174,1.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga AUF Uruguaya,2026
49817de5,Juan Acosta,Juan Acosta,uy URU,DF,Boston River,32-154,1993,10,8,743,8.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga AUF Uruguaya,2026
cee8250b,Lucas Acosta,Lucas Acosta,uy URU,FW,Liverpool,24-078,2002,7,3,326,3.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga AUF Uruguaya,2026
7dafa714,Mateo Acosta,Mateo Acosta,uy URU,DF,Montevideo Wanderers,23-041,2003,2,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga AUF Uruguaya,2026
849ca57a,Nahuel Acosta,Nahuel Acosta,uy URU,FW,Peñarol,26-338,1999,3,3,151,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga AUF Uruguaya,2026
e809b44b,Lucas Agazzi,Lucas Agazzi,uy URU,MF,Defensor Sporting,20-347,2005,11,11,978,10.9,0,4,4,0,0,0,0,0,0.00,0.37,0.37,0.00,0.37,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga AUF Uruguaya,2026
8ea7acfd,Eduardo Agüero,Eduardo Agüero,uy URU,DF,Torque,22-059,2004,6,6,450,5.0,1,0,1,1,0,0,0,0,0.20,0.00,0.20,0.20,0.20,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga AUF Uruguaya,2026
19da9ece,Washington Aguerre,Washington Aguerre,uy URU,GK,Peñarol,32-356,1993,6,6,540,6.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,3,50.0,6,6,4,0.67,1,540,0,1,0,100.0,1,,,,1,4,Liga AUF Uruguaya,2026
1ac02e31,Mariano Aguilera,Mariano Aguilera,ar ARG,FW,Central Español,22-128,2003,4,3,234,2.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga AUF Uruguaya,2026
d9316472,Agustín Aguirre,Agustín Aguirre,ar ARG,DF,Boston River,22-092,2004,5,1,190,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga AUF Uruguaya,2026
8997e41c,Carlos Airala,Carlos Airala,ar ARG,MF,Albion FC,23-232,2002,10,8,714,7.9,2,1,3,2,0,0,2,0,0.25,0.13,0.38,0.25,0.38,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga AUF Uruguaya,2026
907edfa0,Agustín Alaniz,Agustín Alaniz,uy URU,FW,Juventud de Las Piedras,23-333,2002,8,4,384,4.3,0,1,1,0,0,0,1,0,0.00,0.23,0.23,0.00,0.23,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga AUF Uruguaya,2026
3c583068,José Alberti,José Alberti,uy URU,MF,Montevideo Wanderers,29-016,1997,10,9,772,8.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga AUF Uruguaya,2026
b1eceb64,Pablo Alcoba,Pablo Alcoba,uy URU,MF,Albion FC,17-155,2008,3,0,31,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga AUF Uruguaya,2026
81b3845a,Nicolás Alejandro Rodríguez,Nicolás Alejandro Rodríguez,uy URU,DF,Nacional,34-266,1991,3,0,91,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga AUF Uruguaya,2026
32a7d080,Brahian Alemán,Brahian Alemán,uy URU,MF,Cerro,36-112,1989,7,4,405,4.5,1,1,2,1,0,0,2,1,0.22,0.22,0.44,0.22,0.44,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga AUF Uruguaya,2026
66c498c1,Maximo Alonso,Maximo Alonso,uy URU,FW,Central Español,23-283,2002,7,5,403,4.5,1,0,1,1,0,0,0,0,0.22,0.00,0.22,0.22,0.22,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga AUF Uruguaya,2026
32604312,Brandon Álvarez,Brandon Álvarez,uy URU,FW,Peñarol,18-182,2007,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga AUF Uruguaya,2026
c3993773,Agustín Álvarez Wallace,Agustín Álvarez Wallace,uy URU,MF,Racing,24-359,2001,6,4,412,4.6,0,1,1,0,0,0,1,0,0.00,0.22,0.22,0.00,0.22,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga AUF Uruguaya,2026
5d667a70,Agustín Amado,Agustín Amado,uy URU,MF,Boston River,25-067,2001,11,9,819,9.1,0,1,1,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga AUF Uruguaya,2026
b938ea4d,Jairo Amaro,Jairo Amaro,uy URU,MF,Cerro,23-077,2003,11,8,780,8.7,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga AUF Uruguaya,2026
25b92652,Kevin Amaro,Kevin Amaro,uy URU,DF,Liverpool,22-042,2004,6,5,423,4.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga AUF Uruguaya,2026
cac921e2,Mauricio Amaro,Mauricio Amaro,uy URU,MF,Defensor Sporting,20-269,2005,10,10,894,9.9,0,1,1,0,0,0,5,0,0.00,0.10,0.10,0.00,0.10,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga AUF Uruguaya,2026
1e27204d,Maximiliano Añasco,Maximiliano Añasco,uy URU,MF,Cerro Largo,24-345,2001,8,4,438,4.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga AUF Uruguaya,2026
8b595acf,Emiliano Ancheta,Emiliano Ancheta,uy URU,DF,Nacional,26-309,1999,8,7,653,7.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga AUF Uruguaya,2026
