PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
71311fdb,Saminu Abdullahi,Saminu Abdullahi,ng NGA,MF,FC Juárez,23,2001,3,0,48,0.5,0,1,1,0,0,0,1,0,0.00,1.87,1.87,0.00,1.87,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Liga MX,2024-2025
93f24791,José Abella,José Abella,mx MEX,DF,Santos Laguna,30,1994,17,17,"1,510",16.8,0,2,2,0,0,0,2,0,0.00,0.12,0.12,0.00,0.12,Matches,0.00,0.00,6,2,33.3,0.12,0.36,,,,,,,,,,,,,,,,,,,Liga MX,2024-2025
93f24791,José Abella,José Abella,mx MEX,DF,Santos Laguna,30,1994,17,17,"1,510",16.8,0,2,2,0,0,0,2,0,0.00,0.12,0.12,0.00,0.12,Matches,0.00,0.00,3,1,33.3,0.09,0.27,,,,,,,,,,,,,,,,,,,Liga MX,2024-2025
93f24791,José Abella,José Abella,mx MEX,DF,FC Juárez,30,1994,17,11,"1,014",11.3,0,1,1,0,0,0,3,0,0.00,0.09,0.09,0.00,0.09,Matches,0.00,0.00,6,2,33.3,0.12,0.36,,,,,,,,,,,,,,,,,,,Liga MX,2024-2025
93f24791,José Abella,José Abella,mx MEX,DF,FC Juárez,30,1994,17,11,"1,014",11.3,0,1,1,0,0,0,3,0,0.00,0.09,0.09,0.00,0.09,Matches,0.00,0.00,3,1,33.3,0.09,0.27,,,,,,,,,,,,,,,,,,,Liga MX,2024-2025
49dc9833,Diego Abitia,Diego Abitia,mx MEX,FW,Atlético San Luis,21,2003,11,3,320,3.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,4,1,25.0,0.28,1.13,,,,,,,,,,,,,,,,,,,Liga MX,2024-2025
0810e384,Carlos Acevedo,Carlos Acevedo,mx MEX,GK,Santos Laguna,28,1996,33,33,"2,970",33.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,0.03,3,9.1,33,33,65,1.97,24,"2,970",2,3,0,33.3,1,66.7,126,189,5,4,Liga MX,2024-2025
4ab21ca4,Alonso Aceves,Alonso Aceves,mx MEX,DF,Pachuca,23,2001,17,14,"1,334",14.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,10,3,30.0,0.20,0.67,,,,,,,,,,,,,,,,,,,Liga MX,2024-2025
b366fe11,Gilberto Adame,Gilberto Adame,mx MEX,"MF,FW",Mazatlán,19,2004,12,3,417,4.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,5,1,20.0,0.22,1.08,,,,,,,,,,,,,,,,,,,Liga MX,2024-2025
3c285ef0,Sergio Aguayo,Sergio Aguayo,us USA,FW,Pachuca,21,2002,6,0,162,1.8,1,0,1,1,0,0,1,0,0.56,0.00,0.56,0.56,0.56,Matches,0.13,0.50,8,2,25.0,1.11,4.44,,,,,,,,,,,,,,,,,,,Liga MX,2024-2025
