PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
a9ee5e81,Ricardo Adé,Ricardo Adé,ht HAI,DF,LDU Quito,35-328,1990,7,7,585,6.5,1,0,1,1,0,0,1,0,0.15,0.00,0.15,0.15,0.15,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga Profesional Ecuador,2026
644a6c02,Ariel Aguas,Ariel Aguas,ec ECU,"MF,DF",CDP Leones del Norte,27-008,1999,6,4,351,3.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga Profesional Ecuador,2026
6e98c19f,Jordy Alcivar,Jordy Alcivar,ec ECU,MF,Independiente,26-252,1999,4,4,297,3.3,0,1,1,0,0,0,1,1,0.00,0.30,0.30,0.00,0.30,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga Profesional Ecuador,2026
75bf8a30,Gian Allala,Gian Allala,uy URU,DF,LDU Quito,29-087,1997,4,4,338,3.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga Profesional Ecuador,2026
f7921239,Jostin Alman,Jostin Alman,ec ECU,"MF,FW",Manta Fútbol Club,30-338,1995,6,5,418,4.6,0,0,0,0,0,1,2,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga Profesional Ecuador,2026
62842524,Mauricio Alonso,Mauricio Alonso,uy URU,MF,Univ Católica,32-061,1994,8,8,583,6.5,1,1,2,1,0,0,1,0,0.15,0.15,0.31,0.15,0.31,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga Profesional Ecuador,2026
7302ba2b,Alexander Alvarado,Alexander Alvarado,ec ECU,"MF,FW",LDU Quito,26-358,1999,6,3,308,3.4,0,1,1,0,0,0,0,0,0.00,0.29,0.29,0.00,0.29,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga Profesional Ecuador,2026
284516e5,Gregori Anangonó,Gregori Anangonó,ec ECU,DF,Univ Católica,27-333,1998,7,7,622,6.9,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga Profesional Ecuador,2026
7ff608a3,Julian Anaya,Julian Anaya,co COL,DF,Técnico Universitario,26-305,1999,8,8,720,8.0,2,0,2,2,0,0,1,0,0.25,0.00,0.25,0.25,0.25,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga Profesional Ecuador,2026
4287aeea,Marcos Andrés López,Marcos Andrés López,ec ECU,DF,Deportivo Cuenca,33-069,1993,6,6,390,4.3,1,0,1,1,0,0,1,0,0.23,0.00,0.23,0.23,0.23,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga Profesional Ecuador,2026
49566432,Cristopher Angulo,Cristopher Angulo,ec ECU,MF,Mushuc Runa,25-187,2000,6,4,416,4.6,1,0,1,1,0,0,1,1,0.22,0.00,0.22,0.22,0.22,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga Profesional Ecuador,2026
2e86294d,Riquelme Angulo,Riquelme Angulo,ec ECU,FW,Independiente,18-092,2008,5,0,122,1.4,2,0,2,2,0,0,1,0,1.48,0.00,1.48,1.48,1.48,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga Profesional Ecuador,2026
6b4b0bae,Carlos Arboleda,Carlos Arboleda,ec ECU,"DF,MF",Deportivo Cuenca,35-080,1991,6,4,411,4.6,0,2,2,0,0,0,0,0,0.00,0.44,0.44,0.00,0.44,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga Profesional Ecuador,2026
f6ddff8c,Kener Arce,Kener Arce,ec ECU,MF,Técnico Universitario,37-301,1988,4,0,36,0.4,0,1,1,0,0,0,1,0,0.00,2.50,2.50,0.00,2.50,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga Profesional Ecuador,2026
e18aa9f2,Yorlin Arce,Yorlin Arce,ec ECU,DF,Técnico Universitario,25-189,2000,7,7,629,7.0,0,1,1,0,0,0,5,1,0.00,0.14,0.14,0.00,0.14,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga Profesional Ecuador,2026
bc199efa,Roger Arias,Roger Arias,ec ECU,DF,Guayaquil City,26-047,2000,7,7,613,6.8,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga Profesional Ecuador,2026
6731c0cd,Diego Armas,Diego Armas,ec ECU,MF,Orense,35-286,1990,4,2,186,2.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga Profesional Ecuador,2026
8105100f,Santiago Arrieta,Santiago Arrieta,ar ARG,FW,CDP Leones del Norte,19-171,2006,5,0,62,0.7,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga Profesional Ecuador,2026
84090894,Dixon Arroyo,Dixon Arroyo,ec ECU,MF,Guayaquil City,33-317,1992,2,1,104,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga Profesional Ecuador,2026
2ca5a720,Jean Arroyo,Jean Arroyo,ec ECU,MF,Independiente,22-192,2003,3,1,137,1.5,0,1,1,0,0,0,0,0,0.00,0.66,0.66,0.00,0.66,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga Profesional Ecuador,2026
20669e4a,Jonathan Arroyo,Jonathan Arroyo,ec ECU,DF,CDP Leones del Norte,23-186,2002,4,4,315,3.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga Profesional Ecuador,2026
aee60102,Luis Arroyo,Luis Arroyo,ec ECU,"MF,FW",Aucas,30-006,1996,8,4,401,4.5,0,1,1,0,0,0,3,0,0.00,0.22,0.22,0.00,0.22,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga Profesional Ecuador,2026
ca11f4de,Feyiseitan Asagidigbi,Feyiseitan Asagidigbi,ng NGA,MF,Manta Fútbol Club,27-076,1999,5,1,118,1.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga Profesional Ecuador,2026
518888d1,Luis Ayala Brucil,Luis Ayala Brucil,ec ECU,DF,Macará,32-202,1993,7,6,520,5.8,0,1,1,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga Profesional Ecuador,2026
74b284aa,Jaime Ayoví,Jaime Ayoví,ec ECU,FW,Emelec,38-052,1988,1,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Liga Profesional Ecuador,2026
