PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
7310786d,Keyliane Abdallah,Keyliane Abdallah,fr FRA,FW,Marseille,18,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Ligue 1,2024-2025
32c2d95f,Yunis Abdelhamid,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,36,1987,16,11,"1,033",11.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,2,1,50.0,0.09,0.17,,,,,,,,,,,,,,,,,,,Ligue 1,2024-2025
7978cbf0,Himad Abdelli,Himad Abdelli,dz ALG,MF,Angers,24,1999,32,32,"2,842",31.6,6,1,7,3,3,4,4,0,0.19,0.03,0.22,0.10,0.13,Matches,0.08,0.25,38,12,31.6,0.38,1.20,,,,,,,,,,,,,,,,,,,Ligue 1,2024-2025
bff15d74,Mohamed Abdelmoneim,Mohamed Abdelmoneim,eg EGY,DF,Nice,25,1999,12,10,855,9.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Ligue 1,2024-2025
ad7cdb35,Ali Abdi,Ali Abdi,tn TUN,MF,Nice,30,1993,25,17,"1,393",15.5,5,2,7,5,0,0,2,0,0.32,0.13,0.45,0.32,0.45,Matches,0.17,0.45,29,11,37.9,0.71,1.87,,,,,,,,,,,,,,,,,,,Ligue 1,2024-2025
0e46fa2f,Matthis Abline,Matthis Abline,fr FRA,FW,Nantes,21,2003,34,33,"2,768",30.8,9,2,11,8,1,1,3,0,0.29,0.07,0.36,0.26,0.33,Matches,0.11,0.30,73,27,37.0,0.88,2.37,,,,,,,,,,,,,,,,,,,Ligue 1,2024-2025
7f9c5d2d,Abner,Abner,br BRA,"DF,MF",Lyon,24,2000,19,12,"1,090",12.1,1,1,2,1,0,0,1,0,0.08,0.08,0.17,0.08,0.17,Matches,0.14,0.33,7,3,42.9,0.25,0.58,,,,,,,,,,,,,,,,,,,Ligue 1,2024-2025
c2a6033c,Zakaria Aboukhlal,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,24,2000,26,22,"1,901",21.1,7,2,9,6,1,2,4,0,0.33,0.09,0.43,0.28,0.38,Matches,0.10,0.21,63,29,46.0,1.37,2.98,,,,,,,,,,,,,,,,,,,Ligue 1,2024-2025
2ccd39ed,Akor Adams,Akor Adams,ng NGA,FW,Montpellier,24,2000,15,13,"1,075",11.9,3,1,4,3,0,0,2,0,0.25,0.08,0.33,0.25,0.33,Matches,0.12,0.25,26,12,46.2,1.00,2.18,,,,,,,,,,,,,,,,,,,Ligue 1,2024-2025
7587446d,Martin Adeline,Martin Adeline,fr FRA,MF,Reims,20,2003,1,0,26,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Ligue 1,2024-2025
e980e78d,Adryelson,Adryelson,br BRA,DF,Lyon,26,1998,1,0,1,0.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Ligue 1,2024-2025
75f1ed80,Emmanuel Agbadou,Emmanuel Agbadou,ci CIV,DF,Reims,27,1997,14,14,"1,260",14.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,15,3,20.0,0.21,1.07,,,,,,,,,,,,,,,,,,,Ligue 1,2024-2025
3d6aaa54,Jeremy Agbonifo,Jeremy Agbonifo,se SWE,FW,Lens,18,2005,8,1,300,3.3,1,0,1,1,0,0,1,0,0.30,0.00,0.30,0.30,0.30,Matches,0.17,0.25,6,4,66.7,1.20,1.80,,,,,,,,,,,,,,,,,,,Ligue 1,2024-2025
3dd738a1,Ruben Aguilar,Ruben Aguilar,fr FRA,"MF,DF",Lens,31,1993,16,13,"1,124",12.5,1,2,3,1,0,0,4,0,0.08,0.16,0.24,0.08,0.24,Matches,0.09,0.33,11,3,27.3,0.24,0.88,,,,,,,,,,,,,,,,,,,Ligue 1,2024-2025
a6c58494,Naouirou Ahamada,Naouirou Ahamada,fr FRA,MF,Rennes,22,2002,3,0,58,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,1.55,,,,,,,,,,,,,,,,,,,Ligue 1,2024-2025
48b28bfd,Jean-Eudes Aholou,Jean-Eudes Aholou,ci CIV,MF,Angers,30,1994,26,26,"1,959",21.8,2,0,2,2,0,0,7,0,0.09,0.00,0.09,0.09,0.09,Matches,0.07,0.29,27,7,25.9,0.32,1.24,,,,,,,,,,,,,,,,,,,Ligue 1,2024-2025
8399c416,Ayman Aiki,Ayman Aiki,fr FRA,MF,Saint-Étienne,19,2005,5,1,127,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,3,1,33.3,0.71,2.13,,,,,,,,,,,,,,,,,,,Ligue 1,2024-2025
462475ed,Ludovic Ajorque,Ludovic Ajorque,fr FRA,FW,Brest,30,1994,31,29,"2,495",27.7,13,2,15,13,0,1,5,0,0.47,0.07,0.54,0.47,0.54,Matches,0.24,0.48,54,27,50.0,0.97,1.95,,,,,,,,,,,,,,,,,,,Ligue 1,2024-2025
d746900e,Ümit Akdag,Ümit Akdag,ro ROU,DF,Toulouse,20,2003,9,6,500,5.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,2,0,0.0,0.00,0.36,,,,,,,,,,,,,,,,,,,Ligue 1,2024-2025
06efa9dc,Sergio Akieme,Sergio Akieme,es ESP,DF,Reims,26,1997,30,29,"2,523",28.0,2,3,5,2,0,0,5,0,0.07,0.11,0.18,0.07,0.18,Matches,0.08,0.29,26,7,26.9,0.25,0.93,,,,,,,,,,,,,,,,,,,Ligue 1,2024-2025
b625b241,Maghnes Akliouche,Maghnes Akliouche,fr FRA,MF,Monaco,22,2002,32,27,"2,406",26.7,5,10,15,4,1,1,2,0,0.19,0.37,0.56,0.15,0.52,Matches,0.07,0.22,61,18,29.5,0.67,2.28,,,,,,,,,,,,,,,,,,,Ligue 1,2024-2025
31f5b89b,Paul Akouokou,Paul Akouokou,ci CIV,MF,Lyon,26,1997,2,0,19,0.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Ligue 1,2024-2025
0abb5072,Clément Akpa,Clément Akpa,ci CIV,DF,Auxerre,22,2001,31,29,"2,486",27.6,0,1,1,0,0,0,7,0,0.00,0.04,0.04,0.00,0.04,Matches,0.00,0.00,6,1,16.7,0.04,0.22,,,,,,,,,,,,,,,,,,,Ligue 1,2024-2025
e2b384d2,Chuba Akpom,Chuba Akpom,eng ENG,FW,Lille,28,1995,14,6,639,7.1,3,1,4,2,1,2,0,0,0.42,0.14,0.56,0.28,0.42,Matches,0.10,0.18,20,11,55.0,1.55,2.82,,,,,,,,,,,,,,,,,,,Ligue 1,2024-2025
cd6a1a59,Al-Musrati,Al-Musrati,ly LBY,MF,Monaco,28,1996,10,3,386,4.3,1,1,2,1,0,0,0,0,0.23,0.23,0.47,0.23,0.47,Matches,0.09,0.33,11,3,27.3,0.70,2.56,,,,,,,,,,,,,,,,,,,Ligue 1,2024-2025
