PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
f417a1fa,Mohammad Abu Fani,Mohammad Abu Fani,il ISR,MF,Ferencváros,26,1998,26,14,"1,452",16.1,2,5,7,2,0,0,4,1,0.12,0.31,0.43,0.12,0.43,Matches,0.06,0.33,35,6,17.1,0.37,2.17,,,,,,,,,,,,,,,,,,,Nemzeti Bajnokság I,2024-2025
74510b8f,Elton Acolatse,Elton Acolatse,nl NED,MF,Diósgyőr,29,1995,28,20,"1,898",21.1,6,7,13,6,0,0,5,1,0.28,0.33,0.62,0.28,0.62,Matches,0.13,0.32,48,19,39.6,0.90,2.28,,,,,,,,,,,,,,,,,,,Nemzeti Bajnokság I,2024-2025
1b5344ef,Val Adedokun,Val Adedokun,ie IRL,DF,Diósgyőr,21,2003,3,1,143,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,0.63,,,,,,,,,,,,,,,,,,,Nemzeti Bajnokság I,2024-2025
e04ccd64,Áron Alaxai,Áron Alaxai,hu HUN,DF,Nyíregyháza,21,2003,30,28,"2,521",28.0,0,1,1,0,0,0,7,0,0.00,0.04,0.04,0.00,0.04,Matches,0.00,0.00,8,1,12.5,0.04,0.29,,,,,,,,,,,,,,,,,,,Nemzeti Bajnokság I,2024-2025
987f9bd3,Ladislav Almási,Ladislav Almási,sk SVK,FW,Zalaegerszeg,25,1999,11,3,403,4.5,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,17,5,29.4,1.12,3.80,,,,,,,,,,,,,,,,,,,Nemzeti Bajnokság I,2024-2025
c7723cf0,Paul Anton,Paul Anton,ro ROU,MF,Győr,33,1991,24,17,"1,539",17.1,1,3,4,0,1,1,4,0,0.06,0.18,0.23,0.00,0.18,Matches,0.00,0.00,22,4,18.2,0.23,1.29,,,,,,,,,,,,,,,,,,,Nemzeti Bajnokság I,2024-2025
5fd63a1d,Nemanja Antonov,Nemanja Antonov,rs SRB,"DF,MF",MTK Budapest,29,1995,14,10,815,9.1,0,1,1,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,Matches,0.00,0.00,6,1,16.7,0.11,0.66,,,,,,,,,,,,,,,,,,,Nemzeti Bajnokság I,2024-2025
548a2177,Slobodan Babić,Slobodan Babić,rs SRB,FW,Nyíregyháza,24,2000,19,7,696,7.7,3,0,3,3,0,0,1,0,0.39,0.00,0.39,0.39,0.39,Matches,0.21,0.38,14,8,57.1,1.03,1.81,,,,,,,,,,,,,,,,,,,Nemzeti Bajnokság I,2024-2025
81c27f1d,Bence Babos,Bence Babos,hu HUN,FW,Vidi,20,2004,3,0,62,0.7,1,0,1,1,0,0,0,0,1.45,0.00,1.45,1.45,1.45,Matches,1.00,1.00,1,1,100.0,1.45,1.45,,,,,,,,,,,,,,,,,,,Nemzeti Bajnokság I,2024-2025
4385a407,Levente Babós,Levente Babós,hu HUN,DF,Újpest,20,2004,2,1,75,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Nemzeti Bajnokság I,2024-2025
c87351d4,Ákos Baki,Ákos Baki,hu HUN,"DF,MF",Nyíregyháza,29,1994,10,9,812,9.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,11,2,18.2,0.22,1.22,,,,,,,,,,,,,,,,,,,Nemzeti Bajnokság I,2024-2025
939b924e,Sámuel Bakó,Sámuel Bakó,hu HUN,FW,MTK Budapest,18,2006,1,0,23,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,1,1,100.0,3.91,3.91,,,,,,,,,,,,,,,,,,,Nemzeti Bajnokság I,2024-2025
283e3664,Balázs Bakti,Balázs Bakti,hu HUN,MF,Zalaegerszeg,19,2004,28,13,"1,289",14.3,1,3,4,1,0,0,4,0,0.07,0.21,0.28,0.07,0.28,Matches,0.05,0.17,20,6,30.0,0.42,1.40,,,,,,,,,,,,,,,,,,,Nemzeti Bajnokság I,2024-2025
fd39b918,Jádi Balázs,Jádi Balázs,hu HUN,MF,MTK Budapest,17,2007,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Nemzeti Bajnokság I,2024-2025
6441c9c3,Balázs Balogh,Balázs Balogh,hu HUN,MF,Paks,34,1990,11,6,661,7.3,0,1,1,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14,Matches,0.00,,6,0,0.0,0.00,0.82,,,,,,,,,,,,,,,,,,,Nemzeti Bajnokság I,2024-2025
5dae995a,Dávid Banai,Dávid Banai,hu HUN,GK,Újpest,30,1994,4,2,279,3.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,1,50.0,4,2,5,1.61,0,279,0,1,1,,0,58.3,7,12,2,0,Nemzeti Bajnokság I,2024-2025
1e47de4c,Kevin Bánáti,Kevin Bánáti,hu HUN,MF,Győr,19,2005,19,12,977,10.9,1,1,2,1,0,0,2,0,0.09,0.09,0.18,0.09,0.18,Matches,0.05,0.20,20,5,25.0,0.46,1.84,,,,,,,,,,,,,,,,,,,Nemzeti Bajnokság I,2024-2025
8fc82ac0,Donát Bárány,Donát Bárány,hu HUN,FW,Debrecen,23,2000,28,24,"2,095",23.3,13,1,14,12,1,1,2,0,0.56,0.04,0.60,0.52,0.56,Matches,0.18,0.44,68,27,39.7,1.16,2.92,,,,,,,,,,,,,,,,,,,Nemzeti Bajnokság I,2024-2025
07747011,Nimród Baranyai,Nimród Baranyai,hu HUN,"MF,DF",Újpest,20,2003,4,3,213,2.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,2,1,50.0,0.42,0.85,,,,,,,,,,,,,,,,,,,Nemzeti Bajnokság I,2024-2025
3718a19e,Bence Bárdos,Bence Bárdos,hu HUN,DF,Diósgyőr,26,1998,19,17,"1,531",17.0,3,0,3,3,0,0,3,0,0.18,0.00,0.18,0.18,0.18,Matches,0.27,0.60,11,5,45.5,0.29,0.65,,,,,,,,,,,,,,,,,,,Nemzeti Bajnokság I,2024-2025
