PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
783abed9,Ali Aarabi,Ali Aarabi,,FW,Foolad,28,1996,24,18,"1,512",16.8,4,7,11,4,0,0,2,0,0.24,0.42,0.65,0.24,0.65,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
847a5a97,Amir Reza Mahmood Abadi,Amir Reza Mahmood Abadi,,FW,Chadormalu SC,29,1995,25,19,"1,711",19.0,2,3,5,1,1,1,1,0,0.11,0.16,0.26,0.05,0.21,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
a8e3069b,Hossein Abarghouei,Hossein Abarghouei,ir IRN,MF,Kheybar,28,1996,27,26,"2,287",25.4,0,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
c442178f,Aram Abbasi,Aram Abbasi,ir IRN,DF,Esteghlal Khuzestan,30,1994,30,30,"2,699",30.0,1,1,2,1,0,0,2,1,0.03,0.03,0.07,0.03,0.07,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
175e935b,Mohammad Abbasi,Mohammad Abbasi,,MF,Foolad,23,2000,9,5,406,4.5,0,1,1,0,0,0,1,0,0.00,0.22,0.22,0.00,0.22,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
175e935b,Mohammad Abbasi,Mohammad Abbasi,,MF,Foolad,23,2000,9,5,406,4.5,0,1,1,0,0,0,1,0,0.00,0.22,0.22,0.00,0.22,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
175e935b,Mohammad Abbasi,Mohammad Abbasi,,MF,Kheybar,23,2000,11,8,643,7.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
175e935b,Mohammad Abbasi,Mohammad Abbasi,,MF,Kheybar,23,2000,11,8,643,7.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
de1c7aac,Mohammadreza Abbasi,Mohammadreza Abbasi,ir IRN,MF,Nassaji Mazandaran,28,1996,13,12,952,10.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
26c6e4ce,Mohammad Abbaszadeh,Mohammad Abbaszadeh,ir IRN,FW,Nassaji Mazandaran,34,1990,3,0,33,0.4,1,0,1,1,0,0,0,0,2.73,0.00,2.73,2.73,2.73,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
26c6e4ce,Mohammad Abbaszadeh,Mohammad Abbaszadeh,ir IRN,FW,Nassaji Mazandaran,34,1990,3,0,33,0.4,1,0,1,1,0,0,0,0,2.73,0.00,2.73,2.73,2.73,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
26c6e4ce,Mohammad Abbaszadeh,Mohammad Abbaszadeh,ir IRN,FW,Zob Ahan,34,1990,2,1,53,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
26c6e4ce,Mohammad Abbaszadeh,Mohammad Abbaszadeh,ir IRN,FW,Zob Ahan,34,1990,2,1,53,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
b6dc7b01,Mehdi Abdi,Mehdi Abdi,ir IRN,FW,Malavan,25,1998,10,3,313,3.5,2,0,2,2,0,0,1,1,0.58,0.00,0.58,0.58,0.58,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
b6dc7b01,Mehdi Abdi,Mehdi Abdi,ir IRN,FW,Malavan,25,1998,10,3,313,3.5,2,0,2,2,0,0,1,1,0.58,0.00,0.58,0.58,0.58,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
b6dc7b01,Mehdi Abdi,Mehdi Abdi,ir IRN,FW,Tractor,25,1998,2,0,32,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
b6dc7b01,Mehdi Abdi,Mehdi Abdi,ir IRN,FW,Tractor,25,1998,2,0,32,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
53afdeda,Mehdi Abdi,Mehdi Abdi,,MF,Kheybar,35,1989,5,2,198,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
6cd1862c,Moamel Abdulridha,Moamel Abdulridha,iq IRQ,MF,Esteghlal Khuzestan,24,2000,11,5,457,5.1,0,1,1,0,0,0,0,0,0.00,0.20,0.20,0.00,0.20,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
4ab73263,Mohammad Abshak,Mohammad Abshak,ir IRN,MF,Esteghlal Khuzestan,37,1987,22,12,"1,034",11.5,0,0,0,0,0,0,4,2,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
9579400c,Amirreza Afsardeh,Amirreza Afsardeh,,DF,Malavan,,,18,9,973,10.8,1,0,1,1,0,0,3,1,0.09,0.00,0.09,0.09,0.09,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
c41a8ab7,Maysam Aghaei,Maysam Aghaei,ir IRN,MF,Aluminium Arak,34,1990,1,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
6bb36b6e,Saeid Aghaei,Saeid Aghaei,ir IRN,DF,Nassaji Mazandaran,29,1995,7,6,438,4.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
3bb8647e,Javad Aghaeipour,Javad Aghaeipour,ir IRN,FW,Sepahan,24,1999,21,9,969,10.8,3,0,3,3,0,0,2,0,0.28,0.00,0.28,0.28,0.28,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
952cae6e,Mohammad Aghajanpour,Mohammad Aghajanpour,ir IRN,MF,Kheybar,27,1997,11,10,909,10.1,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
3c1c4bc2,Aref Aghasi,Aref Aghasi,ir IRN,DF,Tractor,27,1997,30,30,"2,700",30.0,1,0,1,1,0,0,3,0,0.03,0.00,0.03,0.03,0.03,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
3bf2868d,Mehran Ahmadi,Mehran Ahmadi,,MF,Kheybar,26,1997,14,10,957,10.6,0,2,2,0,0,0,0,0,0.00,0.19,0.19,0.00,0.19,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
3bf2868d,Mehran Ahmadi,Mehran Ahmadi,,MF,Kheybar,26,1997,14,10,957,10.6,0,2,2,0,0,0,0,0,0.00,0.19,0.19,0.00,0.19,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
3bf2868d,Mehran Ahmadi,Mehran Ahmadi,,MF,Esteghlal,26,1997,10,5,523,5.8,0,1,1,0,0,0,0,0,0.00,0.17,0.17,0.00,0.17,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
3bf2868d,Mehran Ahmadi,Mehran Ahmadi,,MF,Esteghlal,26,1997,10,5,523,5.8,0,1,1,0,0,0,0,0,0.00,0.17,0.17,0.00,0.17,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
77afbd4b,Mohammadmahdi Ahmadi,Mohammadmahdi Ahmadi,ir IRN,DF,Chadormalu SC,23,2001,19,14,"1,249",13.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
4fa39aa7,Mostafa Ahmadi,Mostafa Ahmadi,ir IRN,MF,SorkhPooshan FC,36,1988,20,18,"1,394",15.5,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
3fb28c08,Farshad Ahmadzadeh,Farshad Ahmadzadeh,ir IRN,MF,Persepolis,31,1992,27,17,"1,693",18.8,1,2,3,1,0,0,5,0,0.05,0.11,0.16,0.05,0.16,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
8a2222cb,Mohammad Akbar Monadi,Mohammad Akbar Monadi,ir IRN,GK,SorkhPooshan FC,28,1996,8,8,720,8.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,2,25.0,8,8,16,2.00,6,720,1,1,0,0.0,0,,,,2,0,Persian Gulf Pro League,2024-2025
6a4b115c,Iman Akbari,Iman Akbari,,DF,Shams Azar,25,1999,15,10,"1,000",11.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
a851220e,Mohammad Akbari,Mohammad Akbari,,FW,Mes Rafsanjan,,,14,3,515,5.7,1,0,1,1,0,0,1,0,0.17,0.00,0.17,0.17,0.17,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
ecd722ed,Younes Akbarpour,Younes Akbarpour,ir IRN,DF,Malavan,22,2002,8,6,539,6.0,0,1,1,0,0,0,0,0,0.00,0.17,0.17,0.00,0.17,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
e61de074,Arash Akbarzadeh,Arash Akbarzadeh,,MF,Foolad,,,5,3,234,2.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
92071e9d,Teddy Akumu,Teddy Akumu,ke KEN,MF,Kheybar,31,1992,8,7,635,7.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
021779d1,Arman Akvan,Arman Akvan,,DF,Gol Gohar FC,31,1993,14,9,742,8.2,2,1,3,2,0,0,1,0,0.24,0.12,0.36,0.24,0.36,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
e373ea8e,Abolfazl Alaei,Abolfazl Alaei,,MF,SorkhPooshan FC,29,1994,3,2,158,1.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
588fdfcb,Mohsen Alafi,Mohsen Alafi,,FW,Malavan,,,2,1,81,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
9b0a39f5,Issa Alekasir,Issa Alekasir,ir IRN,FW,Persepolis,34,1990,24,11,942,10.5,3,1,4,3,0,0,2,0,0.29,0.10,0.38,0.29,0.38,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
c601721f,Jalaledin Alimohammadi,Jalaledin Alimohammadi,ir IRN,FW,Mes Rafsanjan,34,1990,25,24,"2,102",23.4,2,1,3,1,1,2,9,1,0.09,0.04,0.13,0.04,0.09,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
08e6e9ef,Mohammad Alinejad,Mohammad Alinejad,ir IRN,FW,Mes Rafsanjan,31,1993,27,24,"2,119",23.5,1,2,3,1,0,0,6,1,0.04,0.08,0.13,0.04,0.13,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
488ee64c,Ali Alipour,Ali Alipour,ir IRN,FW,Persepolis,28,1995,30,25,"2,261",25.1,12,2,14,11,1,2,2,0,0.48,0.08,0.56,0.44,0.52,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
2557fa45,Mohammad Alipour,Mohammad Alipour,,FW,Chadormalu SC,22,2002,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
b9fc24e1,Omid Alipour,Omid Alipour,,FW,Shams Azar,23,2000,2,1,87,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
d994048d,Omid Alishah,Omid Alishah,ir IRN,MF,Persepolis,32,1992,11,8,735,8.2,0,3,3,0,0,0,0,0,0.00,0.37,0.37,0.00,0.37,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
5eba03a3,Majid Aliyari,Majid Aliyari,ir IRN,FW,Zob Ahan,28,1996,27,25,"2,223",24.7,7,3,10,6,1,1,4,0,0.28,0.12,0.40,0.24,0.36,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
8bc87381,Alireza Alizadeh,Alireza Alizadeh,ir IRN,MF,Gol Gohar FC,31,1993,24,24,"2,026",22.5,1,0,1,1,0,0,8,0,0.04,0.00,0.04,0.04,0.04,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
2af0c477,Sadegh Alousabih,Sadegh Alousabih,,MF,Shams Azar,28,1996,24,24,"1,959",21.8,0,2,2,0,0,0,6,0,0.00,0.09,0.09,0.00,0.09,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
a2fbd08b,Kainã Amarante,Kainã Amarante,br BRA,FW,Esteghlal Khuzestan,27,1997,22,14,"1,283",14.3,2,3,5,2,0,0,4,0,0.14,0.21,0.35,0.14,0.35,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
0e8a7f63,Mohammad Amin Kazemian,Mohammad Amin Kazemian,,MF,Aluminium Arak,28,1996,28,27,"2,439",27.1,9,2,11,6,3,3,3,0,0.33,0.07,0.41,0.22,0.30,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
bcec031d,Mohammad Amin Rezaei,Mohammad Amin Rezaei,ir IRN,GK,Shams Azar,27,1996,11,11,933,10.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,3,27.3,11,11,14,1.35,5,933,0,0,0,,0,,,,4,2,Persian Gulf Pro League,2024-2025
661b2c08,Farid Amiri,Farid Amiri,ir IRN,FW,Kheybar,28,1995,19,12,"1,143",12.7,1,0,1,1,0,0,9,1,0.08,0.00,0.08,0.08,0.08,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
7b6fd183,Omid Amiri,Omid Amiri,,GK,Shams Azar,,,10,6,655,7.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,2,33.3,8,6,14,2.11,5,597,2,2,0,0.0,0,,,,0,1,Persian Gulf Pro League,2024-2025
750cc65b,Vahid Amiri,Vahid Amiri,ir IRN,"FW,MF",Persepolis,36,1988,18,18,"1,507",16.7,3,2,5,3,0,0,0,0,0.18,0.12,0.30,0.18,0.30,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
92b73421,Ayoub El Amloud,Ayoub El Amloud,ma MAR,DF,Persepolis,30,1994,18,11,"1,091",12.1,1,1,2,1,0,0,3,1,0.08,0.08,0.16,0.08,0.16,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
1e2d9909,Sasan Ansari,Sasan Ansari,ir IRN,FW,Foolad,33,1991,28,23,"1,962",21.8,4,1,5,3,1,1,6,0,0.18,0.05,0.23,0.14,0.18,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
6782f669,Adel Arghand,Adel Arghand,,FW,Esteghlal Khuzestan,23,2001,8,5,381,4.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
0d6a0ce6,Adnan As'adi,Adnan As'adi,,MF,SorkhPooshan FC,21,2003,5,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
6b81e7c5,Sina Asad Beigi,Sina Asad Beigi,ir IRN,MF,Persepolis,27,1997,2,2,114,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
6b81e7c5,Sina Asad Beigi,Sina Asad Beigi,ir IRN,MF,Persepolis,27,1997,2,2,114,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
6b81e7c5,Sina Asad Beigi,Sina Asad Beigi,ir IRN,MF,Foolad,27,1997,26,25,"2,246",25.0,1,3,4,1,0,0,2,0,0.04,0.12,0.16,0.04,0.16,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
6b81e7c5,Sina Asad Beigi,Sina Asad Beigi,ir IRN,MF,Foolad,27,1997,26,25,"2,246",25.0,1,3,4,1,0,0,2,0,0.04,0.12,0.16,0.04,0.16,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
758eb443,Reza Asadi,Reza Asadi,ir IRN,MF,Sepahan,28,1996,22,9,876,9.7,3,2,5,2,1,1,2,0,0.31,0.21,0.51,0.21,0.41,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
fb333b04,Mohammadreza Asgari,Mohammadreza Asgari,ir IRN,DF,Zob Ahan,22,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
0f443134,Ali Asghar Ashouri,Ali Asghar Ashouri,ir IRN,FW,Gol Gohar FC,35,1988,25,17,"1,423",15.8,0,4,4,0,0,0,3,0,0.00,0.25,0.25,0.00,0.25,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
6b90996f,Sajjad Ashouri,Sajjad Ashouri,ir IRN,FW,Tractor,32,1992,19,0,246,2.7,2,0,2,2,0,0,2,0,0.73,0.00,0.73,0.73,0.73,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
3381c12f,Mohammad Askari,Mohammad Askari,ir IRN,MF,Foolad,18,2006,23,4,607,6.7,1,0,1,1,0,0,2,1,0.15,0.00,0.15,0.15,0.15,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
ccbe6ea6,Mohammad Azadeh,Mohammad Azadeh,ir IRN,MF,Zob Ahan,24,1999,1,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
ccbe6ea6,Mohammad Azadeh,Mohammad Azadeh,ir IRN,MF,Zob Ahan,24,1999,1,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
ccbe6ea6,Mohammad Azadeh,Mohammad Azadeh,ir IRN,MF,Shams Azar,24,1999,25,20,"1,721",19.1,1,0,1,1,0,0,7,0,0.05,0.00,0.05,0.05,0.05,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
ccbe6ea6,Mohammad Azadeh,Mohammad Azadeh,ir IRN,MF,Shams Azar,24,1999,25,20,"1,721",19.1,1,0,1,1,0,0,7,0,0.05,0.00,0.05,0.05,0.05,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Persian Gulf Pro League,2024-2025
