PlayerID,Name,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,League,Season
6ddb8f6e,Kyle McAdam,eng ENG,"MF,DF",19,20,20,"1,779",19.8,2,3,5,2,0,0,3,0,0.10,0.15,0.25,0.10,0.25,Matches,Premier League 2,2024-2025
7c320ea5,Jack Perkins,eng ENG,MF,20,20,20,"1,755",19.5,1,1,2,1,0,0,4,0,0.05,0.05,0.10,0.05,0.10,Matches,Premier League 2,2024-2025
7e118f84,Jimmy Sinclair,eng ENG,"MF,DF",17,20,18,"1,567",17.4,5,2,7,5,0,0,0,0,0.29,0.11,0.40,0.29,0.40,Matches,Premier League 2,2024-2025
439e348d,Jack Nadin,eng ENG,"MF,FW",19,20,17,"1,405",15.6,4,5,9,4,0,0,1,0,0.26,0.32,0.58,0.26,0.58,Matches,Premier League 2,2024-2025
c103921a,Zach Abbott,eng ENG,DF,18,16,16,"1,440",16.0,2,0,2,2,0,0,1,0,0.12,0.00,0.12,0.12,0.12,Matches,Premier League 2,2024-2025
b1101b63,Ben Hammond,wls WAL,"MF,DF",20,19,16,"1,436",16.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Premier League 2,2024-2025
8129b437,Josh Powell,eng ENG,"DF,MF",19,15,15,"1,227",13.6,1,2,3,1,0,0,1,0,0.07,0.15,0.22,0.07,0.22,Matches,Premier League 2,2024-2025
c1653237,Jack Thompson,eng ENG,DF,19,18,13,"1,228",13.6,0,1,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,Matches,Premier League 2,2024-2025
2a867a7c,George Murray-Jones,eng ENG,GK,19,13,13,"1,106",12.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,Premier League 2,2024-2025
f4c17979,Joe Gardner,eng ENG,"FW,MF",19,12,11,893,9.9,7,1,8,7,0,0,2,0,0.71,0.10,0.81,0.71,0.81,Matches,Premier League 2,2024-2025
328ad94f,Fin Back,eng ENG,"DF,MF",21,10,10,856,9.5,1,2,3,1,0,0,5,2,0.11,0.21,0.32,0.11,0.32,Matches,Premier League 2,2024-2025
4bd3a00a,Ben Perry,eng ENG,MF,19,10,10,839,9.3,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,Premier League 2,2024-2025
e0767642,Joel Ndala,eng ENG,"FW,MF",18,8,8,599,6.7,1,1,2,1,0,0,0,0,0.15,0.15,0.30,0.15,0.30,Matches,Premier League 2,2024-2025
67d3d023,Kristian Fletcher,us USA,FW,18,10,5,542,6.0,3,0,3,3,0,0,1,0,0.50,0.00,0.50,0.50,0.50,Matches,Premier League 2,2024-2025
854521ca,Aaron Bott,eng ENG,GK,19,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Premier League 2,2024-2025
adf7ca78,Zyan Blake,eng ENG,FW,16,4,4,294,3.3,2,2,4,2,0,0,0,0,0.61,0.61,1.22,0.61,1.22,Matches,Premier League 2,2024-2025
696ee5de,Adam Berry,eng ENG,"FW,MF",18,10,3,310,3.4,2,0,2,2,0,0,1,0,0.58,0.00,0.58,0.58,0.58,Matches,Premier League 2,2024-2025
6e9136ec,Justin Hanks,wls WAL,DF,19,5,3,306,3.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Premier League 2,2024-2025
8d1baf38,Keehan Willows,eng ENG,GK,18,3,2,244,2.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Premier League 2,2024-2025
d5094280,Dale Taylor,nir NIR,FW,20,2,2,180,2.0,1,1,2,1,0,0,1,0,0.50,0.50,1.00,0.50,1.00,Matches,Premier League 2,2024-2025
49628abd,Aaron Donnelly,nir NIR,DF,21,2,2,172,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Premier League 2,2024-2025
0a4f579a,Eric da Silva Moreira,de GER,"MF,DF",18,2,2,158,1.8,0,1,1,0,0,0,1,0,0.00,0.57,0.57,0.00,0.57,Matches,Premier League 2,2024-2025
9528284d,Djamna Frank,,MF,,9,1,279,3.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Premier League 2,2024-2025
17448ce1,Jamie Newton,sct SCO,MF,19,7,1,202,2.2,0,1,1,0,0,0,1,0,0.00,0.45,0.45,0.00,0.45,Matches,Premier League 2,2024-2025
997f9101,Danny Anijsko,eng ENG,MF,18,5,1,102,1.1,0,1,1,0,0,0,0,0,0.00,0.88,0.88,0.00,0.88,Matches,Premier League 2,2024-2025
b01dd795,Jayden Powell,,DF,,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Premier League 2,2024-2025
