PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
d8e7e96b,Latifah Abdu,Latifah Abdu,ca CAN,MF,Guingamp,22,2001,9,9,788,8.8,0,2,2,0,0,0,2,0,0.00,0.23,0.23,0.00,0.23,Matches,0.00,0.00,10,6,60.0,0.69,1.14,,,,,,,,,,,,,,,,,,,Première Ligue,2024-2025
15fb617b,Kayla Adamek,Kayla Adamek,pl POL,"DF,FW",Reims,29,1995,9,6,558,6.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,5,2,40.0,0.32,0.81,,,,,,,,,,,,,,,,,,,Première Ligue,2024-2025
e815ecf5,Ikram Adjabi,Ikram Adjabi,dz ALG,"FW,MF",Le Havre,26,1998,18,9,701,7.8,1,0,1,1,0,0,3,0,0.13,0.00,0.13,0.13,0.13,Matches,0.08,0.33,13,3,23.1,0.39,1.67,,,,,,,,,,,,,,,,,,,Première Ligue,2024-2025
97f4c5d5,Célia Aggoune,Célia Aggoune,fr FRA,FW,Guingamp,17,2007,8,0,145,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Première Ligue,2024-2025
49d82495,Nadjma Ali Nadjim,Nadjma Ali Nadjim,fr FRA,FW,Saint-Étienne,29,1994,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,6.00,,,,,,,,,,,,,,,,,,,Première Ligue,2024-2025
1a26a657,Sabrina Amessis,Sabrina Amessis,fr FRA,FW,Paris FC,17,2006,1,1,89,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,1.01,,,,,,,,,,,,,,,,,,,Première Ligue,2024-2025
107836e7,Lou Autin,Lou Autin,fr FRA,DF,Guingamp,18,2006,12,6,651,7.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Première Ligue,2024-2025
434b7df2,Inés Avenant,Inés Avenant,fr FRA,MF,Guingamp,18,2006,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Première Ligue,2024-2025
856d4eab,Thaïs Aznar,Thaïs Aznar,fr FRA,DF,Saint-Étienne,18,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Première Ligue,2024-2025
10c104d5,Lorena Azzaro,Lorena Azzaro,fr FRA,"FW,MF",Strasbourg,23,2000,22,17,"1,526",17.0,6,2,8,5,1,1,1,0,0.35,0.12,0.47,0.29,0.41,Matches,0.19,0.36,26,14,53.8,0.83,1.53,,,,,,,,,,,,,,,,,,,Première Ligue,2024-2025
27e7b28a,Marème Babou,Marème Babou,sn SEN,"DF,MF",Strasbourg,21,2003,14,3,441,4.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,2,1,50.0,0.20,0.41,,,,,,,,,,,,,,,,,,,Première Ligue,2024-2025
5809ef17,Selma Bacha,Selma Bacha,fr FRA,DF,Lyon,23,2000,10,4,414,4.6,0,3,3,0,0,0,0,0,0.00,0.65,0.65,0.00,0.65,Matches,0.00,0.00,5,1,20.0,0.22,1.09,,,,,,,,,,,,,,,,,,,Première Ligue,2024-2025
548c8e66,Jenna Bachene,Jenna Bachene,fr FRA,DF,Paris FC,17,2006,1,1,75,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Première Ligue,2024-2025
4ad1b45a,Kentissia Bacoul-Juillard,Kentissia Bacoul-Juillard,fr FRA,FW,Montpellier,16,2007,2,0,27,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Première Ligue,2024-2025
e8740f89,Evelyn Badu,Evelyn Badu,gh GHA,MF,Fleury,21,2002,7,0,71,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,5,1,20.0,1.27,6.34,,,,,,,,,,,,,,,,,,,Première Ligue,2024-2025
150c67ca,Fatoumata Baldé,Fatoumata Baldé,gn GUI,MF,Strasbourg,31,1993,4,0,27,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Première Ligue,2024-2025
5dc9e956,Faustine Bataillard,Faustine Bataillard,fr FRA,"MF,DF",Saint-Étienne,19,2004,20,16,"1,510",16.8,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,15,3,20.0,0.18,0.89,,,,,,,,,,,,,,,,,,,Première Ligue,2024-2025
ab7e7c1a,Amandine Bèche,Amandine Bèche,fr FRA,"DF,MF",Strasbourg,22,2001,17,10,931,10.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,2,0,0.0,0.00,0.19,,,,,,,,,,,,,,,,,,,Première Ligue,2024-2025
a4bc9833,Vicki Bècho,Vicki Bècho,fr FRA,"MF,FW",Lyon,20,2003,14,8,805,8.9,2,4,6,2,0,1,0,0,0.22,0.45,0.67,0.22,0.67,Matches,0.08,0.29,24,7,29.2,0.78,2.68,,,,,,,,,,,,,,,,,,,Première Ligue,2024-2025
f7e93e12,Sofia Bekhaled,Sofia Bekhaled,fr FRA,FW,Lyon,17,2006,1,1,78,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,2,0,0.0,0.00,2.31,,,,,,,,,,,,,,,,,,,Première Ligue,2024-2025
bb0d7d53,Feerine Belhadj,Feerine Belhadj,fr FRA,GK,Lyon,19,2005,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,1,,1,0,0,0.00,0,4,0,0,0,,0,,0,0,0,0,Première Ligue,2024-2025
18b4df22,Morgane Belkhiter,Morgane Belkhiter,dz ALG,"DF,MF",Saint-Étienne,28,1995,21,16,"1,429",15.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,2,1,50.0,0.06,0.13,,,,,,,,,,,,,,,,,,,Première Ligue,2024-2025
2307a176,Ines Belmiliani,Ines Belmiliani,fr FRA,MF,Montpellier,18,2005,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Première Ligue,2024-2025
e67926b0,Nermyne Ben Khaled,Nermyne Ben Khaled,fr FRA,MF,Fleury,22,2002,2,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Première Ligue,2024-2025
0f174667,Baby-Jordy Benera,Baby-Jordy Benera,fr FRA,MF,Paris S-G,20,2004,1,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Première Ligue,2024-2025
82c4f339,Laura Benkarth,Laura Benkarth,de GER,GK,Lyon,31,1992,4,4,356,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,3,75.0,4,4,1,0.25,0,356,0,0,0,,0,85.7,6,7,0,4,Première Ligue,2024-2025
1817077f,Inès Benyahia,Inès Benyahia,fr FRA,MF,Lyon,21,2003,3,1,117,1.3,0,1,1,0,0,0,0,0,0.00,0.77,0.77,0.00,0.77,Matches,0.00,0.00,4,1,25.0,0.77,3.08,,,,,,,,,,,,,,,,,,,Première Ligue,2024-2025
2c50e10b,Sabitra Bhandari,Sabitra Bhandari,np NEP,FW,Guingamp,28,1996,19,12,"1,116",12.4,6,0,6,6,0,0,0,0,0.48,0.00,0.48,0.48,0.48,Matches,0.29,0.67,21,9,42.9,0.73,1.69,,,,,,,,,,,,,,,,,,,Première Ligue,2024-2025
505c0d26,Maureen Bigot,Maureen Bigot,fr FRA,"MF,DF",Guingamp,28,1996,20,14,"1,109",12.3,1,0,1,1,0,0,2,0,0.08,0.00,0.08,0.08,0.08,Matches,0.11,0.14,9,7,77.8,0.57,0.73,,,,,,,,,,,,,,,,,,,Première Ligue,2024-2025
b83bc2be,Aude Bizet,Aude Bizet,fr FRA,DF,Fleury,18,2006,14,14,"1,117",12.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,5,1,20.0,0.08,0.40,,,,,,,,,,,,,,,,,,,Première Ligue,2024-2025
52e32ada,Cyrielle Blanc,Cyrielle Blanc,fr FRA,MF,Montpellier,21,2003,10,8,630,7.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,6,4,66.7,0.57,0.86,,,,,,,,,,,,,,,,,,,Première Ligue,2024-2025
549915f8,Lou Bogaert,Lou Bogaert,fr FRA,DF,Paris FC,20,2004,20,19,"1,628",18.1,0,3,3,0,0,0,3,0,0.00,0.17,0.17,0.00,0.17,Matches,0.00,0.00,8,1,12.5,0.06,0.44,,,,,,,,,,,,,,,,,,,Première Ligue,2024-2025
efeb5d24,Fiona Bogi,Fiona Bogi,fr FRA,DF,Saint-Étienne,24,2000,21,20,"1,708",19.0,2,0,2,2,0,0,3,0,0.11,0.00,0.11,0.11,0.11,Matches,0.29,0.67,7,3,42.9,0.16,0.37,,,,,,,,,,,,,,,,,,,Première Ligue,2024-2025
269a154f,Célestine Boisard,Célestine Boisard,fr FRA,"DF,MF",Le Havre,18,2005,6,5,400,4.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,0.23,,,,,,,,,,,,,,,,,,,Première Ligue,2024-2025
2e1064ea,Elise Bonet,Elise Bonet,fr FRA,DF,Strasbourg,26,1998,20,18,"1,626",18.1,0,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,8,1,12.5,0.06,0.44,,,,,,,,,,,,,,,,,,,Première Ligue,2024-2025
f9a07eee,Maïté Boucly,Maïté Boucly,fr FRA,"MF,DF",Reims,22,2001,20,19,"1,526",17.0,2,3,5,2,0,0,4,0,0.12,0.18,0.29,0.12,0.29,Matches,0.11,0.33,19,6,31.6,0.35,1.12,,,,,,,,,,,,,,,,,,,Première Ligue,2024-2025
439d3150,Lana Boudine Faerber,Lana Boudine Faerber,fr FRA,DF,Paris FC,16,2007,2,0,55,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Première Ligue,2024-2025
a4a3ffb6,Elsa Boullonnois,Elsa Boullonnois,fr FRA,DF,Paris FC,17,2007,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Première Ligue,2024-2025
9c066c2b,Mathilde Bourdieu,Mathilde Bourdieu,fr FRA,"FW,MF",Paris FC,25,1999,17,5,675,7.5,6,4,10,6,0,0,0,0,0.80,0.53,1.33,0.80,1.33,Matches,0.14,0.26,42,23,54.8,3.07,5.60,,,,,,,,,,,,,,,,,,,Première Ligue,2024-2025
