PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,League,Season
088ae0d1,Rodrigo Abascal,Rodrigo Abascal,uy URU,DF,Boavista,30,1994,29,29,"2,599",28.9,0,0,0,0,0,0,8,1,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,19,5,26.3,0.17,0.66,Primeira Liga,2024-2025
33f40a36,Nelson Abbey,Nelson Abbey,eng ENG,DF,Rio Ave,20,2003,8,7,635,7.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,2,0,0.0,0.00,0.28,Primeira Liga,2024-2025
baa6cdf7,Bilal Abdelrahman Zeeni,Bilal Abdelrahman Zeeni,eg EGY,FW,Estrela,21,2003,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,1,1,100.0,11.25,11.25,Primeira Liga,2024-2025
0921a46c,Giorgi Aburjania,Giorgi Aburjania,ge GEO,MF,AVS Futebol,29,1995,9,3,306,3.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,1,1,100.0,0.29,0.29,Primeira Liga,2024-2025
81053aea,Adriano,Adriano,br BRA,MF,Santa Clara,24,1999,32,31,"2,630",29.2,0,2,2,0,0,0,8,1,0.00,0.07,0.07,0.00,0.07,Matches,0.00,0.00,13,4,30.8,0.14,0.44,Primeira Liga,2024-2025
8fd083bb,Lucas Áfrico,Lucas Áfrico,br BRA,DF,Farense,29,1995,21,20,"1,757",19.5,1,0,1,1,0,0,6,0,0.05,0.00,0.05,0.05,0.05,Matches,0.06,0.25,16,4,25.0,0.20,0.82,Primeira Liga,2024-2025
a130741a,Salvador Agra,Salvador Agra,pt POR,"MF,DF",Boavista,32,1991,32,31,"2,731",30.3,1,2,3,1,0,0,9,1,0.03,0.07,0.10,0.03,0.10,Matches,0.03,0.14,33,7,21.2,0.23,1.09,Primeira Liga,2024-2025
938fa024,Brandon Aguilera,Brandon Aguilera,cr CRC,MF,Rio Ave,21,2003,25,15,"1,378",15.3,3,1,4,3,0,0,4,0,0.20,0.07,0.26,0.20,0.26,Matches,0.13,0.43,24,7,29.2,0.46,1.57,Primeira Liga,2024-2025
15e09605,Jorge Aguirre,Jorge Aguirre,cu CUB,FW,Gil Vicente FC,24,2000,31,16,"1,354",15.0,3,2,5,3,0,0,2,1,0.20,0.13,0.33,0.20,0.33,Matches,0.11,0.43,28,7,25.0,0.47,1.86,Primeira Liga,2024-2025
733aab44,Babatunde Akinsola,Babatunde Akinsola,ng NGA,MF,AVS Futebol,21,2003,30,11,"1,170",13.0,2,1,3,2,0,0,1,0,0.15,0.08,0.23,0.15,0.23,Matches,0.07,0.33,27,6,22.2,0.46,2.08,Primeira Liga,2024-2025
f28659fb,Kerem Aktürkoğlu,Kerem Aktürkoğlu,tr TUR,"FW,MF",Benfica,25,1998,30,25,"2,003",22.3,11,9,20,11,0,0,3,0,0.49,0.40,0.90,0.49,0.90,Matches,0.17,0.38,64,29,45.3,1.30,2.88,Primeira Liga,2024-2025
963e39b7,Léo Alaba,Léo Alaba,br BRA,DF,AVS Futebol,25,1999,4,4,334,3.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,3,0,0.0,0.00,0.81,Primeira Liga,2024-2025
b35de685,Alan,Alan,br BRA,MF,Moreirense,24,2000,31,31,"2,513",27.9,7,6,13,2,5,5,6,0,0.25,0.21,0.47,0.07,0.29,Matches,0.05,0.10,43,20,46.5,0.72,1.54,Primeira Liga,2024-2025
198034b2,Gonçalo Almeida,Gonçalo Almeida,pt POR,"DF,MF",Boavista,21,2003,19,9,814,9.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,8,2,25.0,0.22,0.88,Primeira Liga,2024-2025
00a2c297,Pedro Álvaro,Pedro Álvaro,pt POR,DF,Estoril,24,2000,31,31,"2,623",29.1,1,1,2,1,0,0,9,0,0.03,0.03,0.07,0.03,0.07,Matches,0.10,0.33,10,3,30.0,0.10,0.34,Primeira Liga,2024-2025
8dbc3f20,Pedro Amaral,Pedro Amaral,pt POR,"DF,MF",Estoril,26,1997,29,27,"2,395",26.6,0,2,2,0,0,0,4,0,0.00,0.08,0.08,0.00,0.08,Matches,0.00,0.00,9,3,33.3,0.11,0.34,Primeira Liga,2024-2025
2ee5b0c9,Zeki Amdouni,Zeki Amdouni,ch SUI,"MF,FW",Benfica,23,2000,24,9,854,9.5,7,2,9,7,0,0,1,0,0.74,0.21,0.95,0.74,0.95,Matches,0.17,0.44,42,16,38.1,1.69,4.43,Primeira Liga,2024-2025
801f3d1d,Artur Jorge Marques Amorim,Artur Jorge Marques Amorim,pt POR,DF,Farense,29,1994,19,15,"1,281",14.2,0,1,1,0,0,0,9,0,0.00,0.07,0.07,0.00,0.07,Matches,0.00,0.00,8,1,12.5,0.07,0.56,Primeira Liga,2024-2025
40406a00,Andrew,Andrew,br BRA,GK,Gil Vicente FC,23,2001,33,33,"2,970",33.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,Primeira Liga,2024-2025
6011e63a,Jeremy Antonisse,Jeremy Antonisse,cw CUW,"MF,FW",Moreirense,22,2002,29,7,839,9.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,19,5,26.3,0.54,2.04,Primeira Liga,2024-2025
eafa6953,Arvin Appiah,Arvin Appiah,eng ENG,"FW,DF",Nacional,23,2001,26,16,"1,384",15.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,15,4,26.7,0.26,0.98,Primeira Liga,2024-2025
4d3bdda7,Óscar Aranda,Óscar Aranda,es ESP,"MF,FW",Famalicão,22,2002,33,33,"2,599",28.9,9,3,12,5,4,5,5,0,0.31,0.10,0.42,0.17,0.28,Matches,0.07,0.22,70,23,32.9,0.80,2.42,Primeira Liga,2024-2025
100104d1,Brian Araújo,Brian Araújo,fr FRA,GK,Gil Vicente FC,24,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,Primeira Liga,2024-2025
353eb529,Henrique Araújo,Henrique Araújo,pt POR,FW,Arouca,22,2002,24,14,"1,107",12.3,6,2,8,3,3,3,3,0,0.49,0.16,0.65,0.24,0.41,Matches,0.12,0.25,26,12,46.2,0.98,2.11,Primeira Liga,2024-2025
f9ab3f4a,Maximiliano Araújo,Maximiliano Araújo,uy URU,"MF,DF",Sporting CP,24,2000,28,19,"1,771",19.7,3,4,7,3,0,0,7,1,0.15,0.20,0.36,0.15,0.36,Matches,0.18,0.43,17,7,41.2,0.36,0.86,Primeira Liga,2024-2025
0fa11d7d,Tomás Araújo,Tomás Araújo,pt POR,DF,Benfica,22,2002,28,28,"2,311",25.7,1,2,3,1,0,0,1,0,0.04,0.08,0.12,0.04,0.12,Matches,0.17,0.20,6,5,83.3,0.19,0.23,Primeira Liga,2024-2025
c692cef2,Telmo Arcanjo,Telmo Arcanjo,cv CPV,"MF,FW",Vitória Guimarães,23,2001,28,17,"1,320",14.7,5,2,7,5,0,0,6,0,0.34,0.14,0.48,0.34,0.48,Matches,0.17,0.45,30,11,36.7,0.75,2.05,Primeira Liga,2024-2025
37849392,Gboly Ariyibi,Gboly Ariyibi,us USA,"MF,FW",Boavista,29,1995,11,2,343,3.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,3,1,33.3,0.26,0.79,Primeira Liga,2024-2025
5bdfd0c5,Henrique Arreiol,Henrique Arreiol,pt POR,MF,Sporting CP,19,2005,3,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,3.75,Primeira Liga,2024-2025
1394bf42,Bright Arrey-Mbi,Bright Arrey-Mbi,de GER,DF,Braga,21,2003,15,13,"1,135",12.6,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,1,1,100.0,0.08,0.08,Primeira Liga,2024-2025
fdf42820,Afonso Assis,Afonso Assis,pt POR,MF,Moreirense,18,2006,1,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,Primeira Liga,2024-2025
065c8786,Gustavo Assuncao,Gustavo Assuncao,pt POR,MF,AVS Futebol,24,2000,23,19,"1,577",17.5,2,0,2,0,2,2,13,1,0.11,0.00,0.11,0.00,0.00,Matches,0.00,0.00,14,5,35.7,0.29,0.80,Primeira Liga,2024-2025
6f22e535,Otavio Ataide,Otavio Ataide,br BRA,DF,Porto,22,2002,20,18,"1,632",18.1,2,0,2,2,0,0,6,0,0.11,0.00,0.11,0.11,0.11,Matches,0.12,0.40,17,5,29.4,0.28,0.94,Primeira Liga,2024-2025
05a275e0,João Aurélio,João Aurélio,pt POR,"DF,MF",Nacional,35,1988,14,4,409,4.5,1,1,2,1,0,0,1,0,0.22,0.22,0.44,0.22,0.44,Matches,0.25,1.00,4,1,25.0,0.22,0.88,Primeira Liga,2024-2025
f0677ed7,Fredrik Aursnes,Fredrik Aursnes,no NOR,MF,Benfica,28,1995,29,28,"2,350",26.1,3,5,8,3,0,0,1,0,0.11,0.19,0.31,0.11,0.31,Matches,0.11,0.27,28,11,39.3,0.42,1.07,Primeira Liga,2024-2025
8b2cba78,Daniel Azevedo,Daniel Azevedo,pt POR,GK,Casa Pia,26,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,Primeira Liga,2024-2025
bda3b9da,Ibrahima Ba,Ibrahima Ba,sn SEN,DF,Famalicão,19,2005,2,1,103,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,0.87,Primeira Liga,2024-2025
b2e208ba,Felix Bacher,Felix Bacher,at AUT,DF,Estoril,23,2000,23,23,"2,070",23.0,2,0,2,2,0,0,6,0,0.09,0.00,0.09,0.09,0.09,Matches,0.50,1.00,4,2,50.0,0.09,0.17,Primeira Liga,2024-2025
a98f3cbf,Miguel Baeza,Miguel Baeza,es ESP,"MF,FW",Nacional,24,2000,5,2,203,2.3,1,0,1,1,0,0,0,0,0.44,0.00,0.44,0.44,0.44,Matches,0.50,1.00,2,1,50.0,0.44,0.89,Primeira Liga,2024-2025
78f21137,Alexander Bah,Alexander Bah,dk DEN,DF,Benfica,26,1997,18,17,"1,412",15.7,0,1,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,Matches,0.00,0.00,11,1,9.1,0.06,0.70,Primeira Liga,2024-2025
75f3e793,Ney Bahia,Ney Bahia,br BRA,FW,Santa Clara,20,2004,2,0,62,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,1.45,Primeira Liga,2024-2025
3eff5888,Adrian Bajrami,Adrian Bajrami,ch SUI,DF,Benfica,22,2002,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,Primeira Liga,2024-2025
11239a35,Theofanis Bakoulas,Theofanis Bakoulas,gr GRE,MF,Rio Ave,19,2005,10,5,390,4.3,1,0,1,1,0,0,3,0,0.23,0.00,0.23,0.23,0.23,Matches,0.14,1.00,7,1,14.3,0.23,1.62,Primeira Liga,2024-2025
4a021afe,Elves Baldé,Elves Baldé,gw GNB,"MF,FW",Farense,24,1999,20,12,"1,045",11.6,1,2,3,1,0,0,1,1,0.09,0.17,0.26,0.09,0.26,Matches,0.04,0.14,24,7,29.2,0.60,2.07,Primeira Liga,2024-2025
