PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
2f73b70a,Dzhamalutdin Abdulkadyrov,Dzhamalutdin Abdulkadyrov,ru RUS,DF,CSKA Moscow,19,2005,3,2,209,2.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,3,0,0.0,0.00,1.29,,,,,,,,,,,,,,,,,,,Russian Premier League,2024-2025
71311fdb,Saminu Abdullahi,Saminu Abdullahi,ng NGA,MF,FC Khimki,23,2001,7,4,356,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,3,1,33.3,0.25,0.76,,,,,,,,,,,,,,,,,,,Russian Premier League,2024-2025
8c6239f2,Myenty Abena,Myenty Abena,sr SUR,DF,Spartak Moscow,29,1994,7,4,383,4.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Russian Premier League,2024-2025
dd95be96,Arsen Adamov,Arsen Adamov,ru RUS,DF,Akhmat Grozny,24,1999,30,29,"2,563",28.5,1,1,2,1,0,0,0,0,0.04,0.04,0.07,0.04,0.07,Matches,0.04,0.20,25,5,20.0,0.18,0.88,,,,,,,,,,,,,,,,,,,Russian Premier League,2024-2025
dbc74497,Denis Adamov,Denis Adamov,ru RUS,GK,Zenit,26,1998,4,3,327,3.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,1,33.3,4,3,5,1.38,1,327,0,0,0,,0,64.3,9,14,0,2,Russian Premier League,2024-2025
50c75a7b,Gamid Agalarov,Gamid Agalarov,ru RUS,FW,Akhmat Grozny,24,2000,3,3,229,2.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,3,1,33.3,0.39,1.18,,,,,,,,,,,,,,,,,,,Russian Premier League,2024-2025
50c75a7b,Gamid Agalarov,Gamid Agalarov,ru RUS,FW,Akhmat Grozny,24,2000,3,3,229,2.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.14,0.29,37,17,45.9,0.85,1.84,,,,,,,,,,,,,,,,,,,Russian Premier League,2024-2025
50c75a7b,Gamid Agalarov,Gamid Agalarov,ru RUS,FW,D'mo Makhachkala,24,2000,25,23,"1,810",20.1,7,4,11,5,2,3,2,0,0.35,0.20,0.55,0.25,0.45,Matches,0.00,0.00,3,1,33.3,0.39,1.18,,,,,,,,,,,,,,,,,,,Russian Premier League,2024-2025
50c75a7b,Gamid Agalarov,Gamid Agalarov,ru RUS,FW,D'mo Makhachkala,24,2000,25,23,"1,810",20.1,7,4,11,5,2,3,2,0,0.35,0.20,0.55,0.25,0.45,Matches,0.14,0.29,37,17,45.9,0.85,1.84,,,,,,,,,,,,,,,,,,,Russian Premier League,2024-2025
c4185b88,Ilya Agapov,Ilya Agapov,ru RUS,"DF,MF",Nizhny Novgorod,23,2001,6,6,428,4.8,0,1,1,0,0,0,2,0,0.00,0.21,0.21,0.00,0.21,Matches,0.00,,1,0,0.0,0.00,0.21,,,,,,,,,,,,,,,,,,,Russian Premier League,2024-2025
