PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
22cccb9f,Malek Al Abadalmanam,Malek Al Abadalmanam,sa KSA,FW,Al-Fayha,26,1998,12,1,209,2.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,4,1,25.0,0.43,1.72,,,,,,,,,,,,,,,,,,,Saudi Pro League,2024-2025
ac46f44a,Saleh Al Abbas,Saleh Al Abbas,sa KSA,FW,Al Okhdood SC,30,1993,26,5,627,7.0,3,0,3,3,0,0,3,0,0.43,0.00,0.43,0.43,0.43,Matches,0.17,0.43,18,7,38.9,1.00,2.58,,,,,,,,,,,,,,,,,,,Saudi Pro League,2024-2025
d86952e5,Faris Abdi,Faris Abdi,sa KSA,"DF,MF",Al-Fayha,25,1999,31,28,"2,480",27.6,1,1,2,1,0,0,9,0,0.04,0.04,0.07,0.04,0.07,Matches,0.09,0.25,11,4,36.4,0.15,0.40,,,,,,,,,,,,,,,,,,,Saudi Pro League,2024-2025
5619077f,Ali Abdoulraouf,Ali Abdoulraouf,,MF,Al-Khaleej,,,2,0,48,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Saudi Pro League,2024-2025
a7fc8b48,Majed Abdullah,Majed Abdullah,sa KSA,FW,Al-Shabab,18,2006,10,0,67,0.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,3,1,33.3,1.34,4.03,,,,,,,,,,,,,,,,,,,Saudi Pro League,2024-2025
5c946692,Mohammed Al Abdullah,Mohammed Al Abdullah,,MF,Al-Khaleej,,,6,0,58,0.6,0,1,1,0,0,0,1,0,0.00,1.55,1.55,0.00,1.55,Matches,0.00,,2,0,0.0,0.00,3.10,,,,,,,,,,,,,,,,,,,Saudi Pro League,2024-2025
2a687653,Reda Al Abdullah,Reda Al Abdullah,,MF,Al-Fayha,,,2,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,1,1,100.0,22.50,22.50,,,,,,,,,,,,,,,,,,,Saudi Pro League,2024-2025
28f0d057,Mohamed Abdulrahman,Mohamed Abdulrahman,sa KSA,DF,Al-Ettifaq,21,2003,25,18,"1,604",17.8,1,1,2,1,0,0,4,0,0.06,0.06,0.11,0.06,0.11,Matches,0.20,1.00,5,1,20.0,0.06,0.28,,,,,,,,,,,,,,,,,,,Saudi Pro League,2024-2025
63b735e2,Fahad Al Abdulraziq,Fahad Al Abdulraziq,sa KSA,"DF,MF",Al-Taawoun,24,2000,12,7,643,7.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,3,1,33.3,0.14,0.42,,,,,,,,,,,,,,,,,,,Saudi Pro League,2024-2025
d5f20595,Faisal Al Abdulwahed,Faisal Al Abdulwahed,sa KSA,FW,Al-Fateh,19,2004,4,1,96,1.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Saudi Pro League,2024-2025
