PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
d524dcd7,Terry Ablade,Terry Ablade,fi FIN,"FW,MF",Partick Thistle,22,2001,25,5,607,6.7,2,2,4,2,0,0,0,0,0.30,0.30,0.59,0.30,0.59,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Championship,2024-2025
5a7c54b2,Keelan Adams,Keelan Adams,sct SCO,"DF,MF",Falkirk,22,2001,36,36,"3,240",36.0,3,4,7,3,0,0,2,0,0.08,0.11,0.19,0.08,0.19,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Championship,2024-2025
9af1b8c2,Korede Adedoyin,Korede Adedoyin,ng NGA,FW,Raith Rovers,23,2000,8,0,180,2.0,1,0,1,1,0,0,0,0,0.50,0.00,0.50,0.50,0.50,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Championship,2024-2025
eb8afd9e,Tomi Adeloye,Tomi Adeloye,eng ENG,FW,Morton,28,1996,10,7,623,6.9,3,0,3,3,0,0,1,0,0.43,0.00,0.43,0.43,0.43,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Championship,2024-2025
cb2228fe,Lenny Agbaire,Lenny Agbaire,sct SCO,DF,Ayr United,19,2005,12,9,843,9.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Championship,2024-2025
0574bf0d,Alfredo Agyeman,Alfredo Agyeman,sct SCO,"MF,FW",Falkirk,24,2000,31,8,"1,033",11.5,5,2,7,5,0,0,2,1,0.44,0.17,0.61,0.44,0.61,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Championship,2024-2025
3f7700d8,Terrell Agyemang,Terrell Agyemang,eng ENG,MF,Airdrieonians,21,2002,12,5,566,6.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Championship,2024-2025
77daee48,Murray Aiken,Murray Aiken,mf SMN,"MF,DF",Airdrieonians,19,2004,13,6,629,7.0,1,0,1,1,0,0,3,0,0.14,0.00,0.14,0.14,0.14,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Championship,2024-2025
298ea5cc,Charlie Albinson,Charlie Albinson,eng ENG,GK,Hamilton Acad.,27,1996,17,17,"1,530",17.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,4,23.5,17,17,33,1.94,10,"1,530",1,1,0,0.0,0,,,,2,5,Scottish Championship,2024-2025
b1313ec4,Scott Arfield,Scott Arfield,ca CAN,MF,Falkirk,35,1988,13,12,857,9.5,9,0,9,7,2,2,2,0,0.95,0.00,0.95,0.74,0.74,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Championship,2024-2025
422ec61c,Rhys Armstrong,Rhys Armstrong,sct SCO,MF,Airdrieonians,22,2002,30,18,"1,729",19.2,0,0,0,0,0,0,9,1,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Championship,2024-2025
624a2d50,Lee Ashcroft,Lee Ashcroft,sct SCO,DF,Partick Thistle,30,1993,33,30,"2,656",29.5,0,1,1,0,0,0,6,0,0.00,0.03,0.03,0.00,0.03,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Championship,2024-2025
fd2b7b25,Luke Badley-Morgan,Luke Badley-Morgan,jm JAM,DF,Airdrieonians,20,2003,13,13,"1,148",12.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Championship,2024-2025
eae5c535,Jack Baird,Jack Baird,sct SCO,DF,Morton,28,1996,35,33,"2,992",33.2,2,0,2,2,0,0,7,0,0.06,0.00,0.06,0.06,0.06,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Championship,2024-2025
8feba5ea,Cammy Ballantyne,Cammy Ballantyne,sct SCO,DF,Morton,27,1997,28,28,"2,477",27.5,1,2,3,1,0,0,6,0,0.04,0.07,0.11,0.04,0.11,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Championship,2024-2025
4059ef0a,Stuart Bannigan,Stuart Bannigan,sct SCO,MF,Partick Thistle,31,1992,29,25,"2,195",24.4,0,1,1,0,0,0,14,1,0.00,0.04,0.04,0.00,0.04,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Championship,2024-2025
fb3fc955,Alex Bannon,Alex Bannon,sct SCO,DF,Airdrieonians,20,2003,12,12,"1,064",11.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Championship,2024-2025
6e739736,Jamie Barjonas,Jamie Barjonas,sct SCO,MF,Hamilton Acad.,25,1999,32,19,"1,587",17.6,1,1,2,1,0,0,5,0,0.06,0.06,0.11,0.06,0.11,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Championship,2024-2025
b9095278,Alfie Bavidge,Alfie Bavidge,sct SCO,"FW,MF",Ayr United,18,2006,14,3,446,5.0,2,0,2,2,0,0,1,0,0.40,0.00,0.40,0.40,0.40,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Championship,2024-2025
59a68dac,Kyle Benedictus,Kyle Benedictus,sct SCO,DF,Dunfermline Ath.,32,1991,30,30,"2,595",28.8,2,0,2,2,0,0,4,1,0.07,0.00,0.07,0.07,0.07,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Championship,2024-2025
428c1797,Cameron Blues,Cameron Blues,sct SCO,"MF,DF",Morton,26,1998,36,26,"2,441",27.1,5,1,6,5,0,0,8,0,0.18,0.04,0.22,0.18,0.22,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Championship,2024-2025
1cda07f1,Morgan Boyes,Morgan Boyes,wls WAL,DF,Morton,23,2001,31,30,"2,671",29.7,2,0,2,2,0,0,12,0,0.07,0.00,0.07,0.07,0.07,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Championship,2024-2025
2e3329f3,Steven Bradley,Steven Bradley,sct SCO,"MF,FW",Hamilton Acad.,22,2002,32,21,"1,852",20.6,2,1,3,2,0,0,4,0,0.10,0.05,0.15,0.10,0.15,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Championship,2024-2025
47d088cd,Jamie Brandon,Jamie Brandon,sct SCO,"MF,DF",Livingston,26,1998,34,34,"2,744",30.5,1,1,2,1,0,0,10,0,0.03,0.03,0.07,0.03,0.07,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Championship,2024-2025
82970b14,Rhys Breen,Rhys Breen,sct SCO,DF,Dunfermline Ath.,24,2000,1,0,57,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Championship,2024-2025
8dbeac13,Kirk Broadfoot,Kirk Broadfoot,sct SCO,DF,Morton,39,1984,11,10,876,9.7,0,1,1,0,0,0,3,0,0.00,0.10,0.10,0.00,0.10,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Championship,2024-2025
a8f3f887,Eamonn Brophy,Eamonn Brophy,sct SCO,FW,Falkirk,28,1996,4,1,127,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Championship,2024-2025
5af2d571,Scott Brown,Scott Brown,sct SCO,MF,Raith Rovers,29,1994,22,20,"1,665",18.5,1,1,2,1,0,0,11,0,0.05,0.05,0.11,0.05,0.11,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Championship,2024-2025
0b323fe4,Cameron Bruce,Cameron Bruce,sct SCO,"MF,DF",Airdrieonians,18,2005,9,4,368,4.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Championship,2024-2025
673f7ce9,Lewis Budinauckas,Lewis Budinauckas,sct SCO,GK,Morton,22,2002,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,4,50.0,8,8,6,0.75,2,720,0,0,0,,0,,,,3,3,Scottish Championship,2024-2025
673f7ce9,Lewis Budinauckas,Lewis Budinauckas,sct SCO,GK,Morton,22,2002,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,0,0.0,4,4,11,2.75,3,360,1,1,0,0.0,0,,,,1,0,Scottish Championship,2024-2025
673f7ce9,Lewis Budinauckas,Lewis Budinauckas,sct SCO,GK,Morton,22,2002,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,4,50.0,8,8,6,0.75,2,720,0,0,0,,0,,,,3,3,Scottish Championship,2024-2025
673f7ce9,Lewis Budinauckas,Lewis Budinauckas,sct SCO,GK,Morton,22,2002,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,0,0.0,4,4,11,2.75,3,360,1,1,0,0.0,0,,,,1,0,Scottish Championship,2024-2025
673f7ce9,Lewis Budinauckas,Lewis Budinauckas,sct SCO,GK,Partick Thistle,22,2002,8,8,720,8.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,4,50.0,8,8,6,0.75,2,720,0,0,0,,0,,,,3,3,Scottish Championship,2024-2025
673f7ce9,Lewis Budinauckas,Lewis Budinauckas,sct SCO,GK,Partick Thistle,22,2002,8,8,720,8.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,0,0.0,4,4,11,2.75,3,360,1,1,0,0.0,0,,,,1,0,Scottish Championship,2024-2025
673f7ce9,Lewis Budinauckas,Lewis Budinauckas,sct SCO,GK,Partick Thistle,22,2002,8,8,720,8.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,4,50.0,8,8,6,0.75,2,720,0,0,0,,0,,,,3,3,Scottish Championship,2024-2025
673f7ce9,Lewis Budinauckas,Lewis Budinauckas,sct SCO,GK,Partick Thistle,22,2002,8,8,720,8.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,0,0.0,4,4,11,2.75,3,360,1,1,0,0.0,0,,,,1,0,Scottish Championship,2024-2025
11f4243f,Shaun Byrne,Shaun Byrne,sct SCO,MF,Raith Rovers,31,1993,23,18,"1,493",16.6,0,3,3,0,0,0,5,1,0.00,0.18,0.18,0.00,0.18,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Championship,2024-2025
3371aceb,David Carson,David Carson,eng ENG,"DF,MF",Livingston,28,1995,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Championship,2024-2025
c55d09d4,Joe Chalmers,Joe Chalmers,sct SCO,"MF,DF",Dunfermline Ath.,30,1994,20,10,"1,088",12.1,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Championship,2024-2025
