PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
45dde494,Emmanuel Adegboyega,Emmanuel Adegboyega,ie IRL,DF,Dundee United,20,2003,31,29,"2,573",28.6,3,0,3,3,0,0,10,1,0.10,0.00,0.10,0.10,0.10,Matches,0.16,0.50,19,6,31.6,0.21,0.66,,,,,,,,,,,,,,,,,,,Scottish Premiership,2024-2025
506eff98,Dennis Adeniran,Dennis Adeniran,eng ENG,MF,St Mirren,25,1999,6,2,240,2.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,2,0,0.0,0.00,0.75,,,,,,,,,,,,,,,,,,,Scottish Premiership,2024-2025
4a9dfc4c,Oluwaseun Adewumi,Oluwaseun Adewumi,at AUT,"MF,FW",Dundee,19,2005,28,20,"1,715",19.1,4,5,9,4,0,0,2,0,0.21,0.26,0.47,0.21,0.47,Matches,0.13,0.40,32,10,31.3,0.52,1.68,,,,,,,,,,,,,,,,,,,Scottish Premiership,2024-2025
ce048fb8,Ryan Alebiosu,Ryan Alebiosu,ng NGA,MF,St Mirren,22,2001,13,13,990,11.0,0,1,1,0,0,0,1,0,0.00,0.09,0.09,0.00,0.09,Matches,0.00,0.00,7,3,42.9,0.27,0.64,,,,,,,,,,,,,,,,,,,Scottish Premiership,2024-2025
84f8d34c,Rudi Allan-Molotnikov,Rudi Allan-Molotnikov,sct SCO,"MF,FW",Hibernian,18,2006,11,6,450,5.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,7,1,14.3,0.20,1.40,,,,,,,,,,,,,,,,,,,Scottish Premiership,2024-2025
a437827a,Scott Allardice,Scott Allardice,sct SCO,"MF,DF",Ross County,26,1998,17,6,610,6.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,10,1,10.0,0.15,1.48,,,,,,,,,,,,,,,,,,,Scottish Premiership,2024-2025
63b2b321,Peter Ambrose,Peter Ambrose,ng NGA,FW,Aberdeen,22,2002,15,1,288,3.2,1,0,1,1,0,0,1,0,0.31,0.00,0.31,0.31,0.31,Matches,0.09,0.50,11,2,18.2,0.62,3.44,,,,,,,,,,,,,,,,,,,Scottish Premiership,2024-2025
50fc4c0a,Jordan Amissah,Jordan Amissah,gh GHA,GK,Ross County,22,2001,20,20,"1,800",20.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,4,20.0,20,20,30,1.50,10,"1,800",2,2,0,0.0,0,71.7,71,99,4,6,Scottish Premiership,2024-2025
77128f7e,Luke Amos,Luke Amos,eng ENG,MF,Hibernian,27,1997,1,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,5.00,,,,,,,,,,,,,,,,,,,Scottish Premiership,2024-2025
cf3dde36,Bruce Anderson,Bruce Anderson,sct SCO,"FW,MF",Kilmarnock,25,1998,30,15,"1,479",16.4,11,1,12,6,5,6,1,0,0.67,0.06,0.73,0.37,0.43,Matches,0.15,0.33,40,18,45.0,1.10,2.43,,,,,,,,,,,,,,,,,,,Scottish Premiership,2024-2025
baf7624c,Kai Andrews,Kai Andrews,wls WAL,MF,Motherwell,17,2006,11,5,480,5.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,3,0,0.0,0.00,0.56,,,,,,,,,,,,,,,,,,,Scottish Premiership,2024-2025
6da43844,Juan Antonio Portales,Juan Antonio Portales,mx MEX,"DF,MF",Dundee,28,1996,24,23,"1,952",21.7,1,2,3,1,0,0,4,0,0.05,0.09,0.14,0.05,0.14,Matches,0.09,0.25,11,4,36.4,0.18,0.51,,,,,,,,,,,,,,,,,,,Scottish Premiership,2024-2025
4b54600d,Daniel Armstrong,Daniel Armstrong,sct SCO,MF,Kilmarnock,26,1997,33,26,"2,030",22.6,3,8,11,1,2,2,9,1,0.13,0.35,0.49,0.04,0.40,Matches,0.02,0.10,48,10,20.8,0.44,2.13,,,,,,,,,,,,,,,,,,,Scottish Premiership,2024-2025
d6556450,Luke Armstrong,Luke Armstrong,eng ENG,"FW,MF",Motherwell,28,1996,14,8,716,8.0,4,0,4,4,0,0,1,0,0.50,0.00,0.50,0.50,0.50,Matches,0.21,1.00,19,4,21.1,0.50,2.39,,,,,,,,,,,,,,,,,,,Scottish Premiership,2024-2025
