PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
abbc950a,Mustapha Abiodun,Mustapha Abiodun,ng NGA,"MF,FW",Tekstilac Odžaci,19,2005,12,2,384,4.3,1,0,1,1,0,0,0,0,0.23,0.00,0.23,0.23,0.23,Matches,0.50,1.00,2,1,50.0,0.23,0.47,,,,,,,,,,,,,,,,,,,Serbian SuperLiga,2024-2025
abbc950a,Mustapha Abiodun,Mustapha Abiodun,ng NGA,"MF,FW",Tekstilac Odžaci,19,2005,12,2,384,4.3,1,0,1,1,0,0,0,0,0.23,0.00,0.23,0.23,0.23,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Serbian SuperLiga,2024-2025
abbc950a,Mustapha Abiodun,Mustapha Abiodun,ng NGA,FW,Novi Beograd,19,2005,3,0,25,0.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.50,1.00,2,1,50.0,0.23,0.47,,,,,,,,,,,,,,,,,,,Serbian SuperLiga,2024-2025
abbc950a,Mustapha Abiodun,Mustapha Abiodun,ng NGA,FW,Novi Beograd,19,2005,3,0,25,0.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Serbian SuperLiga,2024-2025
a194c06b,Dimitrije Aćimović,Dimitrije Aćimović,rs SRB,DF,Jedinstvo Ub,19,2004,24,19,"1,711",19.0,2,0,2,2,0,0,3,0,0.11,0.00,0.11,0.11,0.11,Matches,0.40,1.00,5,2,40.0,0.11,0.26,,,,,,,,,,,,,,,,,,,Serbian SuperLiga,2024-2025
6af56975,Edmund Addo,Edmund Addo,gh GHA,MF,OFK Beograd,24,2000,26,26,"2,175",24.2,0,0,0,0,0,0,12,1,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,8,2,25.0,0.08,0.33,,,,,,,,,,,,,,,,,,,Serbian SuperLiga,2024-2025
3e634eec,Adetunji Adeshina,Adetunji Adeshina,ng NGA,MF,Novi Pazar,19,2004,35,30,"2,435",27.1,6,1,7,6,0,0,9,0,0.22,0.04,0.26,0.22,0.26,Matches,0.25,0.75,24,8,33.3,0.30,0.89,,,,,,,,,,,,,,,,,,,Serbian SuperLiga,2024-2025
683dbf08,Emmanuel Adimchukwunobi,Emmanuel Adimchukwunobi,ng NGA,MF,Novi Beograd,18,2005,3,0,51,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Serbian SuperLiga,2024-2025
0f8be5ce,Bojan Adžić,Bojan Adžić,me MNE,"MF,DF",Radnički Kragujevac,20,2003,23,10,"1,060",11.8,4,0,4,4,0,0,4,0,0.34,0.00,0.34,0.34,0.34,Matches,1.00,1.33,4,3,75.0,0.25,0.34,,,,,,,,,,,,,,,,,,,Serbian SuperLiga,2024-2025
15ee0274,Nemanja Ahčin,Nemanja Ahčin,rs SRB,MF,Tekstilac Odžaci,30,1994,16,15,"1,182",13.1,3,0,3,3,0,0,4,0,0.23,0.00,0.23,0.23,0.23,Matches,0.75,0.75,4,4,100.0,0.30,0.30,,,,,,,,,,,,,,,,,,,Serbian SuperLiga,2024-2025
c79f7793,Milan Aleksić,Milan Aleksić,rs SRB,FW,Radnički Kragujevac,18,2005,5,5,440,4.9,0,1,1,0,0,0,1,0,0.00,0.20,0.20,0.00,0.20,Matches,0.00,0.00,12,3,25.0,0.61,2.45,,,,,,,,,,,,,,,,,,,Serbian SuperLiga,2024-2025
ccf02f1c,Ognjen Alempijevic,Ognjen Alempijevic,rs SRB,MF,Mladost Lučani,17,2007,6,2,183,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,0.49,,,,,,,,,,,,,,,,,,,Serbian SuperLiga,2024-2025
771b45e4,Semir Alić,Semir Alić,rs SRB,MF,Novi Pazar,20,2004,17,6,696,7.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,3,0,0.0,0.00,0.39,,,,,,,,,,,,,,,,,,,Serbian SuperLiga,2024-2025
9248923e,Zoran Alilović,Zoran Alilović,rs SRB,MF,Partizan,18,2006,11,1,236,2.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Serbian SuperLiga,2024-2025
e960e29c,Simon Amin,Simon Amin,sy SYR,MF,Radnički Niš,26,1997,5,2,151,1.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Serbian SuperLiga,2024-2025
9f8ec0fd,Nikola Andrić,Nikola Andrić,rs SRB,DF,Mladost Lučani,32,1992,33,31,"2,834",31.5,1,0,1,1,0,0,3,0,0.03,0.00,0.03,0.03,0.03,Matches,0.33,0.50,3,2,66.7,0.06,0.10,,,,,,,,,,,,,,,,,,,Serbian SuperLiga,2024-2025
39aa05a7,Ebenezer Annan,Ebenezer Annan,gh GHA,DF,Red Star,21,2002,16,14,"1,221",13.6,1,4,5,1,0,0,2,0,0.07,0.29,0.37,0.07,0.37,Matches,1.00,1.00,1,1,100.0,0.07,0.07,,,,,,,,,,,,,,,,,,,Serbian SuperLiga,2024-2025
39aa05a7,Ebenezer Annan,Ebenezer Annan,gh GHA,DF,Red Star,21,2002,16,14,"1,221",13.6,1,4,5,1,0,0,2,0,0.07,0.29,0.37,0.07,0.37,Matches,0.00,,7,0,0.0,0.00,0.46,,,,,,,,,,,,,,,,,,,Serbian SuperLiga,2024-2025
39aa05a7,Ebenezer Annan,Ebenezer Annan,gh GHA,DF,OFK Beograd,21,2002,19,16,"1,375",15.3,0,4,4,0,0,0,1,1,0.00,0.26,0.26,0.00,0.26,Matches,1.00,1.00,1,1,100.0,0.07,0.07,,,,,,,,,,,,,,,,,,,Serbian SuperLiga,2024-2025
39aa05a7,Ebenezer Annan,Ebenezer Annan,gh GHA,DF,OFK Beograd,21,2002,19,16,"1,375",15.3,0,4,4,0,0,0,1,1,0.00,0.26,0.26,0.00,0.26,Matches,0.00,,7,0,0.0,0.00,0.46,,,,,,,,,,,,,,,,,,,Serbian SuperLiga,2024-2025
ac432dfd,Nikola Antić,Nikola Antić,rs SRB,DF,Partizan,30,1994,6,5,450,5.0,0,2,2,0,0,0,0,0,0.00,0.40,0.40,0.00,0.40,Matches,0.00,,3,0,0.0,0.00,0.60,,,,,,,,,,,,,,,,,,,Serbian SuperLiga,2024-2025
aecfc75e,Léo Antônio,Léo Antônio,br BRA,MF,Spartak Subotica,27,1997,13,6,546,6.1,1,1,2,1,0,0,0,0,0.16,0.16,0.33,0.16,0.33,Matches,1.00,1.00,1,1,100.0,0.16,0.16,,,,,,,,,,,,,,,,,,,Serbian SuperLiga,2024-2025
f30c6a09,Rodney Antwi,Rodney Antwi,nl NED,MF,Novi Pazar,28,1995,30,29,"2,367",26.3,9,3,12,9,0,0,2,0,0.34,0.11,0.46,0.34,0.46,Matches,0.33,0.60,27,15,55.6,0.57,1.03,,,,,,,,,,,,,,,,,,,Serbian SuperLiga,2024-2025
5cdee175,Joe Arana,Joe Arana,ec ECU,FW,Jedinstvo Ub,20,2003,5,2,168,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,2,0,0.0,0.00,1.07,,,,,,,,,,,,,,,,,,,Serbian SuperLiga,2024-2025
4f8a9f70,Kervin Arriaga,Kervin Arriaga,hn HON,DF,Partizan,26,1998,15,13,"1,209",13.4,0,1,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,Matches,0.00,0.00,12,4,33.3,0.30,0.89,,,,,,,,,,,,,,,,,,,Serbian SuperLiga,2024-2025
4b4b66a4,Adem Avdić,Adem Avdić,rs SRB,DF,OFK Beograd,16,2007,8,5,437,4.9,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Serbian SuperLiga,2024-2025
f4afe5f8,Alesander Azzam,Alesander Azzam,ru RUS,FW,Tekstilac Odžaci,21,2003,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Serbian SuperLiga,2024-2025
d44e7d1d,Goran Babic,Goran Babic,eng ENG,MF,Jedinstvo Ub,20,2003,1,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Serbian SuperLiga,2024-2025
3af1fe0c,Ilija Babić,Ilija Babić,rs SRB,"MF,FW",Spartak Subotica,21,2002,36,35,"2,931",32.6,3,4,7,3,0,0,4,1,0.09,0.12,0.21,0.09,0.21,Matches,0.27,0.43,11,7,63.6,0.21,0.34,,,,,,,,,,,,,,,,,,,Serbian SuperLiga,2024-2025
e855446d,Andrej Bačanin,Andrej Bačanin,rs SRB,MF,Čukarički,17,2007,17,10,987,11.0,1,2,3,1,0,0,0,0,0.09,0.18,0.27,0.09,0.27,Matches,1.00,1.00,1,1,100.0,0.09,0.09,,,,,,,,,,,,,,,,,,,Serbian SuperLiga,2024-2025
2dfa5711,Filip Bačkulja,Filip Bačkulja,rs SRB,DF,Novi Pazar,22,2002,20,14,"1,288",14.3,3,0,3,3,0,0,6,0,0.21,0.00,0.21,0.21,0.21,Matches,0.38,1.00,8,3,37.5,0.21,0.56,,,,,,,,,,,,,,,,,,,Serbian SuperLiga,2024-2025
7b9efbd4,Macky Bagnack,Macky Bagnack,cm CMR,DF,TSC,29,1995,6,4,375,4.2,1,0,1,1,0,0,1,0,0.24,0.00,0.24,0.24,0.24,Matches,0.50,1.00,2,1,50.0,0.24,0.48,,,,,,,,,,,,,,,,,,,Serbian SuperLiga,2024-2025
956a78ea,Issa Bah,Issa Bah,lu LUX,"FW,MF",Radnički Kragujevac,22,2002,14,9,820,9.1,5,0,5,5,0,0,3,0,0.55,0.00,0.55,0.55,0.55,Matches,0.36,0.63,14,8,57.1,0.88,1.54,,,,,,,,,,,,,,,,,,,Serbian SuperLiga,2024-2025
