PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
4b7a9fcc,James Abankwah,James Abankwah,ie IRL,DF,Udinese,20,2004,6,0,88,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,1.02,,,,,,,,,,,,,,,,,,,Serie A,2024-2025
caa254e4,Saud Abdulhamid,Saud Abdulhamid,sa KSA,MF,Roma,25,1999,4,2,205,2.3,0,1,1,0,0,0,0,0,0.00,0.44,0.44,0.00,0.44,Matches,0.00,,1,0,0.0,0.00,0.44,,,,,,,,,,,,,,,,,,,Serie A,2024-2025
8f5cdf66,Oliver Abildgaard,Oliver Abildgaard,dk DEN,"DF,MF",Como,28,1996,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Serie A,2024-2025
f586779e,Tammy Abraham,Tammy Abraham,eng ENG,FW,Roma,26,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Serie A,2024-2025
f586779e,Tammy Abraham,Tammy Abraham,eng ENG,FW,Roma,26,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.07,0.15,28,13,46.4,0.99,2.13,,,,,,,,,,,,,,,,,,,Serie A,2024-2025
f586779e,Tammy Abraham,Tammy Abraham,eng ENG,FW,Milan,26,1997,28,12,"1,183",13.1,3,4,7,2,1,2,1,0,0.23,0.30,0.53,0.15,0.46,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Serie A,2024-2025
f586779e,Tammy Abraham,Tammy Abraham,eng ENG,FW,Milan,26,1997,28,12,"1,183",13.1,3,4,7,2,1,2,1,0,0.23,0.30,0.53,0.15,0.46,Matches,0.07,0.15,28,13,46.4,0.99,2.13,,,,,,,,,,,,,,,,,,,Serie A,2024-2025
83763653,Federico Accornero,Federico Accornero,it ITA,MF,Genoa,20,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Serie A,2024-2025
b96b595c,Francesco Acerbi,Francesco Acerbi,it ITA,DF,Inter,36,1988,23,20,"1,710",19.0,0,1,1,0,0,0,0,0,0.00,0.05,0.05,0.00,0.05,Matches,0.00,0.00,5,1,20.0,0.05,0.26,,,,,,,,,,,,,,,,,,,Serie A,2024-2025
f2bf1b0f,Che Adams,Che Adams,sct SCO,FW,Torino,28,1996,36,30,"2,652",29.5,9,3,12,9,0,1,2,0,0.31,0.10,0.41,0.31,0.41,Matches,0.14,0.35,64,26,40.6,0.88,2.17,,,,,,,,,,,,,,,,,,,Serie A,2024-2025
26777636,Yacine Adli,Yacine Adli,fr FRA,MF,Fiorentina,24,2000,26,15,"1,234",13.7,4,6,10,4,0,0,3,1,0.29,0.44,0.73,0.29,0.73,Matches,0.29,0.80,14,5,35.7,0.36,1.02,,,,,,,,,,,,,,,,,,,Serie A,2024-2025
8b0f9fb8,Vasilije Adžić,Vasilije Adžić,me MNE,MF,Juventus,18,2006,6,0,42,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,1,1,100.0,2.14,2.14,,,,,,,,,,,,,,,,,,,Serie A,2024-2025
f9c927de,Michel Aebischer,Michel Aebischer,ch SUI,MF,Bologna,27,1997,14,9,724,8.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,10,5,50.0,0.62,1.24,,,,,,,,,,,,,,,,,,,Serie A,2024-2025
42ff58c3,Honest Ahanor,Honest Ahanor,it ITA,"MF,DF",Genoa,16,2008,6,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,3,1,33.3,0.33,1.00,,,,,,,,,,,,,,,,,,,Serie A,2024-2025
cab600a8,Junior Ajayi,Junior Ajayi,ci CIV,FW,Hellas Verona,19,2004,2,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Serie A,2024-2025
fdf4b948,Jean-Daniel Akpa-Akpro,Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,31,1992,14,12,966,10.7,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,4,2,50.0,0.19,0.37,,,,,,,,,,,,,,,,,,,Serie A,2024-2025
8c4b95af,David Akpan Ankeye,David Akpan Ankeye,ng NGA,FW,Genoa,22,2002,4,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Serie A,2024-2025
