PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
8f5cdf66,Oliver Abildgaard,Oliver Abildgaard,dk DEN,MF,Pisa,28,1996,24,7,776,8.6,0,1,1,0,0,0,4,0,0.00,0.12,0.12,0.00,0.12,Matches,0.00,0.00,5,1,20.0,0.12,0.58,,,,,,,,,,,,,,,,,,,Serie B,2024-2025
7e63b39c,Fabio Abiuso,Fabio Abiuso,gr GRE,FW,Modena,21,2003,16,7,728,8.1,2,1,3,2,0,0,1,0,0.25,0.12,0.37,0.25,0.37,Matches,0.13,0.33,16,6,37.5,0.74,1.98,,,,,,,,,,,,,,,,,,,Serie B,2024-2025
7e63b39c,Fabio Abiuso,Fabio Abiuso,gr GRE,FW,Modena,21,2003,16,7,728,8.1,2,1,3,2,0,0,1,0,0.25,0.12,0.37,0.25,0.37,Matches,0.00,,2,0,0.0,0.00,1.73,,,,,,,,,,,,,,,,,,,Serie B,2024-2025
7e63b39c,Fabio Abiuso,Fabio Abiuso,gr GRE,FW,Sampdoria,21,2003,9,0,104,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.13,0.33,16,6,37.5,0.74,1.98,,,,,,,,,,,,,,,,,,,Serie B,2024-2025
7e63b39c,Fabio Abiuso,Fabio Abiuso,gr GRE,FW,Sampdoria,21,2003,9,0,104,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,2,0,0.0,0.00,1.73,,,,,,,,,,,,,,,,,,,Serie B,2024-2025
45668d20,Emanuele Adamo,Emanuele Adamo,it ITA,MF,Cesena,26,1998,33,22,"2,067",23.0,2,0,2,2,0,0,11,0,0.09,0.00,0.09,0.09,0.09,Matches,0.06,0.13,33,15,45.5,0.65,1.44,,,,,,,,,,,,,,,,,,,Serie B,2024-2025
1226f0de,Marius Adamonis,Marius Adamonis,lt LTU,GK,FC Südtirol,27,1997,15,15,"1,350",15.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,4,26.7,15,15,18,1.20,3,"1,350",0,0,0,,0,71.4,45,63,5,7,Serie B,2024-2025
7005ac66,Andrea Adorante,Andrea Adorante,it ITA,FW,Juve Stabia,24,2000,33,31,"2,586",28.7,15,2,17,14,1,1,5,0,0.52,0.07,0.59,0.49,0.56,Matches,0.19,0.47,73,30,41.1,1.04,2.54,,,,,,,,,,,,,,,,,,,Serie B,2024-2025
e43cb802,Davide Adorni,Davide Adorni,it ITA,DF,Brescia,31,1992,36,36,"3,220",35.8,3,0,3,3,0,0,11,0,0.08,0.00,0.08,0.08,0.08,Matches,0.11,0.38,27,8,29.6,0.22,0.75,,,,,,,,,,,,,,,,,,,Serie B,2024-2025
3ad34015,Ebenezer Akinsanmiro,Ebenezer Akinsanmiro,ng NGA,MF,Sampdoria,19,2004,35,14,"1,530",17.0,1,1,2,1,0,0,4,1,0.06,0.06,0.12,0.06,0.12,Matches,0.04,0.14,23,7,30.4,0.41,1.35,,,,,,,,,,,,,,,,,,,Serie B,2024-2025
