PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
34700200,Delano Abrahams,Delano Abrahams,za RSA,DF,Magesi FC,28,1995,23,23,"2,070",23.0,3,0,3,3,0,0,4,0,0.13,0.00,0.13,0.13,0.13,Matches,0.14,0.43,22,7,31.8,0.30,0.96,,,,,,,,,,,,,,,,,,,South African Premiership,2024-2025
b2498520,Faiz Abrahams,Faiz Abrahams,za RSA,MF,Stellenbosch FC,19,2005,2,0,28,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,3.21,,,,,,,,,,,,,,,,,,,South African Premiership,2024-2025
259affab,Jayden Adams,Jayden Adams,za RSA,"MF,FW",Stellenbosch FC,23,2001,8,7,576,6.4,1,1,2,1,0,0,6,1,0.16,0.16,0.31,0.16,0.31,Matches,0.25,0.33,4,3,75.0,0.47,0.62,,,,,,,,,,,,,,,,,,,South African Premiership,2024-2025
259affab,Jayden Adams,Jayden Adams,za RSA,"MF,FW",Stellenbosch FC,23,2001,8,7,576,6.4,1,1,2,1,0,0,6,1,0.16,0.16,0.31,0.16,0.31,Matches,0.43,0.75,7,4,57.1,0.34,0.59,,,,,,,,,,,,,,,,,,,South African Premiership,2024-2025
259affab,Jayden Adams,Jayden Adams,za RSA,MF,Mamelodi Sundowns,23,2001,17,13,"1,064",11.8,3,1,4,3,0,0,0,0,0.25,0.08,0.34,0.25,0.34,Matches,0.25,0.33,4,3,75.0,0.47,0.62,,,,,,,,,,,,,,,,,,,South African Premiership,2024-2025
259affab,Jayden Adams,Jayden Adams,za RSA,MF,Mamelodi Sundowns,23,2001,17,13,"1,064",11.8,3,1,4,3,0,0,0,0,0.25,0.08,0.34,0.25,0.34,Matches,0.43,0.75,7,4,57.1,0.34,0.59,,,,,,,,,,,,,,,,,,,South African Premiership,2024-2025
410726f9,Jody Ahshene,Jody Ahshene,za RSA,FW,Cape Town City,19,2005,9,3,330,3.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,5,1,20.0,0.27,1.36,,,,,,,,,,,,,,,,,,,South African Premiership,2024-2025
bde8457c,Daniel Akpeyi,Daniel Akpeyi,ng NGA,GK,Marumo Gallants FC,37,1986,7,6,587,6.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,1,16.7,7,6,9,1.38,2,587,0,0,0,,0,65.4,17,26,2,2,South African Premiership,2024-2025
a288e949,Cole Alexander,Cole Alexander,za RSA,MF,Polokwane City,35,1989,13,11,820,9.1,0,2,2,0,0,0,0,0,0.00,0.22,0.22,0.00,0.22,Matches,0.00,0.00,6,2,33.3,0.22,0.66,,,,,,,,,,,,,,,,,,,South African Premiership,2024-2025
7d644e2e,Badra Ali Sangaré,Badra Ali Sangaré,ci CIV,GK,Sekhukhune United FC,38,1986,20,20,"1,800",20.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,7,35.0,20,20,24,1.20,7,"1,800",1,2,0,50.0,1,71.6,59,81,4,9,South African Premiership,2024-2025
