PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
5af2731a,Leroy Abanda,Leroy Abanda,fr FRA,DF,OFI Crete,24,2000,11,2,308,3.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Super League Greece,2024-2025
baa6cdf7,Bilal Abdelrahman Zeeni,Bilal Abdelrahman Zeeni,eg EGY,"MF,FW",PAS Lamia,21,2003,10,2,359,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Super League Greece,2024-2025
c603091a,Joel Abu Hanna,Joel Abu Hanna,il ISR,DF,Levadiakos,26,1998,16,15,"1,270",14.1,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Super League Greece,2024-2025
cd2b890d,Georgios Agapakis,Georgios Agapakis,gr GRE,MF,Panetolikos,21,2002,7,2,230,2.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Super League Greece,2024-2025
811a5834,Oluwatobiloba Alagbe,Oluwatobiloba Alagbe,ng NGA,"MF,DF",Asteras Tripoli,24,2000,29,21,"1,804",20.0,2,0,2,2,0,0,4,1,0.10,0.00,0.10,0.10,0.10,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Super League Greece,2024-2025
681b4836,Migouel Alfarela,Migouel Alfarela,fr FRA,FW,Kallithea,26,1997,17,15,"1,249",13.9,9,0,9,9,0,1,1,0,0.65,0.00,0.65,0.65,0.65,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Super League Greece,2024-2025
fd6108bc,Nikolai Alho,Nikolai Alho,fi FIN,DF,Asteras Tripoli,31,1993,20,16,"1,379",15.3,0,2,2,0,0,0,5,0,0.00,0.13,0.13,0.00,0.13,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Super League Greece,2024-2025
0afff3b7,Omri Altman,Omri Altman,il ISR,"MF,FW",Volos N.F.C.,30,1994,14,10,850,9.4,0,0,0,0,0,1,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Super League Greece,2024-2025
32a9f0f0,Federico Álvarez,Federico Álvarez,ar ARG,DF,Asteras Tripoli,29,1994,22,17,"1,570",17.4,1,0,1,1,0,0,4,0,0.06,0.00,0.06,0.06,0.06,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Super League Greece,2024-2025
7c2a398c,Nordin Amrabat,Nordin Amrabat,ma MAR,MF,AEK Athens,37,1987,6,3,254,2.8,1,1,2,0,1,1,1,0,0.35,0.35,0.71,0.00,0.35,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Super League Greece,2024-2025
0b5d06ee,Lucas Anacker,Lucas Anacker,br BRA,GK,Levadiakos,27,1996,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,3,50.0,6,6,5,0.83,1,540,0,0,0,,0,,,,1,4,Super League Greece,2024-2025
a31c9811,Alexandros Anagnostopoulos,Alexandros Anagnostopoulos,gr GRE,GK,Olympiacos,29,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,0,0.0,1,1,2,2.00,0,90,0,0,0,,0,,,,0,1,Super League Greece,2024-2025
070eb3e3,Léo Andrade,Léo Andrade,br BRA,DF,PAS Lamia,26,1998,14,13,"1,035",11.5,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Super League Greece,2024-2025
2a70dcc9,Thanasis Androutsos,Thanasis Androutsos,gr GRE,"DF,MF",Olympiacos,27,1997,1,0,29,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Super League Greece,2024-2025
2a70dcc9,Thanasis Androutsos,Thanasis Androutsos,gr GRE,"DF,MF",Olympiacos,27,1997,1,0,29,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Super League Greece,2024-2025
2a70dcc9,Thanasis Androutsos,Thanasis Androutsos,gr GRE,MF,OFI Crete,27,1997,13,12,"1,008",11.2,0,1,1,0,0,0,4,0,0.00,0.09,0.09,0.00,0.09,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Super League Greece,2024-2025
2a70dcc9,Thanasis Androutsos,Thanasis Androutsos,gr GRE,MF,OFI Crete,27,1997,13,12,"1,008",11.2,0,1,1,0,0,0,4,0,0.00,0.09,0.09,0.00,0.09,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Super League Greece,2024-2025
38ead66d,Giannis Apostolakis,Giannis Apostolakis,gr GRE,MF,OFI Crete,19,2004,24,7,909,10.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Super League Greece,2024-2025
03db4a2e,Apostolos Apostolopoulos,Apostolos Apostolopoulos,gr GRE,DF,Olympiacos,21,2002,5,3,254,2.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Super League Greece,2024-2025
03db4a2e,Apostolos Apostolopoulos,Apostolos Apostolopoulos,gr GRE,DF,Olympiacos,21,2002,5,3,254,2.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Super League Greece,2024-2025
03db4a2e,Apostolos Apostolopoulos,Apostolos Apostolopoulos,gr GRE,"MF,DF",Panetolikos,21,2002,13,7,624,6.9,2,0,2,2,0,0,0,0,0.29,0.00,0.29,0.29,0.29,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Super League Greece,2024-2025
03db4a2e,Apostolos Apostolopoulos,Apostolos Apostolopoulos,gr GRE,"MF,DF",Panetolikos,21,2002,13,7,624,6.9,2,0,2,2,0,0,0,0,0.29,0.00,0.29,0.29,0.29,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Super League Greece,2024-2025
f47a530a,Willian Arão,Willian Arão,br BRA,"MF,DF",Panathinaikos,31,1992,24,20,"1,647",18.3,1,0,1,1,0,0,4,0,0.05,0.00,0.05,0.05,0.05,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Super League Greece,2024-2025
155a69d7,Kyriakos Aslanidis,Kyriakos Aslanidis,gr GRE,DF,Volos N.F.C.,22,2002,15,5,655,7.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Super League Greece,2024-2025
0808e656,Jasin Assehnoun,Jasin Assehnoun,fi FIN,MF,Volos N.F.C.,25,1998,26,13,"1,242",13.8,1,2,3,1,0,0,6,0,0.07,0.14,0.22,0.07,0.22,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Super League Greece,2024-2025
efb62c60,Andreas Athanasakopoulos,Andreas Athanasakopoulos,gr GRE,"MF,FW",PAS Lamia,22,2001,24,17,"1,458",16.2,1,0,1,1,0,0,3,1,0.06,0.00,0.06,0.06,0.06,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Super League Greece,2024-2025
e6345ae2,Nicolaos Athanasiou,Nicolaos Athanasiou,gr GRE,"DF,MF",Atromitos,23,2001,30,27,"2,361",26.2,3,6,9,2,1,1,7,1,0.11,0.23,0.34,0.08,0.30,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Super League Greece,2024-2025
7c4451b8,Aviv Avraham,Aviv Avraham,il ISR,MF,Levadiakos,28,1996,8,2,244,2.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Super League Greece,2024-2025
f7929dc6,Filip Bainović,Filip Bainović,rs SRB,MF,OFI Crete,28,1996,8,8,567,6.3,1,1,2,1,0,0,2,0,0.16,0.16,0.32,0.16,0.32,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Super League Greece,2024-2025
50ccf47d,Michalis Bakakis,Michalis Bakakis,gr GRE,"MF,DF",Panetolikos,33,1991,25,14,"1,222",13.6,0,3,3,0,0,0,8,0,0.00,0.22,0.22,0.00,0.22,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Super League Greece,2024-2025
dead55e5,Anastasios Bakasetas,Anastasios Bakasetas,gr GRE,MF,Panathinaikos,31,1993,22,15,"1,247",13.9,1,2,3,1,0,0,3,0,0.07,0.14,0.22,0.07,0.22,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Super League Greece,2024-2025
59bf127b,Tiemoué Bakayoko,Tiemoué Bakayoko,fr FRA,MF,PAOK,29,1994,4,3,204,2.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Super League Greece,2024-2025
729d11a5,Marko Bakić,Marko Bakić,me MNE,MF,OFI Crete,30,1993,28,21,"1,859",20.7,1,0,1,0,1,1,8,0,0.05,0.00,0.05,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Super League Greece,2024-2025
d2b262fe,Makana Baku,Makana Baku,de GER,"MF,FW",Atromitos,26,1998,31,30,"2,331",25.9,5,3,8,5,0,0,2,0,0.19,0.12,0.31,0.19,0.31,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Super League Greece,2024-2025
394854c4,George Baldock,George Baldock,gr GRE,DF,Panathinaikos,31,1993,3,2,187,2.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Super League Greece,2024-2025
60194b77,Guillermo Balzi,Guillermo Balzi,ar ARG,"MF,FW",Levadiakos,23,2001,27,27,"2,081",23.1,3,5,8,3,0,1,10,0,0.13,0.22,0.35,0.13,0.35,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Super League Greece,2024-2025
a3cd0078,Bernabé Barragán,Bernabé Barragán,es ESP,GK,Kallithea,31,1993,20,20,"1,729",19.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,4,20.0,20,20,26,1.35,9,"1,729",2,2,0,0.0,0,,,,9,2,Super League Greece,2024-2025
