PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
93940d4e,Hamza Abdallah,Hamza Abdallah,km COM,DF,Lausanne-Sport,21,2003,3,2,202,2.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,Swiss Super League,2024-2025
3c3bd200,Dirk Abels,Dirk Abels,nl NED,"DF,MF",Grasshopper,27,1997,28,22,"2,044",22.7,1,0,1,1,0,0,3,0,0.04,0.00,0.04,0.04,0.04,Matches,0.06,0.25,16,4,25.0,0.18,0.70,,,,,,,,,,,,,,,,,,,Swiss Super League,2024-2025
1c08a3c8,Amir Abrashi,Amir Abrashi,al ALB,MF,Grasshopper,34,1990,30,28,"2,147",23.9,0,2,2,0,0,0,9,1,0.00,0.08,0.08,0.00,0.08,Matches,0.00,0.00,9,1,11.1,0.04,0.38,,,,,,,,,,,,,,,,,,,Swiss Super League,2024-2025
f6edb4c2,Asumah Abubakar,Asumah Abubakar,pt POR,FW,Grasshopper,27,1997,7,1,167,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,2,0,0.0,0.00,1.08,,,,,,,,,,,,,,,,,,,Swiss Super League,2024-2025
bdbf78cd,Jonas Adjetey,Jonas Adjetey,gh GHA,DF,Basel,20,2003,32,29,"2,598",28.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,9,0,0.0,0.00,0.31,,,,,,,,,,,,,,,,,,,Swiss Super League,2024-2025
0dbac3e0,Daniel Afriyie,Daniel Afriyie,gh GHA,FW,Zürich,23,2001,6,2,155,1.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,3,1,33.3,0.58,1.74,,,,,,,,,,,,,,,,,,,Swiss Super League,2024-2025
7dd0416b,Alban Ajdini,Alban Ajdini,xk KVX,FW,Lausanne-Sport,25,1999,31,18,"1,631",18.1,6,3,9,6,0,0,0,0,0.33,0.17,0.50,0.33,0.50,Matches,0.14,0.33,42,18,42.9,0.99,2.32,,,,,,,,,,,,,,,,,,,Swiss Super League,2024-2025
2b1c4abd,Albian Ajeti,Albian Ajeti,ch SUI,FW,Basel,27,1997,30,16,"1,425",15.8,10,6,16,10,0,0,3,2,0.63,0.38,1.01,0.63,1.01,Matches,0.16,0.42,62,24,38.7,1.52,3.92,,,,,,,,,,,,,,,,,,,Swiss Super League,2024-2025
f5c2c28e,Marvin Akahomen,Marvin Akahomen,ch SUI,DF,Basel,17,2007,2,0,27,0.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,1,1,100.0,3.33,3.33,,,,,,,,,,,,,,,,,,,Swiss Super League,2024-2025
414e1f69,Marley Aké,Marley Aké,fr FRA,"FW,MF",Yverdon-Sport,23,2001,34,31,"2,714",30.2,7,3,10,6,1,1,4,0,0.23,0.10,0.33,0.20,0.30,Matches,0.10,0.21,59,29,49.2,0.96,1.96,,,,,,,,,,,,,,,,,,,Swiss Super League,2024-2025
debc2f28,Chadrac Akolo,Chadrac Akolo,cd COD,"FW,MF",St. Gallen,29,1995,31,18,"1,574",17.5,6,4,10,6,0,1,1,0,0.34,0.23,0.57,0.34,0.57,Matches,0.11,0.19,54,31,57.4,1.77,3.09,,,,,,,,,,,,,,,,,,,Swiss Super League,2024-2025
bb8099ee,Ignacio Aliseda,Ignacio Aliseda,ar ARG,"MF,FW",Lugano,24,2000,19,11,999,11.1,6,2,8,6,0,0,0,0,0.54,0.18,0.72,0.54,0.72,Matches,0.17,0.40,36,15,41.7,1.35,3.24,,,,,,,,,,,,,,,,,,,Swiss Super League,2024-2025
93254558,Ricardo Alves,Ricardo Alves,ch SUI,MF,Yverdon-Sport,22,2001,6,0,122,1.4,0,1,1,0,0,0,1,0,0.00,0.74,0.74,0.00,0.74,Matches,0.00,0.00,3,2,66.7,1.48,2.21,,,,,,,,,,,,,,,,,,,Swiss Super League,2024-2025
24fc70d3,Mohamed Aly Camara,Mohamed Aly Camara,gn GUI,DF,Young Boys,26,1997,18,13,"1,290",14.3,0,0,0,0,0,0,3,2,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,6,2,33.3,0.14,0.42,,,,,,,,,,,,,,,,,,,Swiss Super League,2024-2025
2930c9d8,Stephan Ambrosius,Stephan Ambrosius,gh GHA,DF,St. Gallen,25,1998,22,20,"1,847",20.5,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,11,2,18.2,0.10,0.54,,,,,,,,,,,,,,,,,,,Swiss Super League,2024-2025
c0eeaa39,Alexis Antunes,Alexis Antunes,ch SUI,MF,Servette FC,24,2000,21,19,"1,365",15.2,2,3,5,2,0,0,5,1,0.13,0.20,0.33,0.13,0.33,Matches,0.06,0.14,35,14,40.0,0.92,2.31,,,,,,,,,,,,,,,,,,,Swiss Super League,2024-2025
