PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
721fc269,Jara Ackermann,Jara Ackermann,li LIE,GK,Young Boys,20,2004,8,8,720,8.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,,,,,,,,3,37.5,8,8,9,1.13,2,720,0,0,0,,0,,,,1,5,Swiss Women's Super League,2024-2025
fa7bc07f,Gloria Adigo,Gloria Adigo,de GER,DF,Basel,21,2003,8,1,140,1.6,0,,,0,0,0,2,0,0.00,,,0.00,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Swiss Women's Super League,2024-2025
4023db1e,Sophie Aeberhard,Sophie Aeberhard,ch SUI,DF,Thun Berner-Oberland,22,2002,13,9,845,9.4,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Swiss Women's Super League,2024-2025
91fa4884,Yael Aeberhard,Yael Aeberhard,ch SUI,"MF,FW",St. Gallen-Staad,20,2003,16,12,961,10.7,4,,,4,0,0,1,0,0.37,,,0.37,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Swiss Women's Super League,2024-2025
ace47473,Lia Ammann,Lia Ammann,ch SUI,MF,St. Gallen-Staad,16,2007,11,5,533,5.9,1,,,1,0,0,1,0,0.17,,,0.17,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Swiss Women's Super League,2024-2025
5e9806f7,Bergrós Ásgeirsdóttir,Bergrós Ásgeirsdóttir,is ISL,"DF,MF",FC Aarau,27,1997,13,12,"1,068",11.9,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Swiss Women's Super League,2024-2025
7007519e,Viola Avduli,Viola Avduli,xk KVX,DF,FC Zürich,24,1999,1,0,5,0.1,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Swiss Women's Super League,2024-2025
7007519e,Viola Avduli,Viola Avduli,xk KVX,DF,FC Zürich,24,1999,1,0,5,0.1,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Swiss Women's Super League,2024-2025
7007519e,Viola Avduli,Viola Avduli,xk KVX,DF,FC Aarau,24,1999,11,7,700,7.8,0,,,0,0,0,1,0,0.00,,,0.00,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Swiss Women's Super League,2024-2025
7007519e,Viola Avduli,Viola Avduli,xk KVX,DF,FC Aarau,24,1999,11,7,700,7.8,0,,,0,0,0,1,0,0.00,,,0.00,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Swiss Women's Super League,2024-2025
ebfd41f4,Antonia Baaß,Antonia Baaß,de GER,"DF,FW",Basel,24,2000,15,13,"1,070",11.9,3,,,3,0,0,0,0,0.25,,,0.25,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Swiss Women's Super League,2024-2025
ee25d2d3,Eva Bachmann,Eva Bachmann,ch SUI,"MF,FW",St. Gallen-Staad,29,1995,15,12,"1,161",12.9,4,,,4,0,0,0,0,0.31,,,0.31,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Swiss Women's Super League,2024-2025
fbaf97e5,Joni Bandi,Joni Bandi,ch SUI,"FW,MF",Thun Berner-Oberland,20,2004,17,9,836,9.3,2,,,2,0,0,1,0,0.22,,,0.22,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Swiss Women's Super League,2024-2025
4f87f49c,Fabienne Bangerter,Fabienne Bangerter,ch SUI,"FW,MF",FC Aarau,32,1991,11,3,404,4.5,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Swiss Women's Super League,2024-2025
9dd68182,Romy Baraniak,Romy Baraniak,de GER,MF,FC Zürich,21,2003,16,16,"1,366",15.2,1,,,1,0,0,6,0,0.07,,,0.07,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Swiss Women's Super League,2024-2025
e3ada2f4,Lorena Barth,Lorena Barth,ch SUI,GK,FC Aarau,17,2006,13,13,"1,170",13.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,,,,,,,,1,7.7,13,13,20,1.54,5,"1,170",0,0,0,,0,,,,2,6,Swiss Women's Super League,2024-2025
5e7c6ce9,Lorena Bärtschi,Lorena Bärtschi,ch SUI,"MF,DF",Thun Berner-Oberland,20,2004,10,4,499,5.5,0,,,0,0,0,1,0,0.00,,,0.00,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Swiss Women's Super League,2024-2025
03068d0f,Céline Batschelet,Céline Batschelet,ch SUI,"MF,FW",Thun Berner-Oberland,27,1996,10,8,723,8.0,4,,,4,0,0,2,0,0.50,,,0.50,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Swiss Women's Super League,2024-2025
3c253cd0,Larina Baumann,Larina Baumann,ch SUI,DF,St. Gallen-Staad,26,1998,18,18,"1,581",17.6,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Swiss Women's Super League,2024-2025
4916a367,Yade Bayrakdar,Yade Bayrakdar,ch SUI,FW,Grasshopper,19,2005,1,0,5,0.1,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Swiss Women's Super League,2024-2025
740e1304,Jil Beetschen,Jil Beetschen,ch SUI,GK,FC Luzern,18,2006,1,1,90,1.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,,,,,,,,0,0.0,1,1,4,4.00,1,90,0,0,0,,0,,,,0,0,Swiss Women's Super League,2024-2025
b7906363,Iman Beney,Iman Beney,ch SUI,FW,Young Boys,18,2006,16,13,"1,147",12.7,7,,,7,0,0,1,0,0.55,,,0.55,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Swiss Women's Super League,2024-2025
ab257885,Noemi Benz,Noemi Benz,ch SUI,GK,FC Zürich,20,2004,18,18,"1,620",18.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,,,,,,,,5,27.8,18,18,25,1.39,6,"1,620",0,0,0,,0,,,,2,10,Swiss Women's Super League,2024-2025
895c5414,Karin Bernet,Karin Bernet,ch SUI,MF,St. Gallen-Staad,29,1994,8,8,705,7.8,0,,,0,0,0,1,0,0.00,,,0.00,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Swiss Women's Super League,2024-2025
5ac94917,Tamara Biedermann,Tamara Biedermann,ch SUI,GK,Young Boys,17,2006,8,8,720,8.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,,,,,,,,4,50.0,8,8,8,1.00,1,720,1,1,0,0.0,0,,,,2,5,Swiss Women's Super League,2024-2025
fe1b53e6,Landryna Bilombi,Landryna Bilombi,fr FRA,MF,Servette,18,2006,4,1,124,1.4,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Swiss Women's Super League,2024-2025
8141fa8f,Victoria Bischof,Victoria Bischof,ch SUI,DF,St. Gallen-Staad,24,2000,4,0,77,0.9,1,,,1,0,0,0,0,1.17,,,1.17,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Swiss Women's Super League,2024-2025
97f87130,Luisa Blumenthal,Luisa Blumenthal,ch SUI,DF,FC Zürich,24,2000,17,15,"1,244",13.8,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Swiss Women's Super League,2024-2025
97b71cef,Nadine Böhi,Nadine Böhi,ch SUI,GK,St. Gallen-Staad,20,2003,18,18,"1,620",18.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,,,,,,,,10,55.6,18,18,12,0.67,4,"1,620",1,1,0,0.0,0,,,,5,9,Swiss Women's Super League,2024-2025
4507a9c9,Mickaëla Bottega,Mickaëla Bottega,fr FRA,GK,Servette,30,1993,6,6,540,6.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,,,,,,,,4,66.7,6,6,4,0.67,1,540,0,0,0,,0,,,,0,5,Swiss Women's Super League,2024-2025
4f562422,Daïna Bourma,Daïna Bourma,fr FRA,DF,Servette,24,1999,18,16,"1,376",15.3,0,,,0,0,0,2,0,0.00,,,0.00,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Swiss Women's Super League,2024-2025
e33d1987,Stephanie Brecht,Stephanie Brecht,ch SUI,MF,St. Gallen-Staad,25,1998,11,1,254,2.8,2,,,1,1,1,1,0,0.71,,,0.35,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Swiss Women's Super League,2024-2025
08c7ca45,Lola Brügger,Lola Brügger,ch SUI,DF,Basel,17,2006,2,1,105,1.2,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Swiss Women's Super League,2024-2025
5d75195d,Bettina Brülhart,Bettina Brülhart,ch SUI,"MF,DF",FC Luzern,30,1994,10,4,348,3.9,1,,,1,0,0,0,0,0.26,,,0.26,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Swiss Women's Super League,2024-2025
ac855a59,Emilia Bruni,Emilia Bruni,ch SUI,,Thun Berner-Oberland,17,2006,1,0,13,0.1,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Swiss Women's Super League,2024-2025
f73a56d2,Jana Brunner,Jana Brunner,ch SUI,DF,St. Gallen-Staad,27,1997,18,18,"1,620",18.0,2,,,2,0,0,2,0,0.11,,,0.11,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Swiss Women's Super League,2024-2025
73e656b8,Chiara Bücher,Chiara Bücher,de GER,"FW,MF",FC Zürich,20,2003,13,6,654,7.3,3,,,3,0,0,1,0,0.41,,,0.41,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Swiss Women's Super League,2024-2025
13944781,Luana Bürge,Luana Bürge,ch SUI,DF,FC Zürich,19,2005,9,6,511,5.7,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Swiss Women's Super League,2024-2025
51659e33,Alana Burkhart,Alana Burkhart,ch SUI,DF,Thun Berner-Oberland,25,1999,15,13,"1,141",12.7,0,,,0,0,0,4,0,0.00,,,0.00,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Swiss Women's Super League,2024-2025
86f8b540,Saskia Bürki,Saskia Bürki,ch SUI,GK,Grasshopper,22,2002,7,7,630,7.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,,,,,,,,0,0.0,5,5,18,3.60,5,450,0,0,0,,0,,,,0,0,Swiss Women's Super League,2024-2025
86f8b540,Saskia Bürki,Saskia Bürki,ch SUI,GK,Grasshopper,22,2002,7,7,630,7.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,,,,,,,,2,28.6,7,7,12,1.71,2,630,0,0,0,,0,,,,2,3,Swiss Women's Super League,2024-2025
