PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
8637e09a,Vincent Aboubakar,Vincent Aboubakar,cm CMR,FW,Hatayspor,32,1992,25,22,"1,969",21.9,7,2,9,5,2,2,3,0,0.32,0.09,0.41,0.23,0.32,Matches,0.09,0.22,53,23,43.4,1.05,2.42,,,,,,,,,,,,,,,,,,,Süper Lig,2024-2025
e7ad4afd,Yaw Ackah,Yaw Ackah,gh GHA,MF,Kayserispor,25,1999,22,2,457,5.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,5,0,0.0,0.00,0.98,,,,,,,,,,,,,,,,,,,Süper Lig,2024-2025
b9f70df9,Rüzgar Adıyaman,Rüzgar Adıyaman,,GK,BB Bodrumspor,17,2006,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,0,0.0,1,1,4,4.00,1,90,1,1,0,0.0,0,66.7,6,9,0,0,Süper Lig,2024-2025
c46fa34c,Youssef Aït Bennasser,Youssef Aït Bennasser,ma MAR,MF,Samsunspor,28,1996,30,29,"2,460",27.3,1,2,3,0,1,1,6,0,0.04,0.07,0.11,0.00,0.07,Matches,0.00,0.00,13,1,7.7,0.04,0.48,,,,,,,,,,,,,,,,,,,Süper Lig,2024-2025
f9714604,Arlind Ajeti,Arlind Ajeti,al ALB,DF,BB Bodrumspor,30,1993,29,28,"2,528",28.1,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,8,2,25.0,0.07,0.28,,,,,,,,,,,,,,,,,,,Süper Lig,2024-2025
3bfc87fc,Abat Ajymbetow,Abat Ajymbetow,kz KAZ,FW,Adana Demirspor,28,1995,27,13,"1,352",15.0,5,0,5,5,0,0,5,0,0.33,0.00,0.33,0.33,0.33,Matches,0.20,0.50,25,10,40.0,0.67,1.66,,,,,,,,,,,,,,,,,,,Süper Lig,2024-2025
7328bee5,Samet Akaydın,Samet Akaydın,tr TUR,DF,Fenerbahçe,30,1994,5,4,375,4.2,1,0,1,1,0,0,3,0,0.24,0.00,0.24,0.24,0.24,Matches,1.00,1.00,1,1,100.0,0.24,0.24,,,,,,,,,,,,,,,,,,,Süper Lig,2024-2025
7328bee5,Samet Akaydın,Samet Akaydın,tr TUR,DF,Fenerbahçe,30,1994,5,4,375,4.2,1,0,1,1,0,0,3,0,0.24,0.00,0.24,0.24,0.24,Matches,0.13,0.33,8,3,37.5,0.27,0.72,,,,,,,,,,,,,,,,,,,Süper Lig,2024-2025
7328bee5,Samet Akaydın,Samet Akaydın,tr TUR,DF,Rizespor,30,1994,14,13,"1,000",11.1,1,0,1,1,0,0,5,1,0.09,0.00,0.09,0.09,0.09,Matches,1.00,1.00,1,1,100.0,0.24,0.24,,,,,,,,,,,,,,,,,,,Süper Lig,2024-2025
7328bee5,Samet Akaydın,Samet Akaydın,tr TUR,DF,Rizespor,30,1994,14,13,"1,000",11.1,1,0,1,1,0,0,5,1,0.09,0.00,0.09,0.09,0.09,Matches,0.13,0.33,8,3,37.5,0.27,0.72,,,,,,,,,,,,,,,,,,,Süper Lig,2024-2025
