PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
8f5fa9e1,Anna Aahjem,Anna Aahjem,no NOR,MF,Brann,26-085,2000,3,0,38,0.4,1,0,1,1,0,0,0,0,2.37,0.00,2.37,2.37,2.37,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Toppserien,2026
fa364baa,Vilde Aasprang,Vilde Aasprang,no NOR,MF,Lyn,22-076,2004,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Toppserien,2026
89e9beca,Carina Alfredsen,Carina Alfredsen,no NOR,MF,Brann,19-197,2006,3,0,59,0.7,1,1,2,1,0,0,0,0,1.53,1.53,3.05,1.53,3.05,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Toppserien,2026
1ba0265f,Eline Amlie,Eline Amlie,no NOR,MF,Røa,20-263,2005,3,2,149,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Toppserien,2026
8c084de2,Emma Amundsen,Emma Amundsen,no NOR,DF,Hønefoss,22-318,2003,1,0,27,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Toppserien,2026
cfa0b773,Andrea Anderdal,Andrea Anderdal,no NOR,MF,Hønefoss,30-018,1996,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Toppserien,2026
52503c88,Tilde Andersson,Tilde Andersson,no NOR,MF,LSK Kvinner,18-231,2007,3,1,92,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Toppserien,2026
6b17c881,Ina Andreassen,Ina Andreassen,no NOR,DF,Lyn,19-039,2007,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Toppserien,2026
508e60fe,Ronja Arnesen,Ronja Arnesen,no NOR,MF,LSK Kvinner,19-222,2006,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Toppserien,2026
05443947,Ronja Aronsson,Ronja Aronsson,se SWE,DF,Vålerenga,28-115,1997,3,3,270,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Toppserien,2026
d67759d6,Synne Aunehaugen,Synne Aunehaugen,no NOR,DF,Rosenborg,22-072,2004,3,3,270,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Toppserien,2026
556e6b01,Frida Aursland,Frida Aursland,no NOR,GK,Haugesund,19-118,2006,3,3,270,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,0,0.0,3,3,6,2.00,1,270,2,2,0,0.0,0,,,,1,1,Toppserien,2026
a75e514a,Mia Authen,Mia Authen,no NOR,FW,Brann,23-308,2002,3,3,259,2.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Toppserien,2026
0734b5bb,Mathea Berg-Solemdal,Mathea Berg-Solemdal,no NOR,MF,Stabæk,19-310,2006,3,3,245,2.7,0,1,1,0,0,0,0,0,0.00,0.37,0.37,0.00,0.37,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Toppserien,2026
f7130374,Mathea Berget,Mathea Berget,no NOR,MF,Lyn,24-023,2002,3,2,219,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Toppserien,2026
6799e73d,Elisa Berisha,Elisa Berisha,no NOR,MF,Røa,17-082,2009,3,0,72,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Toppserien,2026
c216ad18,Ine Berre,Ine Berre,no NOR,FW,Rosenborg,22-339,2003,3,1,160,1.8,0,1,1,0,0,0,0,0,0.00,0.56,0.56,0.00,0.56,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Toppserien,2026
21527e47,Mari Bersås,Mari Bersås,no NOR,DF,Molde,16-026,2010,3,1,106,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Toppserien,2026
5189c8fd,Ina Birkelund,Ina Birkelund,no NOR,FW,Lyn,21-318,2004,3,3,260,2.9,1,0,1,1,0,0,0,0,0.35,0.00,0.35,0.35,0.35,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Toppserien,2026
eaf1424a,Josefine Birkelund,Josefine Birkelund,no NOR,DF,Brann,21-250,2004,2,2,111,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Toppserien,2026
b387d4f4,Hilde Bjåstad,Hilde Bjåstad,no NOR,DF,Molde,20-317,2005,3,3,250,2.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Toppserien,2026
459b2800,Sara Bjerksæter,Sara Bjerksæter,no NOR,FW,Hønefoss,29-300,1996,3,3,196,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Toppserien,2026
4fb39837,Silje Bjørneboe,Silje Bjørneboe,no NOR,DF,Stabæk,26-048,2000,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Toppserien,2026
61fd8d8e,Sigrid Bloch-Hansen,Sigrid Bloch-Hansen,no NOR,DF,Røa,26-355,1999,3,2,199,2.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Toppserien,2026
4b6110eb,Solfrid Bråthen,Solfrid Bråthen,no NOR,FW,Haugesund,23-193,2002,3,3,270,3.0,0,1,1,0,0,0,0,0,0.00,0.33,0.33,0.00,0.33,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Toppserien,2026
