PlayerID,Name,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,League,Season
77420d5e,Arnaud Riedel,de GER,MF,17,23,21,"1,906",21.2,7,,,5,2,2,0,0,0.33,,,0.24,,Matches,U19 DFB Youth League,2024-2025
bd90962b,Kelvin Ojo,de GER,FW,17,24,21,"1,869",20.8,4,,,4,0,0,0,0,0.19,,,0.19,,Matches,U19 DFB Youth League,2024-2025
278ceb20,Moritz Reimers,de GER,DF,17,24,21,"1,813",20.1,6,,,5,1,1,0,0,0.30,,,0.25,,Matches,U19 DFB Youth League,2024-2025
40a2b34c,Henri Schümann,de GER,MF,15,24,21,"1,748",19.4,3,,,3,0,0,0,0,0.15,,,0.15,,Matches,U19 DFB Youth League,2024-2025
964a708c,Colin Poppelbaum,de GER,GK,17,20,20,"1,800",20.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,U19 DFB Youth League,2024-2025
c50a1d13,Jamal Nabe,de GER,MF,18,22,20,"1,773",19.7,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,U19 DFB Youth League,2024-2025
605be0fb,Agyemeng Nana-Sarhene,de GER,FW,17,23,19,"1,467",16.3,2,,,2,0,0,0,0,0.12,,,0.12,,Matches,U19 DFB Youth League,2024-2025
95a3933f,Davis Rath,de GER,MF,18,18,18,"1,561",17.3,3,,,1,2,2,0,0,0.17,,,0.06,,Matches,U19 DFB Youth League,2024-2025
f092ee88,Niklas Tuppeck,de GER,MF,18,21,18,"1,445",16.1,12,,,12,0,0,0,0,0.75,,,0.75,,Matches,U19 DFB Youth League,2024-2025
751b38d2,Shafiq Nandja,de GER,DF,17,17,17,"1,519",16.9,3,,,3,0,0,0,0,0.18,,,0.18,,Matches,U19 DFB Youth League,2024-2025
f103e2e0,Endrik Jaschan,de GER,DF,17,22,12,"1,090",12.1,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,U19 DFB Youth League,2024-2025
5a6cd204,Jeremy Gandert,de GER,MF,17,12,11,970,10.8,1,,,1,0,0,0,0,0.09,,,0.09,,Matches,U19 DFB Youth League,2024-2025
4c4be03a,Maximilian Sarfo-Adjei,de GER,FW,18,12,7,764,8.5,1,,,1,0,0,0,0,0.12,,,0.12,,Matches,U19 DFB Youth League,2024-2025
360c6b0b,Jan-Luca Bugaj,de GER,FW,17,15,5,439,4.9,1,,,1,0,0,0,0,0.21,,,0.21,,Matches,U19 DFB Youth League,2024-2025
b71595d4,Otto Stange,de GER,DF,17,5,5,439,4.9,5,,,3,2,2,0,0,1.03,,,0.62,,Matches,U19 DFB Youth League,2024-2025
b56aaf91,Dayo Richardt,de GER,FW,18,16,4,426,4.7,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,U19 DFB Youth League,2024-2025
61f9ffa8,Jeremy Ade,de GER,DF,16,12,4,401,4.5,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,U19 DFB Youth League,2024-2025
ea239865,Julian Brätz,de GER,GK,17,4,4,360,4.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,U19 DFB Youth League,2024-2025
92d6c0eb,Almin Suljević,me MNE,DF,18,7,4,331,3.7,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,U19 DFB Youth League,2024-2025
176fa1d6,Kilian Hölscher,de GER,DF,17,12,3,415,4.6,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,U19 DFB Youth League,2024-2025
e6e097ea,Amer Buljubašić,ba BIH,FW,18,16,3,305,3.4,2,,,2,0,0,0,0,0.59,,,0.59,,Matches,U19 DFB Youth League,2024-2025
3a48db3d,Noah Adekunle,de GER,DF,17,6,3,259,2.9,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,U19 DFB Youth League,2024-2025
86ee6a24,Bilal Yalçınkaya,de GER,MF,18,2,2,180,2.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,U19 DFB Youth League,2024-2025
