PlayerID,Name,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,League,Season
b44c39da,Muamer Tanković,se SWE,"MF,FW",29,10,10,866,9.6,1,2,3,1,0,1,3,0,0.10,0.21,0.31,0.10,0.31,Matches,UEFA Conference League,2024-2025
26d0b5c7,Vlad Dragomir,ro ROU,"MF,DF",25,10,10,863,9.6,1,0,1,1,0,0,0,0,0.10,0.00,0.10,0.10,0.10,Matches,UEFA Conference League,2024-2025
0eb83e1a,Bruno Felipe Souza da Silva,br BRA,"DF,MF",30,10,10,798,8.9,1,1,2,1,0,0,1,0,0.11,0.11,0.23,0.11,0.23,Matches,UEFA Conference League,2024-2025
e18098de,Ivan Šunjić,ba BIH,MF,27,10,9,824,9.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
6d0a2817,Ivica Ivušić,hr CRO,GK,29,9,9,810,9.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
30a09cb5,Derrick Luckassen,gh GHA,DF,29,9,9,810,9.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
56a787a6,David Goldar,es ESP,DF,29,9,9,782,8.7,1,0,1,1,0,0,1,0,0.12,0.00,0.12,0.12,0.12,Matches,UEFA Conference League,2024-2025
b2ec3323,Jairo,br BRA,FW,32,10,9,670,7.4,1,0,1,1,0,0,0,0,0.13,0.00,0.13,0.13,0.13,Matches,UEFA Conference League,2024-2025
20df3aaf,Pedro Rodrigues,pt POR,MF,27,9,8,719,8.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
d8bc9af3,João Pedro Araújo Correia,cv CPV,"MF,DF",27,9,7,583,6.5,3,0,3,3,0,0,3,0,0.46,0.00,0.46,0.46,0.46,Matches,UEFA Conference League,2024-2025
f2308b33,Jonathan Silva,ar ARG,"DF,MF",30,7,7,567,6.3,1,0,1,1,0,0,3,0,0.16,0.00,0.16,0.16,0.16,Matches,UEFA Conference League,2024-2025
325b3150,Jajá,br BRA,"FW,MF",23,8,3,285,3.2,2,1,3,2,0,0,0,0,0.63,0.32,0.95,0.63,0.95,Matches,UEFA Conference League,2024-2025
c492c9f0,Zvonimir Šarlija,hr CRO,DF,27,4,2,230,2.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
0c0371de,Kostas Pileas,cy CYP,DF,25,5,2,171,1.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
1770bd68,Ken Sema,se SWE,MF,30,4,2,159,1.8,0,1,1,0,0,0,1,0,0.00,0.57,0.57,0.00,0.57,Matches,UEFA Conference League,2024-2025
faf30cda,Anderson,br BRA,FW,26,10,1,252,2.8,1,1,2,1,0,0,0,0,0.36,0.36,0.71,0.36,0.71,Matches,UEFA Conference League,2024-2025
41fb0f4e,Domingos Quina,pt POR,MF,24,7,1,182,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
e23dfa3d,Rafael Pontelo,br BRA,DF,21,2,1,98,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
b3d2dd52,Neofytos Michael,cy CYP,GK,30,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
ee950928,Mislav Oršić,hr CRO,"FW,MF",31,4,0,68,0.8,1,0,1,1,0,0,0,0,1.32,0.00,1.32,1.32,1.32,Matches,UEFA Conference League,2024-2025
38ce48b7,Moustapha Name,sn SEN,"MF,DF",29,4,0,32,0.4,1,0,1,1,0,0,2,0,2.81,0.00,2.81,2.81,2.81,Matches,UEFA Conference League,2024-2025
cd8d04a2,Léo Natel,br BRA,"FW,MF",27,3,0,31,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
1750d797,Marios Elia,cy CYP,FW,28,2,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
b193e0f8,Panagiotis Theodoulou,cy CYP,GK,17,0,0,,,,,,,,,,,,,,,,Matches,UEFA Conference League,2024-2025
7ba6d84e,David de Gea,es ESP,GK,33,35,35,"3,150",35.0,0,1,1,0,0,0,1,0,0.00,0.03,0.03,0.00,0.03,Matches,UEFA Conference League,2024-2025
b5f7d10b,Dodô,br BRA,"DF,MF",25,35,35,"3,115",34.6,0,5,5,0,0,0,8,0,0.00,0.14,0.14,0.00,0.14,Matches,UEFA Conference League,2024-2025
8c63fae5,Luca Ranieri,it ITA,DF,25,36,35,"3,071",34.1,1,3,4,1,0,0,7,0,0.03,0.09,0.12,0.03,0.12,Matches,UEFA Conference League,2024-2025
3d50bcdb,Moise Kean,it ITA,FW,24,32,31,"2,704",30.0,19,3,22,18,1,2,6,0,0.63,0.10,0.73,0.60,0.70,Matches,UEFA Conference League,2024-2025
2d970560,Robin Gosens,de GER,"DF,MF",30,32,29,"2,521",28.0,5,5,10,5,0,0,6,0,0.18,0.18,0.36,0.18,0.36,Matches,UEFA Conference League,2024-2025
5e3ecc35,Pietro Comuzzo,it ITA,DF,19,33,24,"2,200",24.4,1,0,1,1,0,0,5,0,0.04,0.00,0.04,0.04,0.04,Matches,UEFA Conference League,2024-2025
ba3d3bea,Danilo Cataldi,it ITA,MF,29,25,23,"1,728",19.2,3,0,3,3,0,0,1,0,0.16,0.00,0.16,0.16,0.16,Matches,UEFA Conference League,2024-2025
c7259b83,Rolando Mandragora,it ITA,MF,27,29,22,"1,931",21.5,4,3,7,3,1,1,7,0,0.19,0.14,0.33,0.14,0.28,Matches,UEFA Conference League,2024-2025
482d2bc3,Lucas Beltrán,ar ARG,"MF,FW",23,33,21,"1,953",21.7,5,4,9,3,2,3,6,0,0.23,0.18,0.41,0.14,0.32,Matches,UEFA Conference League,2024-2025
6499048c,Andrea Colpani,it ITA,MF,25,25,18,"1,450",16.1,2,1,3,2,0,0,1,0,0.12,0.06,0.19,0.12,0.19,Matches,UEFA Conference League,2024-2025
b79858d5,Albert Guðmundsson,is ISL,"FW,MF",27,24,16,"1,273",14.1,6,1,7,4,2,2,2,0,0.42,0.07,0.49,0.28,0.35,Matches,UEFA Conference League,2024-2025
26777636,Yacine Adli,fr FRA,MF,24,26,15,"1,234",13.7,4,6,10,4,0,0,3,1,0.29,0.44,0.73,0.29,0.73,Matches,UEFA Conference League,2024-2025
2a6cd437,Marin Pongračić,hr CRO,DF,26,20,14,"1,367",15.2,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
aa54ec6f,Pablo Marí,es ESP,DF,30,13,12,"1,098",12.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
