PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
46f75f0c,Teresa Abelleira,Teresa Abelleira,es ESP,MF,es Real Madrid,24,2000,4,1,128,1.4,0,1,1,0,0,0,1,0,0.00,0.70,0.70,0.00,0.70,Matches,0.00,,1,0,0.0,0.00,0.70,,,,,,,,,,,,,,,,,,,UEFA Women's Champions League,2024-2025
b2c5ac92,Murphy Agnew,Murphy Agnew,us USA,"FW,MF",sct Celtic FC,25,1998,5,5,350,3.9,1,0,1,1,0,0,0,0,0.26,0.00,0.26,0.26,0.26,Matches,0.20,1.00,5,1,20.0,0.26,1.29,,,,,,,,,,,,,,,,,,,UEFA Women's Champions League,2024-2025
2dee6fe8,Eseosa Aigbogun,Eseosa Aigbogun,ch SUI,DF,it AS Roma,31,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,1,1,100.0,1.00,1.00,,,,,,,,,,,,,,,,,,,UEFA Women's Champions League,2024-2025
9cd52a5d,Arzu Akkurt,Arzu Akkurt,tr TUR,MF,tr Galatasaray,20,2004,4,2,182,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,UEFA Women's Champions League,2024-2025
31691fc9,Laia Aleixandri,Laia Aleixandri,es ESP,DF,eng Manchester City,23,2000,6,4,445,4.9,0,1,1,0,0,0,2,0,0.00,0.20,0.20,0.00,0.20,Matches,0.00,0.00,2,1,50.0,0.20,0.40,,,,,,,,,,,,,,,,,,,UEFA Women's Champions League,2024-2025
46e0f031,Benan Altintaş,Benan Altintaş,tr TUR,DF,tr Galatasaray,22,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,UEFA Women's Champions League,2024-2025
5f50a940,Jonna Andersson,Jonna Andersson,se SWE,DF,se Hammarby,31,1993,6,6,457,5.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,0.20,,,,,,,,,,,,,,,,,,,UEFA Women's Champions League,2024-2025
71c3bd53,Filippa Angeldahl,Filippa Angeldahl,se SWE,MF,es Real Madrid,27,1997,8,7,592,6.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,12,3,25.0,0.46,1.82,,,,,,,,,,,,,,,,,,,UEFA Women's Champions League,2024-2025
e73e06bc,Antônia,Antônia,br BRA,DF,es Real Madrid,30,1994,2,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,UEFA Women's Champions League,2024-2025
508e60fe,Ronja Arnesen,Ronja Arnesen,no NOR,MF,no Vålerenga,17,2006,5,0,79,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,1.14,,,,,,,,,,,,,,,,,,,UEFA Women's Champions League,2024-2025
