PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
509eb2dc,Jose Casas de Abadal,Jose Casas de Abadal,us USA,FW,Sac Republic,25-298,2000,4,1,130,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,USL Championship,2026
49dc9833,Diego Abitia,Diego Abitia,mx MEX,FW,El Paso,22-363,2003,5,1,140,1.6,1,0,1,1,0,0,2,0,0.64,0.00,0.64,0.64,0.64,Matches,0.17,0.50,6,2,33.3,1.29,3.86,,,,,,,,,,,,,,,,,,,USL Championship,2026
b4f8c0ed,Wahab Ackwei,Wahab Ackwei,gh GHA,DF,Sporting JAX,29-177,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,1.00,,,,,,,,,,,,,,,,,,,USL Championship,2026
be6d4138,Dion Acoff,Dion Acoff,us USA,DF,TB Rowdies,34-203,1991,5,5,357,4.0,0,1,1,0,0,0,2,0,0.00,0.25,0.25,0.00,0.25,Matches,0.00,,3,0,0.0,0.00,0.76,,,,,,,,,,,,,,,,,,,USL Championship,2026
759a31cd,Kyle Adams,Kyle Adams,nz NZL,DF,Louisville City,29-145,1996,6,6,524,5.8,1,0,1,1,0,0,0,0,0.17,0.00,0.17,0.17,0.17,Matches,1.00,1.00,1,1,100.0,0.17,0.17,,,,,,,,,,,,,,,,,,,USL Championship,2026
f6fb4b0d,Michael Adedokun,Michael Adedokun,ng NGA,"MF,FW",Lexington SC,24-322,2001,6,4,358,4.0,0,1,1,0,0,0,0,0,0.00,0.25,0.25,0.00,0.25,Matches,0.00,0.00,8,2,25.0,0.50,2.01,,,,,,,,,,,,,,,,,,,USL Championship,2026
29237bc9,Noah Adnan,Noah Adnan,us USA,DF,Loudoun United,24-083,2002,5,5,384,4.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,2,1,50.0,0.23,0.47,,,,,,,,,,,,,,,,,,,USL Championship,2026
06e75d19,Leonardo Afonso,Leonardo Afonso,br BRA,"FW,MF",Rhode Island FC,24-275,2001,5,5,429,4.8,1,1,2,1,0,0,2,0,0.21,0.21,0.42,0.21,0.42,Matches,0.04,0.13,24,8,33.3,1.68,5.03,,,,,,,,,,,,,,,,,,,USL Championship,2026
0bf55009,Charles Ahl,Charles Ahl,us USA,MF,Pittsburgh,24-103,2002,5,5,386,4.3,0,1,1,0,0,0,1,0,0.00,0.23,0.23,0.00,0.23,Matches,0.00,0.00,5,4,80.0,0.93,1.17,,,,,,,,,,,,,,,,,,,USL Championship,2026
840f67fe,Forster Ajago,Forster Ajago,gh GHA,FW,Sac Republic,24-241,2001,6,5,432,4.8,1,1,2,1,0,0,2,0,0.21,0.21,0.42,0.21,0.42,Matches,0.13,0.33,8,3,37.5,0.62,1.67,,,,,,,,,,,,,,,,,,,USL Championship,2026
fbed8396,Mukwelle Akale,Mukwelle Akale,us USA,MF,Louisville City,29-086,1997,2,0,46,0.5,1,0,1,1,0,0,0,0,1.96,0.00,1.96,1.96,1.96,Matches,1.00,1.00,1,1,100.0,1.96,1.96,,,,,,,,,,,,,,,,,,,USL Championship,2026
8ed78284,Bolu Akinyode,Bolu Akinyode,ng NGA,DF,Loudoun United,31-319,1994,5,5,450,5.0,1,0,1,1,0,0,1,0,0.20,0.00,0.20,0.20,0.20,Matches,0.50,1.00,2,1,50.0,0.20,0.40,,,,,,,,,,,,,,,,,,,USL Championship,2026
aea70213,Joey Akpunonu,Joey Akpunonu,us USA,DF,Charleston,24-114,2001,5,4,405,4.5,0,2,2,0,0,0,1,0,0.00,0.44,0.44,0.00,0.44,Matches,0.00,0.00,5,2,40.0,0.44,1.11,,,,,,,,,,,,,,,,,,,USL Championship,2026
e04d3aa3,Medgy Alexandre,Medgy Alexandre,us USA,FW,Charleston,22-028,2004,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,USL Championship,2026
4118b12a,Tony Alfaro,Tony Alfaro,us USA,DF,El Paso,32-303,1993,4,3,289,3.2,1,0,1,0,1,1,0,0,0.31,0.00,0.31,0.00,0.00,Matches,0.00,0.00,2,1,50.0,0.31,0.62,,,,,,,,,,,,,,,,,,,USL Championship,2026
4f9c3df6,Gabriel Alves,Gabriel Alves,,DF,Brooklyn FC,,,6,5,477,5.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,USL Championship,2026
a702cbf7,Richard Aman,Richard Aman,us USA,MF,Loudoun United,22-029,2004,5,4,387,4.3,0,2,2,0,0,0,0,0,0.00,0.47,0.47,0.00,0.47,Matches,0.00,,4,0,0.0,0.00,0.93,,,,,,,,,,,,,,,,,,,USL Championship,2026
5408da1d,Trevor Amann,Trevor Amann,us USA,FW,Pittsburgh,27-346,1998,5,0,70,0.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,4,0,0.0,0.00,5.14,,,,,,,,,,,,,,,,,,,USL Championship,2026
836c317b,Elvis Amoh,Elvis Amoh,gh GHA,"FW,MF",Loudoun United,34-071,1992,4,0,34,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,2.65,,,,,,,,,,,,,,,,,,,USL Championship,2026
998268a4,Devon Amoo-Mensah,Devon Amoo-Mensah,us USA,DF,Detroit City,30-138,1995,5,5,450,5.0,0,1,1,0,0,0,0,0,0.00,0.20,0.20,0.00,0.20,Matches,0.00,,1,0,0.0,0.00,0.20,,,,,,,,,,,,,,,,,,,USL Championship,2026
b5d794e4,Sadat Anaku,Sadat Anaku,ug UGA,"MF,FW",Hartford Athletic,25-126,2000,6,4,328,3.6,1,0,1,1,0,0,1,0,0.27,0.00,0.27,0.27,0.27,Matches,0.11,0.50,9,2,22.2,0.55,2.47,,,,,,,,,,,,,,,,,,,USL Championship,2026
c76e16c1,Markus Anderson,Markus Anderson,us USA,"FW,MF",Brooklyn FC,22-124,2003,4,3,293,3.3,2,2,4,2,0,0,1,0,0.61,0.61,1.23,0.61,1.23,Matches,0.25,0.40,8,5,62.5,1.54,2.46,,,,,,,,,,,,,,,,,,,USL Championship,2026
3a9911ce,Sebastian Anderson,Sebastian Anderson,us USA,"DF,MF",Hartford Athletic,23-249,2002,6,6,511,5.7,0,1,1,0,0,0,1,0,0.00,0.18,0.18,0.00,0.18,Matches,0.00,0.00,4,2,50.0,0.35,0.70,,,,,,,,,,,,,,,,,,,USL Championship,2026
b137ee51,Themi Antonoglou,Themi Antonoglou,ca CAN,DF,LV Lights FC,24-316,2001,6,6,515,5.7,0,1,1,0,0,0,0,0,0.00,0.17,0.17,0.00,0.17,Matches,,,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,USL Championship,2026
840753cc,Seth Antwi,Seth Antwi,gh GHA,MF,B'ham Legion,26-156,1999,5,5,443,4.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,0.20,,,,,,,,,,,,,,,,,,,USL Championship,2026
74e30bd2,Luther Archimède,Luther Archimède,gp GLP,FW,New Mexico Utd,26-209,1999,5,3,236,2.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,4,0,0.0,0.00,1.53,,,,,,,,,,,,,,,,,,,USL Championship,2026
c5aaa393,Dida Armstrong,Dida Armstrong,us USA,"MF,DF",Sporting JAX,22-008,2004,6,3,317,3.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,3,0,0.0,0.00,0.85,,,,,,,,,,,,,,,,,,,USL Championship,2026
83fdc123,Manuel Arteaga,Manuel Arteaga,ve VEN,FW,LV Lights FC,31-301,1994,4,2,161,1.8,0,0,0,0,0,1,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,6,3,50.0,1.68,3.35,,,,,,,,,,,,,,,,,,,USL Championship,2026
30a4f94b,Arturo Astorga,Arturo Astorga,us USA,DF,New Mexico Utd,28-016,1998,2,0,56,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,1.61,,,,,,,,,,,,,,,,,,,USL Championship,2026
2374b25e,Dwayne Atkinson,Dwayne Atkinson,jm JAM,MF,Rhode Island FC,23-344,2002,3,0,56,0.6,1,0,1,1,0,0,0,0,1.61,0.00,1.61,1.61,1.61,Matches,0.33,0.50,3,2,66.7,3.21,4.82,,,,,,,,,,,,,,,,,,,USL Championship,2026
ee85b326,Hope Avayevu,Hope Avayevu,gh GHA,MF,Phx Rising,23-177,2002,5,5,390,4.3,0,1,1,0,0,0,2,0,0.00,0.23,0.23,0.00,0.23,Matches,0.00,0.00,3,1,33.3,0.23,0.69,,,,,,,,,,,,,,,,,,,USL Championship,2026
bb666b57,Roberto Avila,Roberto Avila,us USA,MF,El Paso,25-180,2000,4,1,140,1.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,4,2,50.0,1.29,2.57,,,,,,,,,,,,,,,,,,,USL Championship,2026
0becbc9b,Kwame Awuah,Kwame Awuah,ca CAN,"DF,MF",Loudoun United,30-133,1995,5,5,450,5.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,1,1,100.0,0.20,0.20,,,,,,,,,,,,,,,,,,,USL Championship,2026
