PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins,League,Season
eeba2b90,Volodymyr Adamyuk,Volodymyr Adamyuk,ua UKR,DF,Karpaty Lviv,33,1991,18,15,"1,358",15.1,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Ukrainian Premier League,2024-2025
36bdd145,Prince Adu Kwabena,Prince Adu Kwabena,gh GHA,FW,Kryvbas,20,2003,2,2,136,1.5,1,0,1,1,0,0,0,0,0.66,0.00,0.66,0.66,0.66,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Ukrainian Premier League,2024-2025
05ccb628,Daniil Alefirenko,Daniil Alefirenko,ua UKR,MF,FC Kolos Kovalivka,24,2000,25,14,"1,183",13.1,1,3,4,1,0,0,4,0,0.08,0.23,0.30,0.08,0.30,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Ukrainian Premier League,2024-2025
d26ee8de,Alisson,Alisson,br BRA,MF,Shakhtar Donetsk,18,2005,9,3,308,3.4,0,1,1,0,0,0,1,0,0.00,0.29,0.29,0.00,0.29,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Ukrainian Premier League,2024-2025
c2e776a4,Beknaz Almazbekov,Beknaz Almazbekov,kg KGZ,MF,Rukh Lviv,19,2005,8,3,251,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Ukrainian Premier League,2024-2025
8a72016a,Pablo Álvarez,Pablo Álvarez,es ESP,MF,Karpaty Lviv,27,1997,26,26,"2,176",24.2,0,0,0,0,0,0,8,2,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Ukrainian Premier League,2024-2025
fa41dd39,Juan Alvina,Juan Alvina,br BRA,MF,FC Oleksandriya,21,2003,24,24,"1,993",22.1,6,3,9,6,0,0,2,0,0.27,0.14,0.41,0.27,0.41,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Ukrainian Premier League,2024-2025
dec09406,Mateus Amaral,Mateus Amaral,br BRA,MF,FC Oleksandriya,19,2004,2,0,39,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Ukrainian Premier League,2024-2025
7968e699,Matteo Amoroso,Matteo Amoroso,br BRA,MF,Kryvbas,21,2003,12,5,441,4.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Ukrainian Premier League,2024-2025
aa35349c,Diego Andradina,Diego Andradina,br BRA,MF,FK Livyi Bereh,20,2003,9,3,383,4.3,0,2,2,0,0,0,1,0,0.00,0.47,0.47,0.00,0.47,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,Ukrainian Premier League,2024-2025
